"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P42-ZH-A001","P42-ZH-T001","title; opening; § I.1; §§ II–III","zerfallende verschränkte Produkte","分裂交叉积","ordinary or tensor product rather than the crossed-product algebra","Crossed products whose factor system is associated to one and which therefore yield split algebras.","裂交叉积","modern Sino-xenic coinage/calque","High: 交叉积 and 分裂 are inherited from the Mandarin-Simplified shelf; regional terminology and prose remain untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A002","P42-ZH-T002","title; opening; § II throughout; § III","Maximalordnungen","极大阶","maximum numerical order or an ordering relation","Orders maximal under inclusion in the relevant algebra or local algebra.","最大阶","modern Sino-xenic coinage/calque","High: 极大阶 is the Mainland lexical base and its regional conventionality has not been established.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A003","P42-ZH-T003","opening; § I.1; § I.2; § III proof","Faktorensystem eins","因子系为一","a factor system containing one item rather than the identity factor system","The multiplicative factor data are the identity system, or have been replaced by the associated identity system.","单位因子系","modern Sino-xenic coinage/calque","High: 因子系 and the compressed 为一 phrasing follow Mandarin-Simplified mathematical usage; regional preference is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A004","P42-ZH-T004","opening; § I.2–3","nichtgaloisscher Zerfällungskörper","非伽罗瓦分裂域","the Galois closure or an arbitrary nonnormal field","A maximal commutative subfield that splits the algebra but is not itself Galois over the base.","非正规分裂域","modern Sino-xenic coinage/calque","Medium: 伽罗瓦 and 分裂域 use Mainland forms; no regional Chinese shelf was consulted.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A005","P42-ZH-T005","opening; § II opening and theorem 2 remark","Moduln und Komplementärmoduln","模和互补模","an arbitrary complementary submodule with no trace pairing","A finite module a in k together with its complementary module under the trace pairing.","迹对偶模","mixed/contested","High: 互补模 mirrors the inherited Simplified witness but can hide the trace-dual sense; regional terminology is unknown.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A006","P42-ZH-T006","opening; § II title and theorems 4–4a; § III","Gebiet","区域","a field/domain or a geographical region","A class of maximal orders sharing the same intersection with k and, after refinement, the same local components at ramified places.","阶类别","mixed/contested","High: generic Mainland 区域 is being promoted to a paper-specific technical label; regional acceptability is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A007","P42-ZH-T007","opening; § II opening and theorem 4a; § III definition","Hauptordnung","主阶","a principal ordering relation or merely the first order","The distinguished order o or 𝔬 in the number field, functioning as its full ring of integers in this historical notation.","整数环","modern Sino-xenic coinage/calque","High: 主阶 is a literal Mainland-oriented historical calque and may not transparently signal the ring of integers.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A008","P42-ZH-T008","opening; § II theorem 4a; § III definition and theorems","Hauptgebiet","主区域","principal genus or generic main region","The region consisting of maximal orders whose intersection with k is the Hauptordnung o.","主区","mixed/contested","High: 主区域 is a producer calque built on Mainland 区域; no Taiwan/Hong Kong/Macao localization evidence exists.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A009","P42-ZH-T009","opening; § II theorem 4a; § III theorems 1–3","Erweiterungsideale","扩张理想","an ideal defining an extension rather than an extended ideal","Ideals obtained by extending ideals or modules from the maximal commutative subfield k into the ambient order.","延拓理想","modern Sino-xenic coinage/calque","High: 扩张理想 follows the Mainland extension-of-scalars attractor and could be read as an ideal that is itself enlarged.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A010","P42-ZH-T010","opening; § II auxiliary-lemma footnote; § III definition","p-adische Komponenten","p-进分量","a p-primary group component or digits of a p-adic number","Components after passage to the p-adic extension/local setting, used to distinguish regions at ramified places.","p-局部分量","modern Sino-xenic coinage/calque","Medium: p-进 and 分量 are Mainland-standard choices; regional expository convention was not researched.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A011","P42-ZH-T011","opening; § III definition and proofs","Verzweigungsstellen","分歧位","a geometric branch point or only a finite prime ideal","Places at which ramification occurs and where the local components enter the refined region definition.","分歧处","modern Sino-xenic coinage/calque","Medium: 分歧位 is concise Mainland number-theory usage; regional terminology was not consulted.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A012","P42-ZH-T012","§ I title and theorem; § II proof of theorem 1","Matrizeneinheiten","矩阵单位","the identity matrix or a unit entry","Elements c_ik satisfying the standard matrix-unit multiplication relations under the trace-dual basis.","矩阵单元","modern Sino-xenic coinage/calque","Medium: 矩阵单位 is the Mainland lexical base; its possible regional preference against 矩阵单元 is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P42-ZH-A013","P42-ZH-T013","§ I title and theorem; § II opening and proof of theorem 1","Komplementärbasen","互补基","bases of complementary vector subspaces","A basis and the basis complementary to it under Sp(a_j·ã_l)=δ_jl.","迹对偶基","mixed/contested","High: 互补基 inherits the Simplified-Chinese wording but may under-specify trace duality; regional convention is unknown.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
