"crosswalk_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_form","zh_hant_controlled_form","zh_hant_status","ja_form","ko_form","ja_ko_evidence_status","sense_window","excluded_senses","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status"
"P42-ZH-X001","P42-ZH-T001","title; opening; § I.1; §§ II–III","zerfallende verschränkte Produkte","分裂交叉积","分裂交叉積","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","Crossed products whose factor system is associated to one and which therefore yield split algebras.","ordinary product; tensor product; direct-product decomposition; a merely decomposable expression","modern Sino-xenic coinage/calque","High: 交叉积 and 分裂 are inherited from the Mandarin-Simplified shelf; regional terminology and prose remain untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X002","P42-ZH-T002","title; opening; § II throughout; § III","Maximalordnungen","极大阶","極大階","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","Orders maximal under inclusion in the relevant algebra or local algebra.","maximum numerical order; sequence order; group order; a merely large subring","modern Sino-xenic coinage/calque","High: 极大阶 is the Mainland lexical base and its regional conventionality has not been established.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X003","P42-ZH-T003","opening; § I.1; § I.2; § III proof","Faktorensystem eins","因子系为一","因子系為一","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","The multiplicative factor data are the identity system, or have been replaced by the associated identity system.","a system with one factor; a numerical factor equal to one in isolation; unique factorization","modern Sino-xenic coinage/calque","High: 因子系 and the compressed 为一 phrasing follow Mandarin-Simplified mathematical usage; regional preference is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X004","P42-ZH-T004","opening; § I.2–3","nichtgaloisscher Zerfällungskörper","非伽罗瓦分裂域","非伽羅瓦分裂域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","A maximal commutative subfield that splits the algebra but is not itself Galois over the base.","the Galois closure; an arbitrary nonnormal field; a field decomposed as a product","modern Sino-xenic coinage/calque","Medium: 伽罗瓦 and 分裂域 use Mainland forms; no regional Chinese shelf was consulted.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X005","P42-ZH-T005","opening; § II opening and theorem 2 remark","Moduln und Komplementärmoduln","模和互补模","模和互補模","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","A finite module a in k together with its complementary module under the trace pairing.","an arbitrary complementary submodule; quotient module; software module; orthogonal complement without the trace pairing","mixed/contested","High: 互补模 mirrors the inherited Simplified witness but can hide the trace-dual sense; regional terminology is unknown.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X006","P42-ZH-T006","opening; § II title and theorems 4–4a; § III","Gebiet","区域","區域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","A class of maximal orders sharing the same intersection with k and, after refinement, the same local components at ramified places.","a field or integral domain; geographic region; an arbitrary topological region; class field","mixed/contested","High: generic Mainland 区域 is being promoted to a paper-specific technical label; regional acceptability is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X007","P42-ZH-T007","opening; § II opening and theorem 4a; § III definition","Hauptordnung","主阶","主階","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","The distinguished order o or 𝔬 in the number field, functioning as its full ring of integers in this historical notation.","principal ordering relation; first order in a list; Hauptgebiet; arbitrary maximal order in K","modern Sino-xenic coinage/calque","High: 主阶 is a literal Mainland-oriented historical calque and may not transparently signal the ring of integers.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X008","P42-ZH-T008","opening; § II theorem 4a; § III definition and theorems","Hauptgebiet","主区域","主區域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","The region consisting of maximal orders whose intersection with k is the Hauptordnung o.","principal genus; main geographic region; all maximal orders without the intersection condition; Hauptordnung itself","mixed/contested","High: 主区域 is a producer calque built on Mainland 区域; no Taiwan/Hong Kong/Macao localization evidence exists.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X009","P42-ZH-T009","opening; § II theorem 4a; § III theorems 1–3","Erweiterungsideale","扩张理想","擴張理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","Ideals obtained by extending ideals or modules from the maximal commutative subfield k into the ambient order.","an ideal defining a field extension; an extension class in homological algebra; merely larger ideals","modern Sino-xenic coinage/calque","High: 扩张理想 follows the Mainland extension-of-scalars attractor and could be read as an ideal that is itself enlarged.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
"P42-ZH-X010","P42-ZH-T010","opening; § II auxiliary-lemma footnote; § III definition","p-adische Komponenten","p-进分量","p-進分量","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","not consulted and not authorized as Chinese evidence","Components after passage to the p-adic extension/local setting, used to distinguish regions at ramified places.","the p-primary component of a finite group; digits of a p-adic number; an arbitrary coordinate","modern Sino-xenic coinage/calque","Medium: p-进 and 分量 are Mainland-standard choices; regional expository convention was not researched.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","independent check absent; pending"
