"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P42-ZH-T001","title; opening; § I.1; §§ II–III","zerfallende verschränkte Produkte","split crossed-product algebras","分裂交叉积","Crossed products whose factor system is associated to one and which therefore yield split algebras.","ordinary product; tensor product; direct-product decomposition; a merely decomposable expression","裂交叉积; 扭积; 可分解交叉积","modern Sino-xenic coinage/calque","High: 交叉积 and 分裂 are inherited from the Mandarin-Simplified shelf; regional terminology and prose remain untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","分裂交叉積","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The compound is kept as the paper's governing algebraic construction."
"P42-ZH-T002","title; opening; § II throughout; § III","Maximalordnungen","maximal orders in finite-dimensional algebras","极大阶","Orders maximal under inclusion in the relevant algebra or local algebra.","maximum numerical order; sequence order; group order; a merely large subring","最大阶; 极大整环; 最大序","modern Sino-xenic coinage/calque","High: 极大阶 is the Mainland lexical base and its regional conventionality has not been established.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","極大階","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept distinct from Hauptordnung/主阶 and from the order of a module."
"P42-ZH-T003","opening; § I.1; § I.2; § III proof","Faktorensystem eins","trivial factor system of a crossed product","因子系为一","The multiplicative factor data are the identity system, or have been replaced by the associated identity system.","a system with one factor; a numerical factor equal to one in isolation; unique factorization","单位因子系; 平凡因子系; 因子集为一","modern Sino-xenic coinage/calque","High: 因子系 and the compressed 为一 phrasing follow Mandarin-Simplified mathematical usage; regional preference is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","因子系為一","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The target also uses 单位因子系 when the identity system is named substantivally."
"P42-ZH-T004","opening; § I.2–3","nichtgaloisscher Zerfällungskörper","non-Galois splitting field of the algebra","非伽罗瓦分裂域","A maximal commutative subfield that splits the algebra but is not itself Galois over the base.","the Galois closure; an arbitrary nonnormal field; a field decomposed as a product","非 Galois 分裂域; 非正规分裂域; 非伽罗瓦裂域","modern Sino-xenic coinage/calque","Medium: 伽罗瓦 and 分裂域 use Mainland forms; no regional Chinese shelf was consulted.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","非伽羅瓦分裂域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The non-Galois qualification belongs to the splitting field, not to the algebra."
"P42-ZH-T005","opening; § II opening and theorem 2 remark","Moduln und Komplementärmoduln","finite modules and their trace-complementary modules","模和互补模","A finite module a in k together with its complementary module under the trace pairing.","an arbitrary complementary submodule; quotient module; software module; orthogonal complement without the trace pairing","模与对偶模; 模与迹对偶模; 格与余格","mixed/contested","High: 互补模 mirrors the inherited Simplified witness but can hide the trace-dual sense; regional terminology is unknown.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","模和互補模","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The trace-pairing restriction is carried in the sense window rather than added to every occurrence."
"P42-ZH-T006","opening; § II title and theorems 4–4a; § III","Gebiet","Noether's class of maximal orders relative to k","区域","A class of maximal orders sharing the same intersection with k and, after refinement, the same local components at ramified places.","a field or integral domain; geographic region; an arbitrary topological region; class field","区; 类别; 域区; 阶区域","mixed/contested","High: generic Mainland 区域 is being promoted to a paper-specific technical label; regional acceptability is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","區域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Quotation marks at first introduction flag the stipulated technical use."
"P42-ZH-T007","opening; § II opening and theorem 4a; § III definition","Hauptordnung","distinguished maximal order/ring of integers of a number field","主阶","The distinguished order o or 𝔬 in the number field, functioning as its full ring of integers in this historical notation.","principal ordering relation; first order in a list; Hauptgebiet; arbitrary maximal order in K","整数环; 极大阶; 本原阶; 首要阶","modern Sino-xenic coinage/calque","High: 主阶 is a literal Mainland-oriented historical calque and may not transparently signal the ring of integers.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","主階","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Retained to preserve the contrast Hauptordnung/Hauptgebiet while the sense window records the modern reading."
"P42-ZH-T008","opening; § II theorem 4a; § III definition and theorems","Hauptgebiet","principal region of maximal orders","主区域","The region consisting of maximal orders whose intersection with k is the Hauptordnung o.","principal genus; main geographic region; all maximal orders without the intersection condition; Hauptordnung itself","主区; 基本区域; 首要区域","mixed/contested","High: 主区域 is a producer calque built on Mainland 区域; no Taiwan/Hong Kong/Macao localization evidence exists.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","主區域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Definition is preserved as the decisive sense constraint."
"P42-ZH-T009","opening; § II theorem 4a; § III theorems 1–3","Erweiterungsideale","ideals extended from k to a maximal order","扩张理想","Ideals obtained by extending ideals or modules from the maximal commutative subfield k into the ambient order.","an ideal defining a field extension; an extension class in homological algebra; merely larger ideals","延拓理想; 理想的扩张; 扩充理想","modern Sino-xenic coinage/calque","High: 扩张理想 follows the Mainland extension-of-scalars attractor and could be read as an ideal that is itself enlarged.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","擴張理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The target alternates with the syntactic form k 中理想的扩张."
"P42-ZH-T010","opening; § II auxiliary-lemma footnote; § III definition","p-adische Komponenten","p-adic local components of modules or maximal orders","p-进分量","Components after passage to the p-adic extension/local setting, used to distinguish regions at ramified places.","the p-primary component of a finite group; digits of a p-adic number; an arbitrary coordinate","p-进成分; p-adic 分量; p-局部分量","modern Sino-xenic coinage/calque","Medium: p-进 and 分量 are Mainland-standard choices; regional expository convention was not researched.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","p-進分量","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The target keeps this distinct from the localized component C_p introduced with 𝔬_p."
"P42-ZH-T011","opening; § III definition and proofs","Verzweigungsstellen","ramified places of the algebra or field","分歧位","Places at which ramification occurs and where the local components enter the refined region definition.","branch points of a covering only; divergent locations; finite prime ideals only","分歧处; 分歧素位; 岐化位","modern Sino-xenic coinage/calque","Medium: 分歧位 is concise Mainland number-theory usage; regional terminology was not consulted.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","分歧位","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","位 is used broadly enough for the local-place formulation."
"P42-ZH-T012","§ I title and theorem; § II proof of theorem 1","Matrizeneinheiten","matrix units c_ik in the split algebra","矩阵单位","Elements c_ik satisfying the standard matrix-unit multiplication relations under the trace-dual basis.","the identity matrix; unit entries of a matrix; a matrix basis with no multiplication relation","矩阵单元; 矩阵基元; 矩阵单位元","modern Sino-xenic coinage/calque","Medium: 矩阵单位 is the Mainland lexical base; its possible regional preference against 矩阵单元 is untested.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","矩陣單位","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The defining relation in § I fixes the intended algebraic sense."
"P42-ZH-T013","§ I title and theorem; § II opening and proof of theorem 1","Komplementärbasen","bases dual under the field trace pairing","互补基","A basis and the basis complementary to it under Sp(a_j·ã_l)=δ_jl.","bases of complementary vector subspaces; orthogonal bases for an unspecified form; set-theoretic complements","对偶基; 迹对偶基; 互反基","mixed/contested","High: 互补基 inherits the Simplified-Chinese wording but may under-specify trace duality; regional convention is unknown.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","互補基","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The equation, not the generic word 互补, supplies the operative definition."
"P42-ZH-T014","§ I equations (2b) and theorem; § II theorem 2 remark and proofs","Spur / Spurenbildung","field trace and the trace operation caused by E_G","迹 / 取迹作用","The field trace Sp from k to the base, and its induced role in products involving E_G.","a geometric trace; a path left by motion; matrix trace without the field-extension context","迹映射 / 迹化; 踪; 取迹","Sino-xenic inherited","Medium: 迹 is shared mathematical vocabulary but the inherited Mainland prose choice 取迹作用 is not regionally validated.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","跡 / 取跡作用","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Field-extension scope is explicit wherever Sp appears."
"P42-ZH-T015","§ II theorems 2–4a and proofs; § III theorem 1","Linksideal und reziprokes Rechtsideal","left ideal and mutually inverse right ideal implementing order transformation","左理想及其互逆右理想","A left ideal L and a right ideal R whose products recover the source and target maximal orders.","a left-sided political ideal; numerical reciprocals; merely dual modules; one-sided ideals without the inverse product identities","左理想与逆右理想; 左理想与对偶右理想; 左右互逆理想","Sino-xenic inherited","Medium: 左理想/右理想 are standard Mainland forms, while 互逆 is a producer disambiguation not regionally checked.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","左理想及其互逆右理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The product identities L R=O and R L=O_a delimit reziprok."
"P42-ZH-T016","§ II theorem 4 and proof","Ordnung von a","order associated with the module a","a 的阶","The order/multiplier ring of the module a whose occurrence is characterized by [O_a,k].","the cardinality of a; the degree of a; the position of a in a sequence; Hauptordnung without qualification","a 的乘子阶; a 的乘法子环; 模 a 的阶","unresolved","High: the terse Mainland form a 的阶 is seriously open to group-order or cardinality readings; a checker must assess whether 乘子阶 is preferable.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","a 的階","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The producer keeps the target's compact historical wording but records the unresolved attractor explicitly."
"P42-ZH-T017","§ II transition before the auxiliary lemma","Quotientenring nach p","localization of the integer ring at p","关于 p 的商环","The ring 𝔬_p of p-integral elements whose denominators are prime to p, i.e. the localization specified by the following definition.","the residue quotient 𝔬/p; a generic quotient by an ideal; a field of fractions with every denominator","在 p 处的局部化环; p-局部环; 关于 p 的分式环","mixed/contested","High: 商环 follows the historical/inherited Mandarin wording but strongly attracts the modern quotient-ring sense; independent review is essential.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","關於 p 的商環","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The immediately following denominator definition is the controlling sense window."
"P42-ZH-T018","§ II transition and auxiliary lemma","Erweiterungsmodul C_p","module extended to the localized ring 𝔬_p","扩张模 C_p","The scalar extension/localization C_p=C𝔬_p of an 𝔬-module at the prime p.","an Ext-module in homological algebra; a module extending another by a short exact sequence; any proper overmodule","局部化模 C_p; 标量扩张模; 延拓模","modern Sino-xenic coinage/calque","High: 扩张模 is Mainland-compressed and can attract homological extension senses; the formula must remain attached.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","擴張模 C_p","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The formula C_p=C𝔬_p is part of the producer-side disambiguation."
"P42-ZH-T019","§ III definition","einfache normale Algebra","historical term for a central simple algebra","中心单代数","A finite-dimensional simple algebra whose center is the base field Ω in the paper's historical usage.","a merely simple algebra described as normal; a normal field extension; a normal operator algebra","简单正规代数; 单纯正规代数; 正规单代数","modern Sino-xenic coinage/calque","High: the modern Mainland normalization 中心单代数 replaces the literal historical wording and needs independent historical review.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","中心單代數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The producer chooses the modern structural term rather than a misleading word-for-word rendering."
"P42-ZH-T020","§ III theorems 1 and 3","zur Differente prime Ideale","ideals relatively prime to the different","与不同理想互素的理想","Ideals prime to the different (Differente) of the relevant extension, not ideals that merely differ from one another.","pairwise distinct ideals; ideals prime to their set-theoretic difference; difference ideals in elementary algebra","与不同（different）互素的理想; 与相对不同互素的理想; 与判别不同互素的理想","mixed/contested","High: Mainland 不同理想 is visually identical to ordinary 'different ideals' and is a severe lexical trap; independent checker review is mandatory.","producer editorial choice plus inherited Simplified-Chinese witness; independent checking absent","與不同理想互素的理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The adverse ledger preserves the technical noun Differente explicitly."
