"blocker_id","route_or_language","origin_ledger","current_status","c7fb_replay_result","next_recovery_action","disallowed_claims","branch_head"
"blocker","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Jamaican Creole / Jamaican Patois","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Jamaican Creole/Patois","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Find Patois STEM/numeracy witness or reviewer route.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Krio","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Nigerian Pidgin","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Papiamento/Papiamentu","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Papiamento/Papiamentu - Aruba","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
