source_document_id,findability_id,language_code,language_bucket,family,branch,file_type,source_path,local_path,provenance_url,raw_source_url,repository_full_name,hash_sha256,byte_count,license_availability_note,access_class,topic_tags,script_counts_json,witness_category,upload_policy,source_use_label,non_claim_boundary
CJK-SOURCE-BODY-20260705-0001,CJK-FIND-20260705-001,ja,japanese,Japonic,Japanese,tex-or-latex-source,L-Alg.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\homuralove__linear-algebra\L-Alg.tex,https://github.com/homuralove/linear-algebra,https://raw.githubusercontent.com/homuralove/linear-algebra/master/L-Alg.tex,homuralove/linear-algebra,416C5538CC68605787A5656C212B9BC6DAEAD25BBBA434AED9ABE7C88C777F3C,106732,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese TeX notes,"{""ASCII"": 52849, ""CJK_Punctuation"": 1119, ""CJK_Unified_Ideograph"": 6109, ""Fullwidth"": 4, ""Hiragana"": 9806, ""Katakana"": 918, ""Other_Non_ASCII"": 5}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0002,CJK-FIND-20260705-002,ja,japanese,Japonic,Japanese,tex-or-latex-source,2015linear_algebra.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\2015linear_algebra.tex,https://github.com/HideakiHosaka/2015_linear_algebra,https://raw.githubusercontent.com/HideakiHosaka/2015_linear_algebra/master/2015linear_algebra.tex,HideakiHosaka/2015_linear_algebra,2069AFD7036835AC4D84BED762585B2D88B3AF2777AB0AFA7F210EFF40EC1747,4614,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese course materials; TeX,"{""ASCII"": 3048, ""CJK_Punctuation"": 3, ""CJK_Unified_Ideograph"": 289, ""Hiragana"": 140, ""Katakana"": 87, ""Other_Non_ASCII"": 3}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0003,CJK-FIND-20260705-002,ja,japanese,Japonic,Japanese,tex-or-latex-source,20150415.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\20150415.tex,https://github.com/HideakiHosaka/2015_linear_algebra,https://raw.githubusercontent.com/HideakiHosaka/2015_linear_algebra/master/20150415.tex,HideakiHosaka/2015_linear_algebra,EE171BE5FEDF9F49B1A424EA825746DBA65230CB56E6FC00A412C60F985665B1,44219,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese course materials; TeX,"{""ASCII"": 15059, ""CJK_Punctuation"": 681, ""CJK_Unified_Ideograph"": 3087, ""Fullwidth"": 5, ""Hiragana"": 5594, ""Katakana"": 353}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0004,CJK-FIND-20260705-002,ja,japanese,Japonic,Japanese,tex-or-latex-source,20150422.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\20150422.tex,https://github.com/HideakiHosaka/2015_linear_algebra,https://raw.githubusercontent.com/HideakiHosaka/2015_linear_algebra/master/20150422.tex,HideakiHosaka/2015_linear_algebra,E1DFC26FCC002C626D5F5737D87CDF0475BB2D5344E9ABD1F4DF5B24BAAF267F,34312,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese course materials; TeX,"{""ASCII"": 13477, ""CJK_Punctuation"": 445, ""CJK_Unified_Ideograph"": 2286, ""Fullwidth"": 3, ""Hiragana"": 4042, ""Katakana"": 168, ""Other_Non_ASCII"": 1}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0005,CJK-FIND-20260705-002,ja,japanese,Japonic,Japanese,tex-or-latex-source,20150507.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\20150507.tex,https://github.com/HideakiHosaka/2015_linear_algebra,https://raw.githubusercontent.com/HideakiHosaka/2015_linear_algebra/master/20150507.tex,HideakiHosaka/2015_linear_algebra,10801E9E1D00E5D629A74FDA49D95388121D84009E24A5046E5903FC3E5D33BE,47054,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese course materials; TeX,"{""ASCII"": 13534, ""CJK_Punctuation"": 712, ""CJK_Unified_Ideograph"": 3373, ""Fullwidth"": 17, ""Hiragana"": 6288, ""Katakana"": 779, ""Other_Non_ASCII"": 5}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0006,CJK-FIND-20260705-003,ja,japanese,Japonic,Japanese,tex-or-latex-source,sec1.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1.TEX,https://github.com/t-higashida/linear_algebra,https://raw.githubusercontent.com/t-higashida/linear_algebra/master/sec1.TEX,t-higashida/linear_algebra,5B5E0FFDA4DA1E168F5F0721F68612661B5D1454438104EECB93122841640077,3053,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese TeX notes,"{""ASCII"": 1823, ""CJK_Unified_Ideograph"": 11, ""Hangul"": 5, ""Katakana"": 1, ""Other_Non_ASCII"": 949}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0007,CJK-FIND-20260705-003,ja,japanese,Japonic,Japanese,tex-or-latex-source,sec1x1x2.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1x1x2.TEX,https://github.com/t-higashida/linear_algebra,https://raw.githubusercontent.com/t-higashida/linear_algebra/master/sec1x1x2.TEX,t-higashida/linear_algebra,782E1B6CDB2620B31662A5F605B6D2376BC93E6105C0AC439236FAA3DD454073,7399,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese TeX notes,"{""ASCII"": 5057, ""CJK_Unified_Ideograph"": 31, ""Hangul"": 6, ""Katakana"": 1, ""Other_Non_ASCII"": 1797}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0008,CJK-FIND-20260705-003,ja,japanese,Japonic,Japanese,tex-or-latex-source,sec1x1x3.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1x1x3.TEX,https://github.com/t-higashida/linear_algebra,https://raw.githubusercontent.com/t-higashida/linear_algebra/master/sec1x1x3.TEX,t-higashida/linear_algebra,94281B5C3F2AB02B355C53AB90682E719550F1835B40BEE451D9030A1B7AD6A8,2469,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese TeX notes,"{""ASCII"": 1911, ""CJK_Unified_Ideograph"": 6, ""Hangul"": 1, ""Other_Non_ASCII"": 448}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0009,CJK-FIND-20260705-003,ja,japanese,Japonic,Japanese,tex-or-latex-source,sec1x1x4.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1x1x4.TEX,https://github.com/t-higashida/linear_algebra,https://raw.githubusercontent.com/t-higashida/linear_algebra/master/sec1x1x4.TEX,t-higashida/linear_algebra,ADDF4E879579ABA28113963B9540D0366318EEBE50EA780357BC62720659D6C3,7515,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; Japanese TeX notes,"{""ASCII"": 6516, ""CJK_Unified_Ideograph"": 18, ""Hangul"": 1, ""Other_Non_ASCII"": 764}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0010,CJK-FIND-20260705-004,ja,japanese,Japonic,Japanese,text-or-repository-metadata,README.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\README.md,https://github.com/rsato64/relativisticQM,https://raw.githubusercontent.com/rsato64/relativisticQM/main/README.md,rsato64/relativisticQM,94AA29D154B4D44AFA52B87A85CFF868F4C93BFCDEA2BF35EF7FB65AF283FA0A,134,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,group theory; Lie algebra reference; physics-adjacent TeX,"{""ASCII"": 26, ""CJK_Punctuation"": 3, ""CJK_Unified_Ideograph"": 18, ""Fullwidth"": 1, ""Hiragana"": 11, ""Katakana"": 3}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
