lexeme_id,candidate_bridge_form,language_code,language_lane,supporting_forms,adverse_forms,false_friend_notes,branch_weights_json,marginal_intelligibility_score,dominance_penalty,evidence_caution_factor,source_ref_factor,final_status,notes
CJK-LEX-abstract-algebra-course-scope-de7ee9ed38,抽象代数,zh-Hans,simplified_chinese,CJK-FIND-20260705-005;CJK-FIND-20260705-006;CJK-FIND-20260705-007;CJK-FIND-20260705-008;CJK-FIND-20260705-009;CJK-FIND-20260705-010;CJK-FIND-20260705-011,,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.0, ""korean_addendum"": 0.5, ""simplified_chinese"": 0.5}",0.933333,0.333333,1.000000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-abstract-algebra-course-scope-de7ee9ed38,추상대수학,ko,korean_addendum,CJK-FIND-20260705-012;CJK-FIND-20260705-013;CJK-FIND-20260705-019,,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.0, ""korean_addendum"": 0.5, ""simplified_chinese"": 0.5}",0.542400,0.333333,1.000000,0.600000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-algebra-algebra-core-9b82917b17,代数,ja,japanese,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.5, ""korean_addendum"": 0.5, ""simplified_chinese"": 0.0}",0.933333,0.333333,1.000000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-algebra-algebra-core-9b82917b17,대수,ko,korean_addendum,CJK-FIND-20260705-012;CJK-FIND-20260705-013;CJK-FIND-20260705-019,,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.5, ""korean_addendum"": 0.5, ""simplified_chinese"": 0.0}",0.542400,0.333333,1.000000,0.600000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-automorphism-morphism-f6892f1116,自己同型,ja,japanese,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,CJK-ACQ-GAP-20260705-029,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.5, ""korean_addendum"": 0.0, ""simplified_chinese"": 0.5}",0.835333,0.333333,0.720000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-automorphism-morphism-f6892f1116,自同构,zh-Hans,simplified_chinese,CJK-FIND-20260705-005;CJK-FIND-20260705-006;CJK-FIND-20260705-007;CJK-FIND-20260705-008;CJK-FIND-20260705-009;CJK-FIND-20260705-010;CJK-FIND-20260705-011,CJK-ACQ-GAP-20260705-029,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.5, ""korean_addendum"": 0.0, ""simplified_chinese"": 0.5}",0.933333,0.333333,1.000000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-basis-theorem-commutative-algebra-a0f88db766,基底定理,ja,japanese,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,CJK-ACQ-GAP-20260705-018,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.5, ""korean_addendum"": 0.0, ""simplified_chinese"": 0.5}",0.775833,0.333333,0.550000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-basis-theorem-commutative-algebra-a0f88db766,基定理,zh-Hans,simplified_chinese,CJK-FIND-20260705-005;CJK-FIND-20260705-006;CJK-FIND-20260705-007;CJK-FIND-20260705-008;CJK-FIND-20260705-009;CJK-FIND-20260705-010;CJK-FIND-20260705-011,CJK-ACQ-GAP-20260705-018,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.5, ""korean_addendum"": 0.0, ""simplified_chinese"": 0.5}",0.775833,0.333333,0.550000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-character-representation-theory-5a7b66bce9,指標,ja,japanese,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.333333, ""korean_addendum"": 0.333333, ""simplified_chinese"": 0.333333}",0.902000,0.000000,0.720000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
CJK-LEX-character-representation-theory-5a7b66bce9,特征标,zh-Hans,simplified_chinese,CJK-FIND-20260705-005;CJK-FIND-20260705-006;CJK-FIND-20260705-007;CJK-FIND-20260705-008;CJK-FIND-20260705-009;CJK-FIND-20260705-010;CJK-FIND-20260705-011,,none recorded in CJK lane; see do_not_use.csv for retained gaps and false-output guards,"{""japanese"": 0.333333, ""korean_addendum"": 0.333333, ""simplified_chinese"": 0.333333}",1.000000,0.000000,1.000000,1.000000,generated-draft/non-canonical/review-material-only,"Score is an audit prioritization proxy from source refs, caution status, and branch spread; it is not comprehension measurement or terminology approval."
