do_not_use_id,candidate_or_claim,language_lane,relation,blocked_scope,action,evidence_or_gap_note,source_row_ref
DNU-CJK-GAP-0001,tensor product,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact japanese source-content witness for tensor product; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-001
DNU-CJK-GAP-0002,Noether/Noetherian,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noether/Noetherian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-002
DNU-CJK-GAP-0003,Noetherian,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noetherian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-003
DNU-CJK-GAP-0004,Noetherian/Noether,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noetherian/Noether as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-004
DNU-CJK-GAP-0005,Harish-Chandra,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact japanese source-content witness for Harish-Chandra; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-005
DNU-CJK-GAP-0006,Artin/Artinian,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Artin/Artinian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-006
DNU-CJK-GAP-0007,Artinian/Artin,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Artinian/Artin as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-007
DNU-CJK-GAP-0008,localization,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact japanese source-content witness for localization; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-008
DNU-CJK-GAP-0009,norm,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for norm; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-009
DNU-CJK-GAP-0010,ring of integers,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for ring of integers; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-010
DNU-CJK-GAP-0011,decomposition of primes,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for decomposition of primes; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-011
DNU-CJK-GAP-0012,class number,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for class number; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-012
DNU-CJK-GAP-0013,tensor product,simplified_chinese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact simplified_chinese source-content witness for tensor product; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-013
DNU-CJK-GAP-0014,Noether/Noetherian,simplified_chinese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noether/Noetherian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-014
DNU-CJK-GAP-0015,Noether/Noetherian,simplified_chinese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noether/Noetherian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-015
DNU-CJK-GAP-0016,localization,simplified_chinese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact simplified_chinese source-content witness for localization; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-016
DNU-CJK-GAP-0017,modern algebra,simplified_chinese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep modern algebra as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-017
DNU-CJK-GAP-0018,basis theorem,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for basis theorem; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-018
DNU-CJK-GAP-0019,localization,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact korean_addendum source-content witness for localization; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-019
DNU-CJK-GAP-0020,division ring,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for division ring; reason=korean_addendum_source_or_native_register_reinforcement_needed.,CJK-ACQ-GAP-20260705-020
DNU-CJK-GAP-0021,Artin/Artinian,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Artin/Artinian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-021
DNU-CJK-GAP-0022,Artinian/Artin,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Artinian/Artin as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,CJK-ACQ-GAP-20260705-022
DNU-CJK-GAP-0023,finitely generated,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for finitely generated; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-023
DNU-CJK-GAP-0024,free module,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for free module; reason=korean_addendum_source_or_native_register_reinforcement_needed.,CJK-ACQ-GAP-20260705-024
DNU-CJK-GAP-0025,right module,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for right module; reason=korean_addendum_source_or_native_register_reinforcement_needed.,CJK-ACQ-GAP-20260705-025
DNU-CJK-GAP-0026,simple module,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for simple module; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-026
DNU-CJK-GAP-0027,submodule,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for submodule; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-027
DNU-CJK-GAP-0028,tensor product,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact korean_addendum source-content witness for tensor product; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-028
DNU-CJK-GAP-0029,automorphism,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for automorphism; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-029
DNU-CJK-GAP-0030,endomorphism,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for endomorphism; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-030
