form_id,lexeme_id,active_row_id,language_code,language_lane,family,branch,script,source_form,normalized_form,source_document,source_location,witness_category,source_use_label,draft_status,source_context_note,formula_neighboring_usage_note,interlinear_or_semiconstructed_scaffold,register_note,caution_status,non_claim_boundary
CJK-COVERED-DRAFT-20260705-001,CJK-LEX-module-module-theory-884b3517e6,term-ja-0010,ja,japanese,Japonic,Japanese,Han + Hiragana + Katakana + Latin/math,加群,加群,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,https://github.com/homuralove/linear-algebra;https://github.com/HideakiHosaka/2015_linear_algebra;https://github.com/t-higashida/linear_algebra;https://github.com/rsato64/relativisticQM;https://github.com/imamuray/algebraic-systems,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near M, N, submodule/quotient-module notation and morphisms; do not treat product notation as tensor product without exact source evidence.",module :: 加群 :: domain=module_theory :: lane=japanese :: draft/non-canonical/not-native-reviewed,Draft Japanese native-edition support row. Use with source-context evidence; confidence marker=strong_source_backed; no native-review or accepted-terminology claim.,covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-032,CJK-LEX-module-module-theory-884b3517e6,term-zh-hans-0014,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,Simplified Han + Latin/math,模,模,CJK-FIND-20260705-005;CJK-FIND-20260705-006;CJK-FIND-20260705-007;CJK-FIND-20260705-008;CJK-FIND-20260705-009;CJK-FIND-20260705-010;CJK-FIND-20260705-011,https://github.com/zhcosin/algebra-notes;https://github.com/Kfj2006/Algebra_notes;https://github.com/ayhe123/algebra-lecturenote;https://github.com/GooduckZ/Linear-Algebra-for-ZJUCKC;https://github.com/yhwu-is/Linear-Algebra-Left-Undone,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near M, N, submodule/quotient-module notation and morphisms; do not treat product notation as tensor product without exact source evidence.",module :: 模 :: domain=module_theory :: lane=simplified_chinese :: draft/non-canonical/not-native-reviewed,Draft Simplified Chinese support row. Han codepoints alone do not prove Simplified Chinese; source metadata/context carries the lane assignment; confidence marker=strong_source_backed_but_single_character.,covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-065,CJK-LEX-module-module-theory-884b3517e6,term-ko-draft-0014,ko,korean_addendum,Koreanic,Korean addendum/source-routing,Hangul + Hanja/Latin/math where present,가군,가군,CJK-FIND-20260705-012;CJK-FIND-20260705-013;CJK-FIND-20260705-019,https://github.com/gshstexsociety/examples;https://github.com/alstn2468/category-theory-for-programmers;https://github.com/calofmijuck/algebra,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near M, N, submodule/quotient-module notation and morphisms; do not treat product notation as tensor product without exact source evidence.",module :: 가군 :: domain=module_theory :: lane=korean_addendum :: draft/non-canonical/not-native-reviewed,"Draft Korean addendum/source-routing row only. This does not assert Korean native-edition authority, Korean-school authority, or accepted style; confidence marker=kms_snu_github_source_backed.",covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-002,CJK-LEX-simple-module-module-theory-fa7a54703e,term-ja-0011,ja,japanese,Japonic,Japanese,Han + Hiragana + Katakana + Latin/math,単純加群,単純加群,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,https://github.com/homuralove/linear-algebra;https://github.com/HideakiHosaka/2015_linear_algebra;https://github.com/t-higashida/linear_algebra;https://github.com/rsato64/relativisticQM;https://github.com/imamuray/algebraic-systems,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near M, N, submodule/quotient-module notation and morphisms; do not treat product notation as tensor product without exact source evidence.",simple module :: 単純加群 :: domain=module_theory :: lane=japanese :: draft/non-canonical/not-native-reviewed,Draft Japanese native-edition support row. Use with source-context evidence; confidence marker=source_backed_limited; no native-review or accepted-terminology claim.,covered_with_limited_source_caution,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-003,CJK-LEX-free-module-module-theory-913bb6ea21,term-ja-0012,ja,japanese,Japonic,Japanese,Han + Hiragana + Katakana + Latin/math,自由加群,自由加群,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,https://github.com/homuralove/linear-algebra;https://github.com/HideakiHosaka/2015_linear_algebra;https://github.com/t-higashida/linear_algebra;https://github.com/rsato64/relativisticQM;https://github.com/imamuray/algebraic-systems,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near M, N, submodule/quotient-module notation and morphisms; do not treat product notation as tensor product without exact source evidence.",free module :: 自由加群 :: domain=module_theory :: lane=japanese :: draft/non-canonical/not-native-reviewed,Draft Japanese native-edition support row. Use with source-context evidence; confidence marker=strong_source_backed; no native-review or accepted-terminology claim.,covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-004,CJK-LEX-submodule-module-theory-3208502312,term-ja-0013,ja,japanese,Japonic,Japanese,Han + Hiragana + Katakana + Latin/math,部分加群,部分加群,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,https://github.com/homuralove/linear-algebra;https://github.com/HideakiHosaka/2015_linear_algebra;https://github.com/t-higashida/linear_algebra;https://github.com/rsato64/relativisticQM;https://github.com/imamuray/algebraic-systems,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near M, N, submodule/quotient-module notation and morphisms; do not treat product notation as tensor product without exact source evidence.",submodule :: 部分加群 :: domain=module_theory :: lane=japanese :: draft/non-canonical/not-native-reviewed,Draft Japanese native-edition support row. Use with source-context evidence; confidence marker=strong_source_backed; no native-review or accepted-terminology claim.,covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-031,CJK-LEX-submodule-module-theory-3208502312,term-zh-hans-0012,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,Simplified Han + Latin/math,子模,子模,CJK-FIND-20260705-005;CJK-FIND-20260705-006;CJK-FIND-20260705-007;CJK-FIND-20260705-008;CJK-FIND-20260705-009;CJK-FIND-20260705-010;CJK-FIND-20260705-011,https://github.com/zhcosin/algebra-notes;https://github.com/Kfj2006/Algebra_notes;https://github.com/ayhe123/algebra-lecturenote;https://github.com/GooduckZ/Linear-Algebra-for-ZJUCKC;https://github.com/yhwu-is/Linear-Algebra-Left-Undone,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near M, N, submodule/quotient-module notation and morphisms; do not treat product notation as tensor product without exact source evidence.",submodule :: 子模 :: domain=module_theory :: lane=simplified_chinese :: draft/non-canonical/not-native-reviewed,Draft Simplified Chinese support row. Han codepoints alone do not prove Simplified Chinese; source metadata/context carries the lane assignment; confidence marker=manual_exact_compound_check.,covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-005,CJK-LEX-lie-group-representation-theory-3b2b2ae437,term-ja-0026,ja,japanese,Japonic,Japanese,Han + Hiragana + Katakana + Latin/math,リー群,リー群,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,https://github.com/homuralove/linear-algebra;https://github.com/HideakiHosaka/2015_linear_algebra;https://github.com/t-higashida/linear_algebra;https://github.com/rsato64/relativisticQM;https://github.com/imamuray/algebraic-systems,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near group/algebra actions, matrices, characters, and representation modules; do not open Harish-Chandra without exact source evidence.",Lie group :: リー群 :: domain=representation_theory :: lane=japanese :: draft/non-canonical/not-native-reviewed,Draft Japanese native-edition support row. Use with source-context evidence; confidence marker=strong_source_backed; no native-review or accepted-terminology claim.,covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-072,CJK-LEX-lie-group-representation-theory-3b2b2ae437,term-ko-draft-0032,ko,korean_addendum,Koreanic,Korean addendum/source-routing,Hangul + Hanja/Latin/math where present,리 군,리 군,CJK-FIND-20260705-012;CJK-FIND-20260705-013;CJK-FIND-20260705-019,https://github.com/gshstexsociety/examples;https://github.com/alstn2468/category-theory-for-programmers;https://github.com/calofmijuck/algebra,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near group/algebra actions, matrices, characters, and representation modules; do not open Harish-Chandra without exact source evidence.",Lie group :: 리 군 :: domain=representation_theory :: lane=korean_addendum :: draft/non-canonical/not-native-reviewed,"Draft Korean addendum/source-routing row only. This does not assert Korean native-edition authority, Korean-school authority, or accepted style; confidence marker=wiki_source_backed.",covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
CJK-COVERED-DRAFT-20260705-006,CJK-LEX-semisimple-representation-theory-91d1747f02,term-ja-0027,ja,japanese,Japonic,Japanese,Han + Hiragana + Katakana + Latin/math,半単純,半単純,CJK-FIND-20260705-001;CJK-FIND-20260705-002;CJK-FIND-20260705-003;CJK-FIND-20260705-004;CJK-FIND-20260705-016;CJK-FIND-20260705-017;CJK-FIND-20260705-018,https://github.com/homuralove/linear-algebra;https://github.com/HideakiHosaka/2015_linear_algebra;https://github.com/t-higashida/linear_algebra;https://github.com/rsato64/relativisticQM;https://github.com/imamuray/algebraic-systems,generated-draft-supported-by-source-canon-refs,generated-draft,generated-draft/non-canonical/not-native-reviewed/not-accepted-terminology,Current source witnesses are manifest-only provenance rows; raw source bodies/archives are not included in rolling packages.,"Use near group/algebra actions, matrices, characters, and representation modules; do not open Harish-Chandra without exact source evidence.",semisimple :: 半単純 :: domain=representation_theory :: lane=japanese :: draft/non-canonical/not-native-reviewed,Draft Japanese native-edition support row. Use with source-context evidence; confidence marker=strong_source_backed; no native-review or accepted-terminology claim.,covered_without_extra_caution_marker,"generated-draft support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, translation completion, or native CJK evidence claim"
