relative_path,bytes,sha256,source_use_label,row_count,generated_at_utc
branch_weight_ledger.csv,23800,895115A41E809F2CA212DF1ECD4BE77EB60E33AB44234714278C4A1C31421897,audit-ledger,40,2026-07-05T18:01:07Z
CJK_FABLE_SOURCE_BODY_INTERLANGUAGE_SUMMARY.json,3237,D02A58B706970B56F4CB761BA0484CF8E7090C0AC56862E9B19BF5BEB2C017EC,audit-ledger,,2026-07-05T18:01:07Z
CJK_FABLE_SOURCE_BODY_INTERLANGUAGE_SUMMARY_FULL.json,9380,13D778EDC8E8D820238920AC563957B5655643495E062C9D98EA0AECFE2250CE,audit-ledger,,2026-07-05T18:01:07Z
do_not_use.csv,15916,8E27EE6F7AE5547E0E991FAFD49366C2CDFA251232F701D6CB4E8A353A1D8A50,audit-ledger,47,2026-07-05T18:01:07Z
FABLE_REQUIREMENTS_ACKNOWLEDGED_20260705.md,3103,B23720DBCCAF548D02ED650F9ABE1B2F46F15B763A911297549F29884402AA05,audit-ledger,,2026-07-05T18:01:07Z
forms.csv,116811,26541D1D999555FCCB2831B9BE7D58CEFDF625E0FC296FAAA7555E426D045586,audit-ledger,81,2026-07-05T18:01:07Z
governing_documents.csv,3988,4DA7689AC7012E4A9F7CD2B5D319020442DF9D91697DE875FEAC0FDF72CC886E,audit-ledger,12,2026-07-05T18:01:07Z
HEARTBEAT_20260705.md,2965,C6D597DD1F4127BBA4933CCAC6CEDAB69082BFD332200CC54BC70629A7353615,audit-ledger,,2026-07-05T18:01:07Z
languages.csv,1470,11B229C03547B5719E07C4114A70EA529C5B39F867FC56411AD5CA245F99E754,audit-ledger,3,2026-07-05T18:01:07Z
lexemes.jsonl,156153,252B006BA48A5E8FA6C6EC629FDF8C059AB87129F579C15CF2AAE58885A64CD3,audit-ledger,40,2026-07-05T18:01:07Z
marginal_intelligibility.csv,32551,68A1E440850263A0A5F2FA037677892C8EDE22012284CC9FD467CA7BC74C710A,audit-ledger,81,2026-07-05T18:01:07Z
README.md,1351,9AD3C04344E07FA1CB4D77A7210A36B264881C3E59D4EF230F379479EAE55C07,audit-ledger,,2026-07-05T18:01:07Z
rules_acknowledgement.md,1979,722DFE77E246C112D5F468FB6AD3819F76D84177A8A1738EA9CB21A497117CFE,audit-ledger,,2026-07-05T18:01:07Z
SESSION_LOGBOOK_20260705.md,3721,1C376F72F18B531A47E3D7ABB0F4DC916A501110FFC52544047EE20D2D823AD4,audit-ledger,,2026-07-05T18:01:07Z
source_documents.csv,81482,DD77C7523F86E723E763503B0F393F769FD19FF1AF0171C2A2699E3AE13448AB,audit-ledger,69,2026-07-05T18:01:07Z
source_use_status.csv,76861,498C685B49CF44DE7C15A73985862F86A49F89CFDE7A04A8F9171CB5BB14FC28,audit-ledger,162,2026-07-05T18:01:07Z
word_weights.csv,51319,479CBDD59DC8B3965F21861D96F27B6638DF97BF86400280A5595C7AF8BCE4CA,audit-ledger,81,2026-07-05T18:01:07Z
