"observed_head","language","bcp47","hard_row","witness_status","source_phrase_or_context","formula_neighboring_usage","local_path","sha256","allowed_use","prohibited_use","next_recovery_or_gate","boundary"
"faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-NOETHERIAN-RING","exact local source witness present","Нётер ҡулсаһы","ring-family row, no formula on same line","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-20260629T101500Z\Ring (mathematics)__Ҡулса (математика).wiki","44d821f09fd2a071eb7c53734c5dae665fba051de2db25685732f501661ee4b2","generated-draft/noncanonical support and reviewer routing only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","B3/reviewer may decide whether transition ledger should mark support recovered; this lane keeps no promotion claim","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","exact local source witness present","күпбыуындар ҡулсаһы","R[x_1,x_2,...,x_n]; R[x][y]=R[x,y]; tensor formula","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-20260629T101500Z\Ring (mathematics)__Ҡулса (математика).wiki","44d821f09fd2a071eb7c53734c5dae665fba051de2db25685732f501661ee4b2","generated-draft/noncanonical support and reviewer routing only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Reviewer/source review required before any transition update","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","exact local source witness present","күпбыуындар ҡулсаһы","k[x] over field k; ideals, zero ideal, maximal ideal in same row","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-direct-20260705\DirectWikiAPI__Коммутатив ҡулса.wiki","b65e6a3d65184941b2a7ec86023717907be828163b82d2a58c70d093ab0bd7fd","generated-draft/noncanonical support and reviewer routing only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Reviewer/source review required before any transition update","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","exact local source witness present","күпбыуындар балдағы","polynomial-ring properties; register variant балдаҡ/балдағы","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-20260629T101500Z\Polynomial__Күпбыуын.wiki","a866b9f7cf2b4dfdc2d6b1a53b0ebb16ea212adacd90454703de24548159851b","generated-draft/noncanonical support and reviewer routing only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Reviewer decides register handling; no term promotion from this lane","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Azerbaijani","az","L-NOETHERIAN-RING","no exact local source witness for hard row","locate exact target-language mathematical source body or reviewer return for this row","","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","continue exact target-language source-body/reviewer-return recovery","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Azerbaijani","az","L-POLYNOMIAL-RING","no exact local source witness for hard row","locate exact target-language mathematical source body or reviewer return for this row","","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","continue exact target-language source-body/reviewer-return recovery","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Kazakh","kk","L-NOETHERIAN-RING","no exact local source witness for hard row","locate exact target-language mathematical source body or reviewer return for this row","","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","continue exact target-language source-body/reviewer-return recovery","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Kyrgyz","ky","L-NOETHERIAN-RING","no exact local source witness for hard row","searched local bodies: bodies/ky/wikitext-20260629T101500Z; bodies/ky/wikitext-direct-20260705; bodies/ky/pdf-witnesses; bodies/ky/current-probe; bodies/ky/current-web-hard-row-20260706; ocr-witnesses/ky","ring-neighborhood PDF contains factor-ring glossary terms but no Noetherian-ring row","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Find exact Kyrgyz Noetherian-ring source row or reviewer return","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Kyrgyz","ky","L-POLYNOMIAL-RING","no exact local source witness for hard row","glossary PDF plus OCR: фактор-шакек lines 194, 246; polynomial neighbors lines 136, 238, 305; no көп мүчөлөр шакеги row","factor-ring and polynomial glossary neighbors only; no R[x] or polynomial-ring formula row","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Search Kyrgyz university algebra notes for көп мүчөлөр шакеги or formula-neighboring R[x]","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Tatar","tt","L-NOETHERIAN-RING","no exact local source witness for hard row","searched local bodies: bodies/tt/pdf-witnesses; bodies/tt/current-probe; bodies/tt/prior-retry; bodies/tt/wikitext-20260629T101500Z; ocr-witnesses/tt; source-rescribe-workpass/tt","Tatar algebra/polynomial bodies exist, but no Нётер/Нетер боҗрасы source row","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Find exact Tatar Noetherian-ring source row in math dictionary, textbook, university PDF, source archive, or reviewer return","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Tatar","tt","L-POLYNOMIAL-RING","no exact local source witness for hard row","OCR hits: TT-PDF-001/002 school algebra and TT-PDF-003 scientific journal contain күпбуын/küpbuynar contexts, but no боҗра+polynomial-ring source row","polynomial contexts without ring formula or source row","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Search Tatar algebra course PDFs/source archives for exact polynomial-ring row","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Turkmen","tk","L-NOETHERIAN-RING","no exact local source witness for hard row","searched local bodies: bodies/tk/current-source-gate; bodies/tk/prior-retry; bodies/tk/wikitext-20260629T101500Z; ocr-witnesses/tk; source-rescribe-workpass/tk","Turkmen higher algebra/math captures exist but no Noether/Nöter/Noeter halkasy row","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Find exact Turkmen Noetherian-ring source row or reviewer return","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Turkmen","tk","L-POLYNOMIAL-RING","no exact local source witness for hard row","TK-CUR-051-003 HTML and TK-CUR-051-004 PDF contain higher algebra/polynomial context but no exact köpagza/köpagzalar halkasy or R[x] polynomial-ring row","polynomial/algebra context only; no ring formula row","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","Search Turkmen algebra textbook PDFs/source archives for exact formula-neighboring polynomial-ring row","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Uzbek","uz","L-NOETHERIAN-RING","no exact local source witness for hard row","locate exact target-language mathematical source body or reviewer return for this row","","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","continue exact target-language source-body/reviewer-return recovery","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","Uzbek","uz","L-POLYNOMIAL-RING","no exact local source witness for hard row","locate exact target-language mathematical source body or reviewer return for this row","","","","recovery/blocker accounting only","closure, source certification, term promotion, bridge/pilot construction, native-review or completion claim","continue exact target-language source-body/reviewer-return recovery","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
