"observed_head","carried_from_head","language","bcp47","hard_row","row_class","blocker_preserved","active_recovery","source_status","do_not_promote","boundary"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-NOETHERIAN-RING","source-gated generated-draft/noncanonical support","True","B3/reviewer may decide whether transition ledger should mark support recovered; this lane keeps no promotion claim","line 184: * [[Нётер ҡулсаһы]]","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","source-gated generated-draft/noncanonical support","True","Reviewer/source review required before any transition update","line 133: күпбыуындар ҡулсаһы with R[x_1,x_2,...,x_n] and R[x][y]=R[x,y]","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","source-gated generated-draft/noncanonical support","True","Reviewer/source review required before any transition update","line 11: k[x] [[күпбыуындар ҡулсаһы]] near principal ideals, zero ideal, maximal ideal","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","source-gated generated-draft/noncanonical support","True","Reviewer decides register handling; no term promotion from this lane","lines 44-47: күпбыуындар балдағы properties over domains, factorial rings, and fields","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Azerbaijani","az","L-NOETHERIAN-RING","zero-row/gap recovery blocker","True","continue exact target-language source-body/reviewer-return recovery","no zero-row payload row found","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Azerbaijani","az","L-POLYNOMIAL-RING","zero-row/gap recovery blocker","True","continue exact target-language source-body/reviewer-return recovery","no zero-row payload row found","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Kazakh","kk","L-NOETHERIAN-RING","zero-row/gap recovery blocker","True","continue exact target-language source-body/reviewer-return recovery","no zero-row payload row found","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Kyrgyz","ky","L-NOETHERIAN-RING","zero-row/gap recovery blocker","True","Find exact Kyrgyz Noetherian-ring source row or reviewer return","searched-path blocker row; no exact source body","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Kyrgyz","ky","L-POLYNOMIAL-RING","zero-row/gap recovery blocker","True","Search Kyrgyz university algebra notes for көп мүчөлөр шакеги or formula-neighboring R[x]","searched-path blocker row; ring-neighbor body only","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"faa2c330deb886098750dafb5c500e244e1333fe","faa2c330deb886098750dafb5c500e244e1333fe","Tatar","tt","L-NOETHERIAN-RING","zero-row/gap recovery blocker","True","Find exact Tatar Noetherian-ring source row in math dictionary, textbook, university PDF, source archive, or reviewer return","searched-path blocker row; no exact source body","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
