source_term,spanish,japanese,notes
Körper,cuerpo,体,Noether rational-function-field context
System,sistema,系,Abstract system of functions/polynomials
lineare Schar,familia lineal,線形族,Keep as family not pencil unless geometry demands
Integritätsbereich,dominio de integridad,整性領域,Noether's integrality-domain term
relativ-ganzer Bereich,dominio relativamente entero,相対的整領域,Hilbert Problem 14 terminology
Rationalbasis,base racional,有理基底,
Minimalbasis,base mínima,最小基底,
Involutionsbasis,base de involución,インボリューション基底,
Integritätsbasis,base de integridad,整性基底,
ganze rationale Funktion,función racional entera,整有理関数,Polynomial/integral-rational function
ganz rational,racional entero,整有理,Paper 07-08 invariant theory usage
ganzzahlig,entero / con coeficientes enteros,整数係数 / 整数上整,Distinguish from ganze rationale in §§14-15
Abbildungsbereich,dominio de aplicación,写像領域,
erster Art,de primera especie,第一種,
regulär,regular,正則,
Grundpunkt,punto fundamental,基本点,
Resultante,resultante,終結式,
endliche Gruppe,grupo finito,有限群,Paper 07
Invariant,invariante,不変式,Invariant-theory context
Galoissche Resolvente,resolvente de Galois,Galois resolvent,Keep Galois resolvent in JA Latin phrase when attached to formula
vollständiges System,sistema completo,完全系,Invariant full system
Potenzsumme,suma de potencias,冪和,Paper 07 power sums
Grundform,forma fundamental,基本形式,Paper 08
Polarprozeß / Polarprozess,proceso polar,極化過程,Paper 08
lineare Familie,familia lineal,線形族,Paper 08; same register as lineare Schar when abstract
Rang,rango,階数,Linear-family rank
Reihenentwicklung,desarrollo en serie,級数展開,Paper 08
Determinante,determinante,行列式,Paper 08
cogrediente Veränderliche,variables cogredientes,共変な変数,Historical invariant-theory term
