"id","language","hard_row","variant","scan_file_count","hit_count","hit_file_count","hit_files","first_hit","status"
"MTS-TT-NR-001","Tatar","Noetherian ring","Нётер боҗрасы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TT-NR-002","Tatar","Noetherian ring","Нетер боҗрасы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TT-NR-003","Tatar","Noetherian ring","Нөтер боҗрасы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TT-PR-001","Tatar","Polynomial ring","полиномнар боҗрасы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TT-PR-002","Tatar","Polynomial ring","күпбуыннар боҗрасы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TT-PR-003","Tatar","Polynomial ring","күпбуын боҗрасы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TT-PR-004","Tatar","Polynomial ring","полиномиаль боҗра","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-NR-001","Kyrgyz","Noetherian ring","Нётер шакеги","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-NR-002","Kyrgyz","Noetherian ring","Нетер шакеги","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-NR-003","Kyrgyz","Noetherian ring","Нөтер шакеги","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-PR-001","Kyrgyz","Polynomial ring","көп мүчөлөр шакеги","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-PR-002","Kyrgyz","Polynomial ring","көп мүчөлөр алкагы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-PR-003","Kyrgyz","Polynomial ring","көп мүчө шакеги","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-PR-004","Kyrgyz","Polynomial ring","полиномдор шакеги","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-KY-PR-005","Kyrgyz","Polynomial ring","полиномдор алкагы","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-NR-001","Turkmen","Noetherian ring","Nýoter halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-NR-002","Turkmen","Noetherian ring","Noeter halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-NR-003","Turkmen","Noetherian ring","Nöter halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-NR-004","Turkmen","Noetherian ring","Noether halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-PR-001","Turkmen","Polynomial ring","polinom halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-PR-002","Turkmen","Polynomial ring","polinomlar halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-PR-003","Turkmen","Polynomial ring","köpagza halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-PR-004","Turkmen","Polynomial ring","köp agzaly halka","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-TK-PR-005","Turkmen","Polynomial ring","köpagzalar halkasy","38","0","0","","","zero_hits_exact_phrase_remains_blocked_or_unfound"
"MTS-UG-NR-001","Uyghur","Noetherian ring","نوئېتېر ھالقىسى","38","4","2","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_noetherian_ring_noeter_halqisi.html; C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-003_uygur_com_left_noetherian_ring.html","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_noetherian_ring_noeter_halqisi.html:9: <title>نوئېتېر ھالقىسى &#8211; ئۇيغۇر قامۇسى</title>","candidate_only_exact_source_corpus_hit_no_promotion"
"MTS-UG-PR-001","Uyghur","Polynomial ring","كۆپ ئەزالىق ھالقا","38","2","1","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_polynomial_ring_kop_ezaliq_halqa.html","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_polynomial_ring_kop_ezaliq_halqa.html:9: <title>كۆپ ئەزالىق ھالقا &#8211; ئۇيغۇر قامۇسى</title>","candidate_only_exact_source_corpus_hit_no_promotion"
