"source_pdf","pdf_sha256","pdf_bytes","extracted_text","text_sha256","text_bytes","pdftotext_status","stderr_path"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf","34FD87987F76E5E25C2D7C29A3E1D5CA310E99193774ADACA1D2FB7BE4A5414C","601365","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf.txt","55E810B006FCA02CB6F50C8E40AC719941866C0F905933F20740E91031151985","130629","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-002_daramet_algebra_8_klass.pdf","3ADF45747524AC0691C659B5AB1568F9AE4DACF3886ECDE92A57AD31E601FBE4","2319102","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-002_daramet_algebra_8_klass.pdf.txt","29FAC0D79990BDF6525160630765B6D9F735CAF8548BDBEB67D6EDD70949456D","104","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf","3D85EFBC03216384A72DD0AA5773FF3EA1925E3CC97DF3FB8F5B6FD166E3AF5E","616379","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf.txt","252DBE9A6CC2C9FF89B76C40093B0D2ADE8F7EF0A9F7D657F6B54DEE7659407B","35687","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf","CBDCE778574D1ACD582BDADDDFCA15FDEE01138C50444044B200FE3CFF158408","316306","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf.txt","2B3C41F775C62C6586452D3DA9339417CA0416BC0978C0473394D7AC07E89C10","28410","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-KY-001_bizdin_math_terms_dictionary.pdf","C08431539F106CEDFF6FBA22FEA6D94B88809A6E008924E7D5FF36F0B02D0172","2078807","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-001_bizdin_math_terms_dictionary.pdf.txt","99D7733A44131EAD77B49A42F2B7C5EAE2815C0CFD4637B1A8619EDE9D5BEF43","546335","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-KY-002_okuma_math_reference_dictionary.pdf","77E6F42D0EA5D8BB4CA329FD8C6AC2CA69E7DAC65E6C75EB8069672F6BE989DC","15672114","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-002_okuma_math_reference_dictionary.pdf.txt","418CA1F74D09193C4B854B5EDB18CEC91BE7D8311341BC6D8253C027C4E9CDD9","102","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TK-001_kitaphana_book_10_download.pdf","9E3887FE0DB913A8DD0063FD23D3C95F1F14F23993E83BEFC9961FB4AB72630B","1860237","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-001_kitaphana_book_10_download.pdf.txt","D5C6C0072CD91B5BF21399DA259804C75B486E6E92803F830B2A18735E765B4F","188100","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TK-002_kitaphana_book_13_download.pdf","B438E991D06CBD368EA2036C6B057DFF7021FEDBBE3C6A2AC1619F4126C3FCA6","2713023","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.txt","EEA80E9A23FECC163565A92547B2130CD1D983A88F95028C363473D6B5267FDA","340172","completed_with_stderr","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.pdftotext.stderr.txt"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf","4F41017D8881EE92F24E35B9E0B51806C714104DA4EA77CDF1CFB687FCE19AF3","1911632","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf.txt","0D64D9171B87FB86EC8312108B32054797DE76310764899882D0E532049DC5AE","823510","completed",""
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf","B477297668A5BDC7BDC363566C9BF631BA772A5383E137B4E59E9E1282C7F51F","2082879","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf.txt","379004806E15E1EDAC0DE8A16C80F899AD842DF33F42A209C12833A2DF14F9E0","763176","completed",""
