"language_gate","concept","term","term_type","support_id"
"ar","ideal","ideal","concept_english","POSTPUSH-C2-DRAFT-0004"
"ar","ideal","المثالي","target_rendering","POSTPUSH-C2-DRAFT-0012"
"ar","ideal","مثالي","target_rendering","POSTPUSH-C2-DRAFT-0004"
"ar","matrix / matrix ring context","matrix / matrix ring context","concept_english","POSTPUSH-C2-DRAFT-0027"
"ar","matrix / matrix ring context","مصفوفة","target_rendering","POSTPUSH-C2-DRAFT-0027"
"ar","Noetherian ring","Noetherian ring","concept_english","POSTPUSH-C2-DRAFT-0001"
"ar","Noetherian ring","الحلقة النوثرية","target_rendering","POSTPUSH-C2-DRAFT-0001"
"ar","Noetherian ring","النوثرية","target_rendering","POSTPUSH-C2-DRAFT-0003"
"ar","Noetherian ring","حلقات نوثرية","target_rendering","POSTPUSH-C2-DRAFT-0002"
"ar","Noetherian ring","حلقة نوثرية","target_rendering","POSTPUSH-C2-DRAFT-0051"
"ar","Noetherian ring","نوثرية","target_rendering","POSTPUSH-C2-DRAFT-0052"
"ar","ring","ring","concept_english","POSTPUSH-C2-DRAFT-0046"
"ar","ring","الحلقة","target_rendering","POSTPUSH-C2-DRAFT-0046"
"ar","ring","الحلقة السلسلية","target_rendering","POSTPUSH-C2-DRAFT-0061"
"ar","source-context term","source-context term","concept_english","POSTPUSH-C2-DRAFT-0060"
"ar","source-context term","المجال البروفري","target_rendering","POSTPUSH-C2-DRAFT-0060"
"fa_IR","field","field","concept_english","POSTPUSH-C2-DRAFT-0064"
"fa_IR","field","میدان","target_rendering","POSTPUSH-C2-DRAFT-0064"
"fa_IR","ideal","ideal","concept_english","POSTPUSH-C2-DRAFT-0063"
"fa_IR","ideal","ایدهآل","target_rendering","POSTPUSH-C2-DRAFT-0063"
"fa_IR","Noetherian ring","Noetherian ring","concept_english","POSTPUSH-C2-DRAFT-0062"
"fa_IR","Noetherian ring","نوتری","target_rendering","POSTPUSH-C2-DRAFT-0062"
"fa_IR","ring","ring","concept_english","POSTPUSH-C2-DRAFT-0086"
"fa_IR","ring","حلقه","target_rendering","POSTPUSH-C2-DRAFT-0086"
"ur_Arab","eigenspace","eigenspace","concept_english","UR-C4-SCAF-007"
"ur_Arab","eigenspace","ویژہ فضاء","target_rendering","UR-C4-SCAF-007"
"ur_Arab","eigenvalue","eigenvalue","concept_english","UR-C4-SCAF-005"
"ur_Arab","eigenvalue","ویژہ قدر","target_rendering","UR-C4-SCAF-005"
"ur_Arab","eigenvector","eigenvector","concept_english","UR-C4-SCAF-006"
"ur_Arab","eigenvector","ویژہ سمتیہ","target_rendering","UR-C4-SCAF-006"
"ur_Arab","inner product space","inner product space","concept_english","UR-C4-SCAF-004"
"ur_Arab","inner product space","اندرونی حاصل ضرب فضاء","target_rendering","UR-C4-SCAF-004"
"ur_Arab","linear algebra","linear algebra","concept_english","UR-C4-SCAF-001"
"ur_Arab","linear algebra","لکیری الجبرا","target_rendering","UR-C4-SCAF-001"
"ur_Arab","linear algebra foundations","linear algebra foundations","concept_english","POSTPUSH-UR-مصفوفہ-115"
"ur_Arab","linear algebra foundations","مصفوفہ","target_rendering","POSTPUSH-UR-مصفوفہ-115"
"ur_Arab","linear transformation / transformation","linear transformation / transformation","concept_english","UR-C4-SCAF-008"
"ur_Arab","linear transformation / transformation","استحالہ","target_rendering","UR-C4-SCAF-008"
"ur_Arab","simultaneous linear equations system","simultaneous linear equations system","concept_english","UR-C4-SCAF-002"
"ur_Arab","simultaneous linear equations system","متواقت لکیری مساوات کا نظام","target_rendering","UR-C4-SCAF-002"
"ur_Arab","Urdu Wikibooks linear algebra overview","Urdu Wikibooks linear algebra overview","concept_english","POSTPUSH-UR-لکیری_الجبرا-30"
"ur_Arab","Urdu Wikibooks linear algebra overview","سمتیہ","target_rendering","POSTPUSH-UR-سمتیہ-136"
"ur_Arab","Urdu Wikibooks linear algebra overview","فضاء","target_rendering","POSTPUSH-UR-فضاء-5"
"ur_Arab","Urdu Wikibooks linear algebra overview","لکیری الجبرا","target_rendering","POSTPUSH-UR-لکیری_الجبرا-30"
"ur_Arab","Urdu Wikibooks linear algebra overview","ویژہ","target_rendering","POSTPUSH-UR-ویژہ-20"
"ur_Arab","Urdu Wikibooks linear algebra overview","ویژہ سمتیہ","target_rendering","POSTPUSH-UR-ویژہ_سمتیہ-1"
"ur_Arab","Urdu Wikibooks linear algebra overview","ویژہ قدر","target_rendering","POSTPUSH-UR-ویژہ_قدر-1"
"ur_Arab","vector space","vector space","concept_english","UR-C4-SCAF-003"
"ur_Arab","vector space","سمتیہ فضاء","target_rendering","UR-C4-SCAF-003"
