"current_head","language_gate","concept","term","term_type","source_text_path","line_number","line_sha256","short_context","source_use_label","boundary"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\EXTRACTION_CORRECTNESS_AUDIT.csv","2","b3965856345e03b37462b11521639c7ad16d9ba2376b779f20632f514a0904bc","""AR-NOETH-001"",""ar"",""Noetherian ring; ideal; Prüfer/arithmetical rings"",""حلقة برفير والحلقة الحسابية"",""source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetic","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\EXTRACTION_CORRECTNESS_AUDIT.csv","6","8be6d688fb67ec1e72c63f30fb275dedb53385582b2d3aec813aab1e006b077f","""FA-IDEAL-001"",""fa_IR"",""Persian ideal and Noetherian-ring variant-boundary recovery"",""جبر پیشرفته"",""source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboo","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\EXTRACTION_CORRECTNESS_AUDIT.csv","7","28247a73e6a661b5a29357eeeb8e64f9e77fcb9e458c23207f179a246ca710f8","""FA-IDEAL-002"",""fa_IR"",""Persian ideal/Noetherian ring thesis source-body recovery"",""بررسی گراف مقسوم علیه‌های صفر در حلقه ماتریس‌های مربعی"",""source-bodies\fa_IR","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\EXTRACTION_CORRECTNESS_AUDIT.csv","8","b1b44dbc0e88eac2d8cfec17ce42ba5d60b620ebe0ae5209b9d967e0acadf992","""FA-IDEAL-003"",""fa_IR"",""Persian ideal graph/ring article source-body recovery"",""Some Properties of the Nil-Graphs of Ideals of Commutative Rings"",""source-bodies","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\EXTRACTION_GAP_BLOCKERS_NEXT_ACTIONS.csv","3","ca87d200eba93ec2d91b641d48b1a9ddfb296854067a2f955fcdb15ffb58bad6","""GAP-FA-IDEAL-CYCLE2"",""fa_IR"",""improved source-boundary evidence"",""Spacing/normalization variants remain source-boundary alternatives until reviewed in exact so","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\EXTRACTION_GAP_BLOCKERS_NEXT_ACTIONS.csv","7","cc5beeac94f9b0e11cf4b237b1737d7651c13a51090b8a51759c571d29487d59","""GAP-FA-IDEAL-CYCLE2"",""fa_IR"",""improved source-boundary evidence"",""Spacing/normalization variants remain source-boundary alternatives until reviewed in exact so","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\SCRIPT_CODEPOINT_SANITY.csv","6","5801e1b47d5eba0f76d74926253ec314d4dbc8cb5b905a48fba02e2c445f54dc","""FA-IDEAL-001"",""fa_IR"",""extracted-text\FA-IDEAL-001.txt"",""True"",""849256"",""506966"",""8068"",""42974"",""96379"",""1868"",""0"",""0"",""25120"",""36"",""3971"",""3630"",""4104"",""0"",""0","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\SCRIPT_CODEPOINT_SANITY.csv","7","9615ae93e5be95a28fec3a1956d0c3bf53256e17ae4d1460f7851880d7ab3a29","""FA-IDEAL-002"",""fa_IR"",""extracted-text\FA-IDEAL-002.txt"",""True"",""307176"",""184127"",""3717"",""16096"",""36141"",""790"",""0"",""2"",""12519"",""253"",""3131"",""270"",""1193"",""0"",""0""","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\SCRIPT_CODEPOINT_SANITY.csv","8","e6d329aab7e335c0d8ca0288503e30f4518bc136a30a31595fb743390b66960b","""FA-IDEAL-003"",""fa_IR"",""extracted-text\FA-IDEAL-003.txt"",""True"",""74030"",""50892"",""779"",""13498"",""0"",""2412"",""0"",""0"",""6704"",""1167"",""0"",""20"",""263"",""0"",""0"",""2412"",""co","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
"81db4ba945379e7c267ac6b5049f207e5746e65e","ar","ideal","ideal","concept_english","source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706\SOURCE_GATED_DRAFT_ELIGIBILITY.csv","2","ef04f8407d76200094b6d4db137dd2e01aa285bdb193ffe19c333c4394cbddf9","""C2-DRAFT-0001"",""ar"",""Noetherian ring"",""الحلقة النوثرية"",""AR-NOETH-001-E001"",""AR-NOETH-001"",""True"",""source-file-present; extracted-text-hash-verified"",""True"",""A","source-text-occurrence-hit","occurrence evidence only; not native-reviewed, not accepted terminology, no bridge promotion or gate merge"
