term_id,source_term,target_term,sense,status,source_evidence,wordweb_link,alternatives_or_crosswalk,adverse_evidence,rationale
HG72,Isomorphie zwischen Dbar und der Darstellung,isomorfia inter Dbar e le representation,isomorphism between the transformation-image ring and its fixed-basis matrix representation,construction_candidate_scope_locked,R823:21148,T23-S1,isomorphisme entre; isomorfismo entre; isomorfismo tra,could be misread as literal identity of the two realised objects,The formulas and paired elements exhibit the structure-preserving correspondence
HG73,C entspricht C,c corresponde al matrice C,pairing of the element c with its matrix in the chosen basis,construction_candidate,R823:21148;21151,T30-S1,correspond; corresponde; corrisponde,letter case can disappear in speech or OCR,The target repeats element and matrix roles before the formula
HG74,"c(x_1,...,x_n)=(x_1,...,x_n)C",same notation,row-vector convention with the ordered basis tuple and right matrix multiplication,notation_carried_order_locked,R823:21151,T38-S1,column-vector rewrite; transposed convention,a silent column-vector rewrite changes subsequent product and conjugation order,The exact source formula is carried without normalization
HG75,d und D gehören zusammen,d corresponde al matrice D,parallel pairing of d with D,construction_candidate,R823:21154;21157,T30-S1,va con; correspond; è associato,pronoun-only wording could blur the c/C and d/D pairs,The second pair is repeated with both symbols and roles
HG76,c+d entspricht C+D,c+d corresponde a C+D,additive compatibility of the matrix representation,notation_carried,R823:21160-21168,T16-S1,somma; suma; somme,could be detached from the fixed symbol pairing,The complete coordinate calculation controls the correspondence
HG77,cd entspricht CD,cd corresponde a CD,multiplicative compatibility in the source order,construction_candidate_order_locked,R823:21170-21178,T18-S1,DC under function-composition convention; reverse order,a modern composition convention can silently reverse the matrices,The terminal equality to the row tuple times CD is retained and governs the order
HG78,Realisation mittels einer bestimmten Basis,realisation mediante un base determinate,matrix realization of the induced transformations relative to one fixed basis,construction_candidate,R823:21180,T22-S1,réalisation dans une base; realización en una base; realizzazione in una base,realisation can suggest physical implementation,The matrix formulas fix the coordinate sense
HG79,Darstellung n-ten Grades,representation de grado n,degree-n representation of o in T,carried_construction_candidate,R823:21180,T17-S1,représentation de degré n; representación de grado n; rappresentazione di grado n,degree can be confused with polynomial degree,This carries HG71 with the same matrix-size-controlled sense
HG80,andere Basis,altere base,a second basis of the same module,construction_candidate,R823:21182,T22-S1,autre base; otra base; altra base,ordinary foundation or platform sense,The indexed tuple and transition matrix fix the linear-algebra sense
HG81,reguläre Matrix,matrice regular,historical term for the invertible change-of-basis matrix P,historical_construction_candidate_scope_locked,R823:21182;21184,T38-S1,matrice invertibile; matriz invertible; matrice non singolare,modern regular-matrix terminology is sense-unstable,The inherited historical form is retained but explicitly glossed as invertible in the editorial note
HG82,Multiplikation mit P,multiplication con P,right multiplication of the row basis tuple by P,construction_candidate_order_locked,R823:21182-21184,T05-S1,multiplication per P; prodotto con P,left multiplication would reverse the declared row-vector convention,The exact equation y=xP controls side and order
HG83,bei der Basis,relative al base,matrix of a transformation relative to a specified basis,analytic_construction_candidate,R823:21186,T22-S1,dans la base; respecto de la base; nella base,a locative reading can obscure coordinate dependence,The analytic preposition states the relation without selecting Spanish or French syntax
HG84,durch P^{-1}CP realisiert,realisate per P^{-1}CP,change-of-basis conjugation for y=xP,construction_candidate_order_locked,R823:21186-21198,T38-S1,PCP^{-1}; transpose convention,the opposite basis convention yields the inverse conjugation order,The full derivation and terminal formula are retained
HG85,gibt alle Darstellungen einer Darstellungsklasse,dona tote le representationes de un classe de representation,all representatives within one representation class obtained by varying bases,construction_candidate_scope_locked,R823:21202,T17-S1,produit toutes les représentations; da todas las representaciones; dà tutte le rappresentazioni,may be overread as all matrices all representations or all classes,The target repeats the class restriction and the editorial note excludes broader quantifiers
HG86,durch o induzierte lineare Transformationen,transformationes linear inducite per o,the module self-transformations induced by elements of o,carried_construction_candidate,R823:21202,T17-S1,transformations engendrées; transformaciones inducidas; trasformazioni indotte,induced can suggest induction of representations rather than ring action,The earlier c-action construction and basis-realisation formula fix the sense
