"repair_id","expose","source_page","anchor","old","new","authority","status"
"I-A001","I","38","cartesian square after reduction to F=i_!(A_U)","U & U' \arrow[l,""g""'] \\ X \arrow[u,""i""] & X' \arrow[l,""f""] \arrow[u,""i'""']","U \arrow[d,""i""'] & U' \arrow[l,""g""'] \arrow[d,""i'""] \\ X & X' \arrow[l,""f""]","French control L1029-L1032; LNM 589 p38","applied-revalidated-old-absent-new-present"
"I-A002","I","48","distinguished triangle (b)","& \R\Gamma_x(F'_{U,X}) \arrow[dl] \\ \R\Gamma_x(F'|Y) \arrow[rr] && \R\Gamma_x(F') \arrow[ul,""{+1}""']","& \R\Gamma_x(F'_{U,X}) \arrow[dr] \\ \R\Gamma_x(F'|Y) \arrow[ur,""{+1}""] && \R\Gamma_x(F') \arrow[ll]","French control; LNM 589 p48","applied-revalidated-old-absent-new-present"
"I-A003","I","48","distinguished triangle (a)","& \R\Gamma(U,F|U) \arrow[dl] \\ \R\Gamma_Y(F) \arrow[rr] && \R\Gamma_X(F) \arrow[ul,""{+1}""']","& \R\Gamma(U,F|U) \arrow[dl,""{+1}""'] \\ \R\Gamma_Y(F) \arrow[rr] && \R\Gamma_X(F) \arrow[ul]","French control; LNM 589 p48","applied-revalidated-old-absent-new-present"
"I-A004","I","71","desingularization diagram with i'","& Y' \arrow[dl,""i'""'] \arrow[d,""h""] \arrow[dr,""g""] & \\ U \arrow[r,""i""'] & Y \arrow[r,""f""'] & X","& Y' \arrow[d,""h""] \arrow[dr,""g""] & \\ U \arrow[ur,""i'""] \arrow[r,""i""'] & Y \arrow[r,""f""'] & X","French control L1800-L1803; LNM 589 p71","applied-revalidated-old-absent-new-present"
"VII-A001","VII","286","section 2.2 projective-bundle arrow c","c:\mu_S^{\otimes -1}[2]\longrightarrow Rp_*(A_P)","c:\mu_S^{\otimes -1}[-2]\longrightarrow Rp_*(A_P)","French control L9265-L9268","applied-revalidated-old-absent-new-present"
"VII-A002","VII","296","formula (3.8.1) mod-nu Chern class","c_i(\mathcal E)\in H^i(X(\mathbb C),\mathbb Z/\nu\mathbb Z)","c_i(\mathcal E)\in H^{2i}(X(\mathbb C),\mathbb Z/\nu\mathbb Z)","French control L9617-L9620","applied-revalidated-old-absent-new-present"
"VII-A003","VII","301","j^* applied to (4.1.1)","j^*f^*(1_Y)=j^*j_*(u)","j^*f^*i_*(1_Y)=j^*j_*(u)","French control L9829-L9832; scan-backed CERT_LOG FIX 26","applied-revalidated-old-absent-new-present"
"VII-A004","VII","308","flag-variety polynomial indices","1\le j_i\le p_m; pair (i,j); T_{ij}; j-th class c_j(E_i)","1\le j_i\le p_i; pair (i,j_i); T_{ij_i}; j_i-th class c_{j_i}(E_i)","French control L10073-L10077","applied-revalidated-old-absent-new-present"
"VII-A005","VII","312","definition Q(S/T,L)","Q(S/T,L)=\bigoplus_{n,i}R^{2i}u_*(L\otimes\mu_S^{\otimes i})","Q(S/T,L)=\bigoplus_{n,i}R^n u_*(L\otimes\mu_S^{\otimes i})","French control L10187-L10190; scan-backed CERT_LOG FIX 29","applied-revalidated-old-absent-new-present"
"VII-A006","VII","323","formula (7.4.1)","c(\Omega_X^1)c(L)^{-1}","c(\check\Omega_X^1)c(L)^{-1}","French control L10517-L10521; scan-backed exact receipts 0215-0218","applied-revalidated-old-absent-new-present"
"VII-A007","VII","323","formula (7.4.2)","c(\Omega_X^1)c(L)^{-1}","c(\check\Omega_X^1)c(L)^{-1}","French control L10523-L10526; scan-backed exact receipts 0215-0218","applied-revalidated-old-absent-new-present"
"VII-A008","VII","344","formula (9.7.1)","c_q(\check E)=\sum_{p=0}^d g_1^*(c_p(\check N))\xi^{d-p}","c_d(\check E)=\sum_{p=0}^d g_1^*(c_p(\check N))\bar\xi^{\,d-p}","French control L11309-L11312; exact receipt 0262","applied-revalidated-old-absent-new-present"
"VII-A009","VII","344","formula (9.7.4)","\beta^*f_2^*(y\times1)=f_1^*\gamma_*(y\times1)","\beta_*f_2^*(y\times1)=f_1^*\alpha_*(y\times1)","French control L11328-L11331; exact receipt 0263","applied-revalidated-old-absent-new-present"
"VII-A010","VII","345","formula (9.8.1) left side","v^*f^*i_*(y)","v_*f^*i_*(y)","French control L11352-L11355; LNM 589 p345 certification","applied-revalidated-old-absent-new-present"
