expose,feature,value,french_count,english_count,delta_english_minus_french,status
I,tags,*,2,4,2,closed-see-representation-review
I,tags,**,0,2,2,closed-see-representation-review
I,tags,i,0,2,2,closed-see-representation-review
I,tags,ii,0,2,2,closed-see-representation-review
I,statements,1.10,0,1,1,closed-see-representation-review
I,statements,1.11,0,1,1,closed-see-representation-review
I,statements,1.11.1,0,1,1,closed-see-representation-review
I,statements,1.12,0,1,1,closed-see-representation-review
I,statements,1.12.1,0,1,1,closed-see-representation-review
I,statements,1.13,0,1,1,closed-see-representation-review
I,statements,1.14,0,1,1,closed-see-representation-review
I,statements,1.15,0,1,1,closed-see-representation-review
I,statements,1.9,0,1,1,closed-see-representation-review
I,statements,2.1,0,1,1,closed-see-representation-review
I,statements,2.2,0,1,1,closed-see-representation-review
I,statements,3.1.1,0,1,1,closed-see-representation-review
I,statements,3.1.2,0,1,1,closed-see-representation-review
I,statements,3.1.3,0,1,1,closed-see-representation-review
I,statements,3.1.4,0,1,1,closed-see-representation-review
I,statements,3.1.5,0,1,1,closed-see-representation-review
I,statements,3.1.6,0,1,1,closed-see-representation-review
I,statements,3.2.1,0,1,1,closed-see-representation-review
I,statements,3.2.2,0,1,1,closed-see-representation-review
I,statements,3.2.3,0,1,1,closed-see-representation-review
I,statements,3.2.4,0,1,1,closed-see-representation-review
I,statements,3.2.5,0,1,1,closed-see-representation-review
I,statements,3.3.1,0,1,1,closed-see-representation-review
I,statements,3.4.1,0,1,1,closed-see-representation-review
I,statements,3.4.2,0,1,1,closed-see-representation-review
I,statements,3.4.3,0,1,1,closed-see-representation-review
I,statements,3.4.4,0,1,1,closed-see-representation-review
I,statements,3.4.5,0,1,1,closed-see-representation-review
