repair_id,printed_source_page,english_anchor_20260717,correction_summary,authority_evidence,disposition
SGA5-EXACT-0122,79,line 2244 / section 1.7,"Restore emphasis on Künneth arrow","SOURCE_FORMULA_COMPARISON_EXACT.csv row 0122; LNM 589 p.79",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0125,89,line 2653 / section 3.1,"Restore emphasis on smooth","receipt row 0125; LNM 589 p.89",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0126,102,line 3234 / equation 4.4.1,"First argument d_2''^! -> d_2''^*","receipt row 0126; French 4.4.1; LNM 589 p.102",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0308,79,line 2266 / section 1.7,"Hom_{f_i}^{(4)} -> Hom_f^{(4)}","receipt row 0308; LNM 589 p.79",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0309,82,line 2342 / equation 2.2.3,"Restore derived tensor exponent L","receipt row 0309; LNM 589 p.82",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0310,83,line 2360 / first proposition square,"Restore equation tag (2)","receipt row 0310; LNM 589 p.83",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0311,83,line 2371 / second proposition square,"Restore equation tag (4)","receipt row 0311; LNM 589 p.83",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0312,83,line 2377 / prose after (4),"Restore cross-reference (4)","receipt row 0312; LNM 589 p.83",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0313,86,lines 2512-2515 / display (*),"Restore tag (*) and pre-base-change f^!Q tensor form","receipt row 0313; French 2219-2222; LNM 589 p.86",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0314,86,lines 2503-2505 / base-change isomorphisms,"Restore c and d labels and source arrow direction","receipt row 0314; French 2210-2212; LNM 589 p.86",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0315,86,line 2531 / prose after (*),"Restore explicit (*) cross-reference","receipt row 0315; LNM 589 p.86",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0316,86,line 2497 / comparison square,"Restore tensor label otimes^L_S","receipt row 0316; LNM 589 p.86",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0317,88,line 2588 / proper case,"Restore (2.1.4) reference","receipt row 0317; LNM 589 p.88",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0318,90,line 2673 / correspondence group,"H^0(C,RHom) -> H^0(X,c_!RHom)","receipt row 0318; LNM 589 p.90",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0319,90,lines 2691-2694 / equation 3.2.3,"Apply H^0(X,c_!RHom) correction in direct-image formula","receipt row 0319; LNM 589 p.90",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0320,91,line 2731 / diagonal identity,"Delta_X^! -> Delta_*Delta^!","receipt row 0320; LNM 589 p.91",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0321,97,line 2948 / cycle class,"cl(c) -> cl(C) at class-of-C anchor","receipt row 0321; LNM 589 p.97",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0323,97,line 2943 / cited notation,"gamma^*_{X,X_1} -> eta_{X_2,X_1}","receipt row 0323; LNM 589 p.97",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0326,98,line 3013 / canonical isomorphism,"g'_! -> g'_*","receipt row 0326; LNM 589 p.98",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0327,98,line 3015 / equation 3.7.4,"c_! -> c_*","receipt row 0327; LNM 589 p.98",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0329,102,line 3233 / equation 4.4.1,"First argument d_1'^! -> d_1'^*","receipt row 0329; French 4.4.1; LNM 589 p.102",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0330,102,line 3243 / theorem 4.4 prose,"Middle g_* -> g_! in adjunction counit","receipt row 0330; LNM 589 p.102",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0333,105,line 3411 / proof triangle,"Restore d'_! and d''_! and underived outer tensor","receipt row 0333; French 3116-3119; LNM 589 p.105",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0337,107,line 3523 / final morphism in proof,"Restore both derived tensor exponents and target d^!","receipt row 0337; French 3230; LNM 589 p.107",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0339,111,line 3713 / equation 4.11.3 prose,"EP(T_s^F) -> EP(T^F) at defining occurrence","receipt row 0339; LNM 589 p.111",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0341,115,line 3846 / section 5.2 display,"Restore p_1^* and p_{12}^*p_{12,2}^!","receipt row 0341; LNM 589 p.115",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0342,115,line 3848 / section 5.2 display,"Contract second argument to p_3^!L_3","receipt row 0342; LNM 589 p.115",PASS_APPLIED_REVALIDATED
