edge_id,pdf_page,annotation_index,rect_x0,rect_y0,rect_x1,rect_y1,visible_text_from_rect,input_destination,target_id,target_pdf_page,target_view,target_left,target_top,target_kind,target_expose,target_title,origin_class,application_id,override_id,status
sga1.edge.sha256.125b76bd94b570a6d9d514f2e6397ced861eb3a1383860f44a807badffe45b3e,2,0,197.029,609.963,248.931,621.591,Exposé VI,chapter*.426,sga1.e06.chapter.unnamed,101,/XYZ,87.874,762.52,chapter,VI,Fibered categories and descent,reviewed_source_application,sga1.application.sha256.b85cb974986ce5e7e2bec1754950d0505f1bdc9c4df81870281f86c651ab035d,,resolved_stable_goto
sga1.edge.sha256.3d54cd1c7bf9c28aa0368f9890a028e399e3123f86135fa42898c5507f6a89d4,2,1,263.908,609.963,324.294,621.591,Exposé VIII.,chapter*.490,sga1.e08.chapter.unnamed,129,/XYZ,87.874,762.52,chapter,VIII,Faithfully flat descent,reviewed_source_application,sga1.application.sha256.026cbeb70b7b41371fdcc822971010bcdcc88ece48bc6e8685268a17335ab2e4,,resolved_stable_goto
sga1.edge.sha256.5fd8020b8f979418c62c83f71dac297a48251ab2ae3f266a13f54e863b2b0052,3,0,86.878,637.987,198.113,647.494,Source and status note,chapter*.1,sga1.reader.generated.chapterstar-1,2,/XYZ,87.874,762.52,generated,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.956a91514deccfb9d61030415039943df532d9c156e43f4e346da19716ca8d41,3,1,86.878,613.230,229.505,627.385,Chapter I. Étale morphisms,chapter*.4,sga1.e01.chapter.unnamed,6,/XYZ,87.874,762.52,chapter,I,Étale morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4abfa08bcec929c2e75f5e86ed3d7178dbf551a9307134917e030bd8ff7447b3,3,2,98.833,602.399,272.188,611.907,I.1. Notions of differential calculus,section*.5,sga1.e01.sec.1,6,/XYZ,87.874,612.746,sec,I,Notions of differential calculus,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.99b2a255360c134ea76aec1fb021351ee7c40cbbccd331bb8ffa34a1566f99d9,3,3,98.833,587.327,237.703,598.955,I.2. Quasi-finite morphisms,section*.7,sga1.e01.sec.2,6,/XYZ,87.874,407.275,sec,I,Quasi-finite morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.994fb7b28c5cb5fc1dc698685af1cfce088cd0299940b9381ae2db0931799a86,3,4,98.833,574.375,267.703,586.004,I.3. Unramified or net morphisms,section*.12,sga1.e01.sec.3,6,/XYZ,87.874,196.408,sec,I,Unramified or net morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.3753a3762d5eef6d2f1a4827e12295cb9673687fa7d537fa078b3320bc9d1de6,3,5,98.833,561.216,287.431,575.372,I.3. Unramified or net morphisms I.4. Étale morphisms. Étale coverings,section*.24,sga1.e01.sec.4,8,/XYZ,87.874,574.741,sec,I,Étale morphisms. Étale coverings,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.bd754a7017ee91011ca54b586ac9b667a6421452a5cf1753b7c1f4fec3fad46b,3,6,98.833,548.265,347.400,559.893,I.5. The fundamental property of étale morphisms,section*.39,sga1.e01.sec.5,9,/XYZ,87.874,309.034,sec,I,The fundamental property of étale morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.583adfc7cd494420155fbe01f1c8bceb8315fd0bba4033a73d814af11b42b9bd,3,7,98.833,535.313,385.583,546.942,I.6. Application to étale extensions of complete local rings,section*.52,sga1.e01.sec.6,12,/XYZ,87.874,762.52,sec,I,Application to étale extensions of complete local rings,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.7c47dc7c67dfef93493f39a6687936a5921851c6975fef9dc6ccd13deda4b33a,3,8,98.833,522.362,385.187,533.991,I.7. Local construction of unramified and étale morphisms,section*.55,sga1.e01.sec.7,12,/XYZ,87.874,359.26,sec,I,Local construction of unramified and étale morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5009a9f882df1e3698f19217ec20f6fdccb78dd8b7478e811b37697d53ef2fd4,3,9,98.833,509.410,450.854,521.039,I.8. Infinitesimal lifting of étale schemes. Application to formal schemes,section*.71,sga1.e01.sec.8,15,/XYZ,87.874,475.491,sec,I,Infinitesimal lifting of étale schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.e80e3e0d5f694f6c322fe579198a59cb550987edea77e55384974c090d7fb0fa,3,10,98.833,496.459,235.976,508.088,I.9. Permanence properties,section*.80,sga1.e01.sec.9,18,/XYZ,87.874,762.52,sec,I,Permanence properties,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.8eb469323a2f4bc3a7683ccc294618ce137a5b12da4836b983c7cabb2ce60657,3,11,98.833,483.300,300.552,497.455,I.9. Permanence properties I.10. Étale coverings of a normal scheme,section*.106,sga1.e01.sec.10,21,/XYZ,87.874,172.973,sec,I,Étale coverings of a normal scheme,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.d1394df1550f4d298392f7760c205f9c1cb4a800e317625e30f2caf02146d244,3,12,98.833,470.348,223.309,481.977,I.11. Some complements,section*.129,sga1.e01.sec.11,25,/XYZ,87.874,318.593,sec,I,Some complements,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.34dd780c6d467fb962f3647402c478b36dbb7d9bcc322a889caa99368431847f,3,13,86.878,447.712,433.838,459.341,Chapter II. Smooth morphisms: generalities and differential properties,chapter*.131,sga1.e02.chapter.unnamed,28,/XYZ,87.874,762.52,chapter,II,Smooth morphisms: generalities and differential properties,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.13bee3562140059338e000a82b05651303e70d643b65f29437c3e8ce36cd080d,3,14,98.833,436.882,187.961,446.390,II.1. Generalities,section*.132,sga1.e02.sec.1,28,/XYZ,87.874,614.641,sec,II,Generalities,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.71497ff27dd11d9e4de6c437e26e4f522455c9da79f35c50e6393029f67575c5,3,15,98.833,421.810,341.793,433.438,II.2. Some criteria for smoothness of a morphism,section*.145,sga1.e02.sec.2,29,/XYZ,87.874,468.162,sec,II,Some criteria for smoothness of a morphism,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9c26ba161214c5df6a85099af1c05a8b356474696fb578f860987f32a1149136,3,16,98.833,408.858,240.219,420.487,II.3. Permanence properties,section*.155,sga1.e02.sec.3,31,/XYZ,87.874,401.39,sec,II,Permanence properties,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.dfd67fd0390d3e6fc06011fc25c7fe8e867a46e4395a7adcc628bb8be217f99b,3,17,98.833,395.907,342.248,407.535,II.4. Differential properties of smooth morphisms,section*.160,sga1.e02.sec.4,32,/XYZ,87.874,762.52,sec,II,Differential properties of smooth morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.e93bcbf106ae07b9b0fd98e73d14b1a392760314705e8b4fe1495561944a676e,3,18,98.833,385.076,223.370,394.584,II.5. Case of a base field,section*.199,sga1.e02.sec.5,42,/XYZ,87.874,410.467,sec,II,Case of a base field,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.71e8001ecd7b118f1a4a9da713b1a836ea6aac7f9a04af3b8acac2bea27f3e15,3,19,86.878,360.319,337.050,371.948,Chapter III. Smooth morphisms: lifting properties,chapter*.213,sga1.e03.chapter.unnamed,46,/XYZ,87.874,762.52,chapter,III,Smooth morphisms: lifting properties,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.663a43491e3e15f22046cec3bc8e376be8720ddc8338118b3e4bfd929d176bf2,3,20,98.833,347.368,297.884,358.997,III.1. Formally smooth homomorphisms,section*.214,sga1.e03.sec.1,46,/XYZ,87.874,649.145,sec,III,Formally smooth homomorphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b20564fe926c257037f4cbec7f2abe5a692c1f365c58710be6b8f83be616bb19,3,21,98.833,334.417,473.369,346.045,III.2. The characteristic lifting property of formally smooth homomorphisms,section*.227,sga1.e03.sec.2,49,/XYZ,87.874,487.365,sec,III,Lifting property,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9ccba57682bdf70e25cd2b34b8db7a4dac1726d18ead90b0907847962b11abeb,3,22,98.833,321.465,439.792,333.094,III.3. Local infinitesimal lifting of morphisms into a smooth S-scheme,section*.236,sga1.e03.sec.3,52,/XYZ,87.874,591.198,sec,III,Local infinitesimal lifting of morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b9f583c1e743a7243362614f6ee67e2e3029aa8c4aa4b8a26cca2363a068156e,3,23,98.833,308.514,357.581,320.142,III.4. Local infinitesimal lifting of smooth S-schemes,section*.243,sga1.e03.sec.4,53,/XYZ,87.874,337.375,sec,III,Local infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.7761eb31d2222d3e9454dcc22ad5da698b90f2cae9a8120881dec25c5607bc3a,3,24,98.833,295.562,328.687,307.191,III.5. Global infinitesimal lifting of morphisms,section*.249,sga1.e03.sec.5,54,/XYZ,87.874,387.215,sec,III,Global infinitesimal lifting of morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.3797839b64e6cb194812b2c36d06ba64899bb0cb3bd84f95d431bd2f1e85563d,3,25,98.833,282.611,363.263,294.239,III.6. Global infinitesimal lifting of smooth S-schemes,section*.261,sga1.e03.sec.6,58,/XYZ,87.874,211.076,sec,III,Global infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.04bbd77729db5285ffa08390256ee895c33218e77467e2b010dc30c13e7869d3,3,26,98.833,269.659,508.398,281.288,III.7. Application to the construction of formal and ordinary schemes smooth,section*.284,sga1.e03.sec.7,62,/XYZ,87.874,720.702,sec,III,Application to formal schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.8cea2cd4e861f774a1a9aeea750e0e8fe2039f3d276bd9a51d648ce4602336c2,3,27,86.878,256.708,278.764,268.337,over a complete local ring A,section*.284,sga1.e03.sec.7,62,/XYZ,87.874,720.702,sec,III,Application to formal schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.20d1b8cf4d1c409f4638770fd411d1710ced8684d3496f7de0d7395ff730f7ce,3,28,86.878,234.072,232.536,245.701,Chapter IV. Flat morphisms,chapter*.297,sga1.e04.chapter.unnamed,65,/XYZ,87.874,762.52,chapter,IV,Flat morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.afeea79f047db5e428cc5e3c78b68841cc867fb59c3bf230b3a65e38235fc4d8,3,29,98.833,221.121,309.310,232.749,IV.1. Elementary facts about flat modules,section*.300,sga1.e04.sec.1,65,/XYZ,87.874,338.124,sec,IV,Elementary facts about flat modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4771c429084de17f6612b8046a9708ad345fffb664e53718effc4667c5bd843c,3,30,98.833,208.169,243.764,219.798,IV.2. Faithfully flat modules,section*.304,sga1.e04.sec.2,67,/XYZ,87.874,562.559,sec,IV,Faithfully flat modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.f361c50e76ad6759a6aee937c4b8df5e1292751a734a7d36e7de71963476b810,3,31,98.833,195.218,260.431,206.846,IV.3. Relations with completion,section*.311,sga1.e04.sec.3,69,/XYZ,87.874,568.224,sec,IV,Relations with completion,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.cbed4268229b8303c3e49825167180f77d38496f694e4fad5a12930c05ffc0b1,3,32,98.833,184.388,268.400,193.895,IV.4. Relations with free modules,section*.314,sga1.e04.sec.4,69,/XYZ,87.874,280.03,sec,IV,Relations with free modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.19a9ac635662001c23a96b92a8b44e4d506ac7faf5cdcf2324992c4bcb0dcdb7,3,33,98.833,171.436,254.522,180.944,IV.5. Local criteria for flatness,section*.321,sga1.e04.sec.5,70,/XYZ,87.874,198.547,sec,IV,Local criteria for flatness,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.16726420f440d40f6d6bbb20fcd8d9c58c76759c8ead1fe1de0b73d7a3989812,3,34,98.833,156.363,295.855,167.992,IV.6. Flat morphisms and open subsets,section*.335,sga1.e04.sec.6,74,/XYZ,87.874,587.572,sec,IV,Flat morphisms and open subsets,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5e2eb7c981618cdf3f5c2f00f22a062496761b1ab6dd4312e351c4506852ba40,3,35,86.878,133.728,327.505,145.356,Chapter V. The fundamental group: generalities,chapter*.351,sga1.e05.chapter.unnamed,77,/XYZ,87.874,762.52,chapter,V,The fundamental group: generalities,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.48e9b0665376204f0156410ffb2734cfec38c840d6efb57bc0f5662eadc4de24,3,36,98.833,122.897,191.158,132.405,V.0. Introduction,section*.352,sga1.reader.generated.sectionstar-352,77,/XYZ,87.874,649.145,generated,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9e7d367f4416cf4db9058cf70415173f9c5d6be60d85d16d7212cace4a3a8276,3,37,98.833,107.825,442.340,119.453,V.1. Preschemes with a finite group of operators; quotient preschemes,section*.354,sga1.e05.sec.1,77,/XYZ,87.874,463.86,sec,V,Preschemes with a finite group of operators; quotient preschemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.0855da8cd6706d6025819119e505b32ed5f0b6f03d494e3ba25f959c758d63c0,3,38,98.833,94.873,368.795,106.502,V.2. Decomposition and inertia groups. The étale case,section*.369,sga1.e05.sec.2,80,/XYZ,87.874,182.175,sec,V,Decomposition and inertia groups. The \'etale case,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4bc72aeeafab590469d2d950b77148554ecef786c36ec464ea7e2c969adbc14f,3,39,98.833,81.922,368.794,93.551,V.3. Automorphisms and morphisms of étale coverings,section*.380,sga1.e05.sec.3,84,/XYZ,87.874,762.52,sec,V,Automorphisms and morphisms of étale coverings,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.cba13c0137cc19074abb9b1e91a0d520be50b5dbe20c62e07511f54c3ae11c23,4,0,98.833,749.440,326.234,761.068,V.4. Axiomatic conditions for a Galois theory,section*.388,sga1.e05.sec.4,85,/XYZ,87.874,520.655,sec,V,Axiomatic conditions for a Galois theory,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.91c66d9bc13559493bb86a45495465fe8ffd97eb3422a8cb1df28f96d37ed503,4,1,98.833,736.488,211.659,748.117,V.5. Galois categories,section*.393,sga1.e05.sec.5,90,/XYZ,87.874,516.805,sec,V,Galois categories,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.10a52000f16ac6fdfc04e70cbc31f26db04b6ae48d024afedd17141fd63c3e9a,4,2,98.833,723.537,377.962,735.165,V.6. Exact functors from one Galois category to another,section*.407,sga1.e05.sec.6,94,/XYZ,87.874,304.907,sec,V,Exact functors from one Galois category to another,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.639fca1a8e6e652875d5d026a2fccfe84ea553bf5b20e142aad4e0e697ee810a,4,3,98.833,710.585,242.552,722.214,V.7. The case of preschemes,section*.421,sga1.e05.sec.7,98,/XYZ,87.874,721.875,sec,V,The case of preschemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.aa7d3f07872b02707f23192017a715557db8b95617eed2acc2e52bab7ca21ea3,4,4,98.833,697.634,308.643,709.263,V.8. The case of a normal base prescheme,section*.422,sga1.e05.sec.8,99,/XYZ,87.874,344.185,sec,V,The case of a normal base prescheme,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4103f284e96e51c88b76d5d504fc9718f2873ee86c6c040e7b0237a35e0e579e,4,5,98.833,684.682,423.749,696.311,V.9. The case of disconnected preschemes: multi-Galois categories,section*.425,sga1.e05.sec.9,100,/XYZ,87.874,500.5,sec,V,The case of disconnected preschemes: multi-Galois categories,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.8cbb6b55c8792e1b51ab4062e337b454ef844053158557ecff8d9747eee84b5c,4,6,86.878,660.529,304.082,672.157,Chapter VI. Fibered categories and descent,chapter*.426,sga1.e06.chapter.unnamed,101,/XYZ,87.874,762.52,chapter,VI,Fibered categories and descent,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.00996f7e3ca5e75fe126d81c25273d773266c0dfe974407295a9256cdfb06f92,4,7,98.833,649.699,195.098,659.206,VI.0. Introduction,section*.427,sga1.reader.generated.sectionstar-427,101,/XYZ,87.874,649.145,generated,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.06f2908fc7d270f014c5b971f8431dc1944a00e1bf7d41677bfdb8618542f516,4,8,98.833,634.626,383.038,646.255,"VI.1. Universes, categories, and equivalences of categories",section*.428,sga1.e06.sec.1,101,/XYZ,87.874,141.2,sec,VI,"Universes, categories, and equivalences of categories",inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.7bd8448b7b19f054105449531314e6ccd96c04fa352ca967dede86ab1a757ef5,4,9,98.833,621.674,292.523,633.303,VI.2. Categories over another category,section*.430,sga1.e06.sec.2,103,/XYZ,87.874,762.52,sec,VI,Categories over another category,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.a33d2c456cd5a96b995a0dd6312caa0809a7cd129f75c7646e0dea99d583d30c,4,10,98.833,608.723,290.619,620.352,VI.3. Base change in categories over E,section*.437,sga1.e06.sec.3,105,/XYZ,87.874,638.997,sec,VI,Base change in categories over~$\mathcal {E}$,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.a127622d9906aaa81880f4646c8b5d2b46e04ae4d3b716015d3725c000542f9f,4,11,98.833,595.772,345.196,607.400,VI.4. Fiber categories; equivalence of E-categories,section*.441,sga1.e06.sec.4,108,/XYZ,87.874,640.722,sec,VI,Fiber categories,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.00d3b496aa9eca35f4903a1bd68b733ed3e4eea00d0945952dbf915677930642,4,12,98.833,582.820,405.642,594.449,"VI.5. Cartesian morphisms, inverse images, Cartesian functors",section*.448,sga1.e06.sec.5,109,/XYZ,87.874,278.033,sec,VI,"Cartesian morphisms, inverse images, Cartesian functors",inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.c9133728ca5d149d8b2605507e6ff14f8d9e8ffc66baa190561be805625c6747,4,13,98.833,569.869,508.398,581.497,VI.6. Fibered categories and prefibered categories. Products and base change,section*.456,sga1.e06.sec.6,111,/XYZ,87.874,545.327,sec,VI,Fibered categories and prefibered categories,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.e994fa4a0487d9b556cce997345602c33d1d56c145f8a78214365e6953a05339,4,14,86.878,559.038,177.219,568.546,therein,section*.456,sga1.e06.sec.6,111,/XYZ,87.874,545.327,sec,VI,Fibered categories and prefibered categories,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.3c78bd1900a1f4519d9e8d347f1c8452a889ca4b825a033b3d2731f61322f423,4,15,98.833,543.966,251.923,555.595,VI.7. Cloven categories over E,section*.470,sga1.e06.sec.7,114,/XYZ,87.874,406.619,sec,VI,Cloven categories over \(\mathcal E\),inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.a93011fa574e9f7b9f512e0168fc8b212dc62677ebc9a60ef9ccd7c625a253fa,4,16,98.833,531.014,396.389,542.726,VI.8. Cloven category defined by a pseudofunctor E◦→Cat ◦,section*.478,sga1.e06.sec.8,117,/XYZ,87.874,762.52,sec,VI,Cloven category defined by a pseudofunctor,inherited_internal_link,,,resolved_stable_goto
