target_id,latex_label,aux_locator,baseline_pdf_destination,expose,context,kind,title,compiled_page,source_relpath,source_line,source_occurrence_count,compiled_status
sga1.e01.chapter.unnamed,I,I,chapter*.4,I,e01,chapter,Étale morphisms,1,SGA1_English_source_sync_workpass.tex,216,1,baseline_aux_present
sga1.e01.sec.1,I.1,I.1,section*.5,I,e01,sec,Notions of differential calculus,1,SGA1_English_source_sync_workpass.tex,224,1,baseline_aux_present
sga1.reader.index.indnot-ab,indnot:ab,I.1,section*.5,,reader,index,Notions of differential calculus,1,SGA1_English_source_sync_workpass.tex,227,1,baseline_aux_present
sga1.reader.index.indnot-ac,indnot:ac,I.1,section*.5,,reader,index,Notions of differential calculus,1,SGA1_English_source_sync_workpass.tex,238,1,baseline_aux_present
sga1.reader.index.indnot-ad,indnot:ad,I.1,section*.5,,reader,index,Notions of differential calculus,1,SGA1_English_source_sync_workpass.tex,241,1,baseline_aux_present
sga1.reader.index.indnot-ae,indnot:ae,I.1,section*.5,,reader,index,Notions of differential calculus,1,SGA1_English_source_sync_workpass.tex,243,1,baseline_aux_present
sga1.e01.sec.2,I.2,I.2,section*.7,I,e01,sec,Quasi-finite morphisms,1,SGA1_English_source_sync_workpass.tex,250,1,baseline_aux_present
sga1.e01.prop.2-1,I.2.1,I.2.1,proposition.8,I,e01,prop,,1,SGA1_English_source_sync_workpass.tex,253,1,baseline_aux_present
sga1.e01.cor.2-2,I.2.2,I.2.2,proposition.11,I,e01,cor,,1,SGA1_English_source_sync_workpass.tex,284,1,baseline_aux_present
sga1.e01.sec.3,I.3,I.3,section*.12,I,e01,sec,Unramified or net morphisms,1,SGA1_English_source_sync_workpass.tex,296,1,baseline_aux_present
sga1.e01.prop.3-1,I.3.1,I.3.1,proposition.13,I,e01,prop,,1,SGA1_English_source_sync_workpass.tex,299,1,baseline_aux_present
sga1.e01.def.3-2,I.3.2,I.3.2,proposition.14,I,e01,def,,2,SGA1_English_source_sync_workpass.tex,330,1,baseline_aux_present
sga1.e01.cor.3-3,I.3.3,I.3.3,proposition.17,I,e01,cor,,2,SGA1_English_source_sync_workpass.tex,352,1,baseline_aux_present
sga1.e01.cor.3-4,I.3.4,I.3.4,proposition.18,I,e01,cor,,2,SGA1_English_source_sync_workpass.tex,357,1,baseline_aux_present
sga1.reader.index.indnot-af,indnot:af,I.3,proposition.18,,reader,index,Remarks,2,SGA1_English_source_sync_workpass.tex,382,1,baseline_aux_present
sga1.e01.prop.3-5,I.3.5,I.3.5,proposition.20,I,e01,prop,,2,SGA1_English_source_sync_workpass.tex,388,1,baseline_aux_present
sga1.e01.cor.3-6,I.3.6,I.3.6,proposition.21,I,e01,cor,,2,SGA1_English_source_sync_workpass.tex,403,1,baseline_aux_present
sga1.e01.prop.3-7,I.3.7,I.3.7,proposition.22,I,e01,prop,,3,SGA1_English_source_sync_workpass.tex,413,1,baseline_aux_present
sga1.e01.sec.4,I.4,I.4,section*.24,I,e01,sec,Étale morphisms. Étale coverings,3,SGA1_English_source_sync_workpass.tex,436,1,baseline_aux_present
sga1.e01.def.4-1,I.4.1,I.4.1,proposition.26,I,e01,def,,3,SGA1_English_source_sync_workpass.tex,443,1,baseline_aux_present
sga1.e01.prop.4-2,I.4.2,I.4.2,proposition.28,I,e01,prop,,3,SGA1_English_source_sync_workpass.tex,459,1,baseline_aux_present
sga1.e01.cor.4-3,I.4.3,I.4.3,proposition.29,I,e01,cor,,3,SGA1_English_source_sync_workpass.tex,467,1,baseline_aux_present
sga1.e01.cor.4-4,I.4.4,I.4.4,proposition.30,I,e01,cor,,3,SGA1_English_source_sync_workpass.tex,475,1,baseline_aux_present
sga1.e01.prop.4-5,I.4.5,I.4.5,proposition.31,I,e01,prop,,3,SGA1_English_source_sync_workpass.tex,485,1,baseline_aux_present
sga1.e01.prop.4-6,I.4.6,I.4.6,proposition.32,I,e01,prop,,3,SGA1_English_source_sync_workpass.tex,496,1,baseline_aux_present
sga1.e01.cor.4-7,I.4.7,I.4.7,proposition.33,I,e01,cor,,4,SGA1_English_source_sync_workpass.tex,513,1,baseline_aux_present
