application_id,candidate_id,document_order,source_relpath,preapplication_source_line,current_source_line,current_source_column,visible_text,target_label,target_id,command_kind,link_command,classification,reason,current_source_sha256,status
sga1.application.sha256.b85cb974986ce5e7e2bec1754950d0505f1bdc9c4df81870281f86c651ab035d,sga1.candidate.sha256.b85cb974986ce5e7e2bec1754950d0505f1bdc9c4df81870281f86c651ab035d,1,SGA1_English_source_sync_workpass.tex,198,198,44,Exposé~VI,VI,sga1.e06.chapter.unnamed,hyperref,\hyperref[VI]{Exposé~VI},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.026cbeb70b7b41371fdcc822971010bcdcc88ece48bc6e8685268a17335ab2e4,sga1.candidate.sha256.026cbeb70b7b41371fdcc822971010bcdcc88ece48bc6e8685268a17335ab2e4,2,SGA1_English_source_sync_workpass.tex,198,199,1,Exposé~VIII,VIII,sga1.e08.chapter.unnamed,hyperref,\hyperref[VIII]{Exposé~VIII},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.2cc5e67aee0d5c43796fcc206f6cd7f750456b0f94dda2d651be617a05aa7195,sga1.candidate.sha256.2cc5e67aee0d5c43796fcc206f6cd7f750456b0f94dda2d651be617a05aa7195,3,SGA1_English_source_sync_workpass.tex,219,221,1,no.~I.2,I.2,sga1.e01.sec.2,hyperref,\hyperref[I.2]{no.~I.2},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.c4e2f810034f4d62e853dbd22278bf7b00d675182515c45d83eb68bf34034a27,sga1.candidate.sha256.c4e2f810034f4d62e853dbd22278bf7b00d675182515c45d83eb68bf34034a27,4,SGA1_English_source_sync_workpass.tex,272,275,2,Exposé~I,I,sga1.e01.chapter.unnamed,hyperref,\hyperref[I]{Exposé~I},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.f6bfb896467a1426f1c55f243f348a82eefbc8d6461c8b1a574f4c8930eae7be,sga1.candidate.sha256.f6bfb896467a1426f1c55f243f348a82eefbc8d6461c8b1a574f4c8930eae7be,5,SGA1_English_source_sync_workpass.tex,339,342,3,Expos\'e~III,III,sga1.e03.chapter.unnamed,hyperref,\hyperref[III]{Expos\'e~III},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.0c488c246e53fdf0e3c6f25999635c851ff1a868a8e90cfad8d21af2e252d8b8,sga1.candidate.sha256.0c488c246e53fdf0e3c6f25999635c851ff1a868a8e90cfad8d21af2e252d8b8,6,SGA1_English_source_sync_workpass.tex,339,342,33,no.~1.2,III.1.2,sga1.e03.rem.1-2,hyperref,\hyperref[III.1.2]{no.~1.2},internal_reference,anaphoric continuation of Exposé III on the same line,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.b40817abafc4a298400070279757ebeba30c9d5d5302575740e1a16eeac782b2,sga1.candidate.sha256.b40817abafc4a298400070279757ebeba30c9d5d5302575740e1a16eeac782b2,7,SGA1_English_source_sync_workpass.tex,363,367,2,Expos\'e~I,I,sga1.e01.chapter.unnamed,hyperref,\hyperref[I]{Expos\'e~I},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.0dd6a9faf90a1d65b88a191b58e2d7b6d5741522b4209f14cc51ef594dade469,sga1.candidate.sha256.0dd6a9faf90a1d65b88a191b58e2d7b6d5741522b4209f14cc51ef594dade469,8,SGA1_English_source_sync_workpass.tex,435,440,1,Expos\'e~IV,IV,sga1.e04.chapter.unnamed,hyperref,\hyperref[IV]{Expos\'e~IV},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.08c12a1e94f88feba7f1d1b512f2d79b26caf3e2c27c8c38fc9d45a295b6bf3e,sga1.candidate.sha256.08c12a1e94f88feba7f1d1b512f2d79b26caf3e2c27c8c38fc9d45a295b6bf3e,9,SGA1_English_source_sync_workpass.tex,447,453,3,Expos\'e~III,III,sga1.e03.chapter.unnamed,hyperref,\hyperref[III]{Expos\'e~III},internal_reference,unique active SGA 1 target,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.67c578d398917613035a13feba728ffd6ea3859c2abf61e2011715cb42fd1669,sga1.candidate.sha256.67c578d398917613035a13feba728ffd6ea3859c2abf61e2011715cb42fd1669,10,SGA1_English_source_sync_workpass.tex,448,454,3,no.~1.2,III.1.2,sga1.e03.rem.1-2,hyperref,\hyperref[III.1.2]{no.~1.2},internal_reference,anaphoric continuation of Exposé III on the preceding line,AF811E732138E82FE9C7A7D0B8C12D0C3A4D2A10C85A9C0757143E6FA2078D26,applied_and_compiled
sga1.application.sha256.29fb9e297ccf9e092037caa18859fa93cd2282bd6e58624ff975cbbe062af372,sga1.candidate.sha256.29fb9e297ccf9e092037caa18859fa93cd2282bd6e58624ff975cbbe062af372,11,drafts/SGA1_I_5_English_source_draft.texfrag,212,213,1,Exposé~IV,IV,sga1.e04.chapter.unnamed,hyperref,\hyperref[IV]{Exposé~IV},internal_reference,unique active SGA 1 target,2999A36E1BD33F67110CEB76531EC49211C4838753D13C0504DBFB3038A76B6E,applied_and_compiled
sga1.application.sha256.02af4ab502a8b21c9028d7fd57d5f9f4ffd7132b89a86f2b559ff6592448eb1f,sga1.candidate.sha256.02af4ab502a8b21c9028d7fd57d5f9f4ffd7132b89a86f2b559ff6592448eb1f,12,drafts/SGA1_I_5_English_source_draft.texfrag,213,214,1,no.~5.9,IV.5.9,sga1.e04.cor.5-9,hyperref,\hyperref[IV.5.9]{no.~5.9},internal_reference,anaphoric continuation of preceding Exposé IV locator,2999A36E1BD33F67110CEB76531EC49211C4838753D13C0504DBFB3038A76B6E,applied_and_compiled
sga1.application.sha256.f9406222b688baadfe3b69d9059d12db7891ca1b1f8226eb73156b4a9abd7dd4,sga1.candidate.sha256.f9406222b688baadfe3b69d9059d12db7891ca1b1f8226eb73156b4a9abd7dd4,13,drafts/SGA1_I_6_English_source_draft.texfrag,12,12,14,no.~I.7,I.7,sga1.e01.sec.7,hyperref,\hyperref[I.7]{no.~I.7},internal_reference,explicit SGA 1 Exposé I §7 locator,1B8CFB65C7D34964F929A3EE360D92615C7F34A7FE184F581C2A0DAA488B30BC,applied_and_compiled
sga1.application.sha256.970092f1f47708eae4aa52ce6cdba057b296c0198220471fda72210b2c1614ef,sga1.candidate.sha256.970092f1f47708eae4aa52ce6cdba057b296c0198220471fda72210b2c1614ef,14,drafts/SGA1_I_9_12_STARRED_REMARK_English_source_draft.texfrag,4,4,42,no.~I.11,I.11,sga1.e01.sec.11,hyperref,\hyperref[I.11]{no.~I.11},internal_reference,unique active SGA 1 target,FA9AD0635866707751E53FCBDDECA50AFB2C78CCD8087763EA47231F2896A139,applied_and_compiled
sga1.application.sha256.328b361fa1e424cd48c5b635327b662ded010a754364df8f50f88c013ee492c6,sga1.candidate.sha256.328b361fa1e424cd48c5b635327b662ded010a754364df8f50f88c013ee492c6,15,drafts/SGA1_I_10_3_DEFINITION_English_source_draft.texfrag,22,22,17,Corollary~I.10.3,I.10.3,sga1.e01.cor.10-3,hyperref,\hyperref[I.10.3]{Corollary~I.10.3},internal_reference,unique active SGA 1 target,AAB62FD44869EA93B546E7E4A912FE25A86F96B75E4B595CD6ACA09D9EB5D10E,applied_and_compiled
sga1.application.sha256.e2bbaccbf851b1687ddb720628ab9f4d799767e563e444ee61ecd698a9505683,sga1.candidate.sha256.e2bbaccbf851b1687ddb720628ab9f4d799767e563e444ee61ecd698a9505683,16,drafts/SGA1_I_10_4_English_source_draft.texfrag,30,30,1,Proposition~I.10.4,I.10.4,sga1.e01.prop.10-4,hyperref,\hyperref[I.10.4]{Proposition~I.10.4},internal_reference,unique active SGA 1 target,BF765F210489BED457ED393A32C3009BC0AE34527A21A409E65CB08C7D1B51AE,applied_and_compiled
sga1.application.sha256.7a75d66e45ef6ffb5686a82d8ae34922a72c6e1c7a6ce8acdfe1e3e6d104189a,sga1.candidate.sha256.7a75d66e45ef6ffb5686a82d8ae34922a72c6e1c7a6ce8acdfe1e3e6d104189a,17,drafts/SGA1_I_10_4_English_source_draft.texfrag,31,31,21,Corollary~I.10.3,I.10.3,sga1.e01.cor.10-3,hyperref,\hyperref[I.10.3]{Corollary~I.10.3},internal_reference,unique active SGA 1 target,BF765F210489BED457ED393A32C3009BC0AE34527A21A409E65CB08C7D1B51AE,applied_and_compiled
sga1.application.sha256.d471e2a573aff8414b64dcd07965693c1a601438eaa7aa68bc6242ffe97aa074,sga1.candidate.sha256.d471e2a573aff8414b64dcd07965693c1a601438eaa7aa68bc6242ffe97aa074,18,drafts/SGA1_I_10_4_English_source_draft.texfrag,32,32,1,Proposition~I.4.6,I.4.6,sga1.e01.prop.4-6,hyperref,\hyperref[I.4.6]{Proposition~I.4.6},internal_reference,unique active SGA 1 target,BF765F210489BED457ED393A32C3009BC0AE34527A21A409E65CB08C7D1B51AE,applied_and_compiled
sga1.application.sha256.c7ab1933c36a3bb44139a9a8e21287e3ae00f91b64b5b4d0c3dd3106cf7865fb,sga1.candidate.sha256.c7ab1933c36a3bb44139a9a8e21287e3ae00f91b64b5b4d0c3dd3106cf7865fb,19,drafts/SGA1_I_11_English.texfrag,106,106,23,IX~4.10,IX.4.10,sga1.e09.thm.4-10,hyperref,\hyperref[IX.4.10]{IX~4.10},internal_reference,unique active SGA 1 target,74F976BB3B8D7E93E546BE1CC199F16A943B5656DF13FC23BC6381B32CAD3FA3,applied_and_compiled
sga1.application.sha256.20435b3fe7719b21cf0dd0ecae7615eb0d12e7b565d9f0bc0175a2fec22e27db,sga1.candidate.sha256.20435b3fe7719b21cf0dd0ecae7615eb0d12e7b565d9f0bc0175a2fec22e27db,20,drafts/SGA1_II_4_OPENING_THROUGH_4_8_English.texfrag,243,244,1,no.~II.5,II.5,sga1.e02.sec.5,hyperref,\hyperref[II.5]{no.~II.5},internal_reference,unique active SGA 1 target,75EF33D6C0CAD7A46FB45E151DA8E19E75E5B946B651B849B7BCDB4E593CE0F1,applied_and_compiled
sga1.application.sha256.a34170aca229bf9c4cd944932c5e8305f3dd0c318fd872162a9e0303334989c7,sga1.candidate.sha256.a34170aca229bf9c4cd944932c5e8305f3dd0c318fd872162a9e0303334989c7,21,drafts/SGA1_II_5_6_THROUGH_5_7_English.texfrag,41,42,1,Exposé~II,II.fin.errata,sga1.e02.sec.5.key-ii-fin-errata,hyperref,\hyperref[II.fin.errata]{Exposé~II},internal_reference,explicit reference to terminal Exposé II errata,A61EB196680EEBB9F3D1DB80DB487723D717516F339661CBD655D0CA1A0EE1E2,applied_and_compiled
sga1.application.sha256.a370851b45d7f60112d5fcc5c2e6ef5ba9abb582f4dc7d2c1fe807a7994775c6,sga1.candidate.sha256.a370851b45d7f60112d5fcc5c2e6ef5ba9abb582f4dc7d2c1fe807a7994775c6,22,drafts/SGA1_III_1_OPENING_THROUGH_1_3_English.texfrag,4,4,4,Exposé~II,II,sga1.e02.chapter.unnamed,hyperref,\hyperref[II]{Exposé~II},internal_reference,unique active SGA 1 target,405270A8A32B6D30DDEECD62783BAEFF72C3166A7EAB197254B21D4796E271EA,applied_and_compiled
sga1.application.sha256.f2347ebc6351c79467768988c3a1bf8a0f84808dfa94ed0a78ebd3aaed9ddf24,sga1.candidate.sha256.f2347ebc6351c79467768988c3a1bf8a0f84808dfa94ed0a78ebd3aaed9ddf24,23,drafts/SGA1_III_1_4_THROUGH_1_9_English.texfrag,155,156,1,Exposé~II,II,sga1.e02.chapter.unnamed,hyperref,\hyperref[II]{Exposé~II},internal_reference,unique active SGA 1 target,9AD61CC3E9C1C003DE4D2A9C7C9A5DFAF9C67AF2FE9C205A3756E8C1D530FCFC,applied_and_compiled
sga1.application.sha256.92d00c37192bf08ffc6b31dbf537a1a4a43f368ebf5c58b39c92f4177f26774f,sga1.candidate.sha256.92d00c37192bf08ffc6b31dbf537a1a4a43f368ebf5c58b39c92f4177f26774f,24,drafts/SGA1_III_1_4_THROUGH_1_9_English.texfrag,163,164,14,Exposé~II,II,sga1.e02.chapter.unnamed,hyperref,\hyperref[II]{Exposé~II},internal_reference,unique active SGA 1 target,9AD61CC3E9C1C003DE4D2A9C7C9A5DFAF9C67AF2FE9C205A3756E8C1D530FCFC,applied_and_compiled
