kind,volume,scope,language,format,path,source_scan,source_pages,coverage_note
new_batch,1,"Sections 62-68",German,TeX,01_new_work_this_batch/volume_1_sections62_68/german/tex/weber_vol1_sections62_68_german_source.tex,03_source_scans/this_batch_volume_1_sections62_68/source_scan_vol1_sections62_68_pp192_212.pdf,"192-212","Starts at §62 on source p.192 and stops before §69."
new_batch,1,"Sections 62-68",German,PDF,01_new_work_this_batch/volume_1_sections62_68/german/pdf/weber_vol1_sections62_68_german_source.pdf,03_source_scans/this_batch_volume_1_sections62_68/source_scan_vol1_sections62_68_pp192_212.pdf,"192-212","Compiled and render-checked."
new_batch,1,"Sections 62-68",English,TeX,01_new_work_this_batch/volume_1_sections62_68/english/tex/weber_vol1_sections62_68_english_translation.tex,03_source_scans/this_batch_volume_1_sections62_68/source_scan_vol1_sections62_68_pp192_212.pdf,"192-212","Starts at §62 on source p.192 and stops before §69."
new_batch,1,"Sections 62-68",English,PDF,01_new_work_this_batch/volume_1_sections62_68/english/pdf/weber_vol1_sections62_68_english_translation.pdf,03_source_scans/this_batch_volume_1_sections62_68/source_scan_vol1_sections62_68_pp192_212.pdf,"192-212","Compiled and render-checked."
cumulative,1,"Introduction through Section 68",German,TeX,02_cumulative_updates/volume_1_through_section68/german/tex/weber_volume1_cumulative_through_section68_german_source.tex,"current thread scan cutouts plus current section packet source record","through 212","current section packet appended to previous cumulative Volume I through §61."
cumulative,1,"Introduction through Section 68",German,PDF,02_cumulative_updates/volume_1_through_section68/german/pdf/weber_volume1_cumulative_through_section68_german_source.pdf,"current thread scan cutouts plus current section packet source record","through 212","Compiled and tail-render checked."
cumulative,1,"Introduction through Section 68",English,TeX,02_cumulative_updates/volume_1_through_section68/english/tex/weber_volume1_cumulative_through_section68_english_translation.tex,"current thread scan cutouts plus current section packet source record","through 212","current section packet appended to previous cumulative Volume I through §61."
cumulative,1,"Introduction through Section 68",English,PDF,02_cumulative_updates/volume_1_through_section68/english/pdf/weber_volume1_cumulative_through_section68_english_translation.pdf,"current thread scan cutouts plus current section packet source record","through 212","Compiled and tail-render checked."
cumulative,2,"Section 176 through end matter",German,TeX,02_cumulative_updates/volume_2_unchanged_from_batch39/german/tex/weber_volume2_current_repaired_cumulative_german_source.tex,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
cumulative,2,"Section 176 through end matter",German,PDF,02_cumulative_updates/volume_2_unchanged_from_batch39/german/pdf/weber_volume2_current_repaired_cumulative_german_source.pdf,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
cumulative,2,"Section 176 through end matter",English,TeX,02_cumulative_updates/volume_2_unchanged_from_batch39/english/tex/weber_volume2_current_repaired_cumulative_english_translation.tex,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
cumulative,2,"Section 176 through end matter",English,PDF,02_cumulative_updates/volume_2_unchanged_from_batch39/english/pdf/weber_volume2_current_repaired_cumulative_english_translation.pdf,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
cumulative,3,"Sections 1-100",German,TeX,02_cumulative_updates/volume_3_unchanged_from_batch39/german/tex/weber_volume3_current_repaired_cumulative_german_source.tex,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
cumulative,3,"Sections 1-100",German,PDF,02_cumulative_updates/volume_3_unchanged_from_batch39/german/pdf/weber_volume3_current_repaired_cumulative_german_source.pdf,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
cumulative,3,"Sections 1-100",English,TeX,02_cumulative_updates/volume_3_unchanged_from_batch39/english/tex/weber_volume3_current_repaired_cumulative_english_translation.tex,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
cumulative,3,"Sections 1-100",English,PDF,02_cumulative_updates/volume_3_unchanged_from_batch39/english/pdf/weber_volume3_current_repaired_cumulative_english_translation.pdf,"unchanged from restart packet current section packet",,"Included unchanged so all three volume lanes are present."
source_scan,1,"Sections 62-68 source cutout",Source,PDF,03_source_scans/this_batch_volume_1_sections62_68/source_scan_vol1_sections62_68_pp192_212.pdf,,"192-212","Source scan cutout used for this batch."
source_scan,1,"Sections 62-68 source PNG pages",Source,PNG,03_source_scans/this_batch_volume_1_sections62_68/png_pages/,,"192-212","Rendered PNG pages of the source cutout for direct checking."
source_scan,1,"Sections 46-end through 54 prior thread cutout",Source,PDF,03_source_scans/prior_thread_volume_1_scans/source_scan_vol1_sections46end_54_pp153_177.pdf,,"153-177","Reincluded prior thread scan cutout."
source_scan,1,"Sections 55-61 prior thread cutout",Source,PDF,03_source_scans/prior_thread_volume_1_scans/source_scan_vol1_sections55_61_pp178_192.pdf,,"178-192","Reincluded prior thread scan cutout."
source_scan,1,"Sections 44-46 current section packet cutout",Source,PDF,03_source_scans/batch39_scan_slices/weber_vol1_source_scan_sections44_46.pdf,,,"Restart packet latest current section packet source slice."
source_scan,3,"Section 100 current section packet cutout",Source,PDF,03_source_scans/batch39_scan_slices/weber_vol3_source_scan_section100.pdf,,,"Restart packet latest current section packet source slice."
