priority,cluster,author,work,why,status,ia_item,scan_pdf,ocr_txt,ocr_xml,page_images_zip,scandata,next_action
1,Persian/Iranian mathematical astronomy,Abu Rayhan al-Biruni,al-Qanun al-Masudi,"Major computational astronomy/canonical table work; large, source-rich, high-value for later Arabic/Persian/English modernization.",scan + OCR available; large but usable,https://archive.org/details/al-qanun-al-masudi-biruni-muhammad-ibn-ahmad,https://archive.org/download/al-qanun-al-masudi-biruni-muhammad-ibn-ahmad/al-Qan%C5%ABn%20al-Mas%CA%BF%C5%ABd%C4%AB%20%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%20B%C4%ABr%C5%ABn%C4%AB%2C%20Mu%E1%B8%A5ammad%20ibn%20A%E1%B8%A5mad%20%D8%A8%D9%8A%D8%B1%D9%88%D9%86%D9%8A%D8%8C%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A3%D8%AD%D9%85%D8%AF.pdf,https://archive.org/download/al-qanun-al-masudi-biruni-muhammad-ibn-ahmad/al-Qan%C5%ABn%20al-Mas%CA%BF%C5%ABd%C4%AB%20%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%20B%C4%ABr%C5%ABn%C4%AB%2C%20Mu%E1%B8%A5ammad%20ibn%20A%E1%B8%A5mad%20%D8%A8%D9%8A%D8%B1%D9%88%D9%86%D9%8A%D8%8C%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A3%D8%AD%D9%85%D8%AF_djvu.txt,https://archive.org/download/al-qanun-al-masudi-biruni-muhammad-ibn-ahmad/al-Qan%C5%ABn%20al-Mas%CA%BF%C5%ABd%C4%AB%20%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%20B%C4%ABr%C5%ABn%C4%AB%2C%20Mu%E1%B8%A5ammad%20ibn%20A%E1%B8%A5mad%20%D8%A8%D9%8A%D8%B1%D9%88%D9%86%D9%8A%D8%8C%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A3%D8%AD%D9%85%D8%AF_djvu.xml,https://archive.org/download/al-qanun-al-masudi-biruni-muhammad-ibn-ahmad/al-Qan%C5%ABn%20al-Mas%CA%BF%C5%ABd%C4%AB%20%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%20B%C4%ABr%C5%ABn%C4%AB%2C%20Mu%E1%B8%A5ammad%20ibn%20A%E1%B8%A5mad%20%D8%A8%D9%8A%D8%B1%D9%88%D9%86%D9%8A%D8%8C%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A3%D8%AD%D9%85%D8%AF_jp2.zip,https://archive.org/download/al-qanun-al-masudi-biruni-muhammad-ibn-ahmad/al-Qan%C5%ABn%20al-Mas%CA%BF%C5%ABd%C4%AB%20%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%20B%C4%ABr%C5%ABn%C4%AB%2C%20Mu%E1%B8%A5ammad%20ibn%20A%E1%B8%A5mad%20%D8%A8%D9%8A%D8%B1%D9%88%D9%86%D9%8A%D8%8C%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%A3%D8%AD%D9%85%D8%AF_scandata.xml,Download core PDF/OCR/XML; triage tables and diagrams; then split into chapter-size translation packets.
1,Persian/Iranian geometry,Nasir al-Din al-Tusi,Tahrir-i Uqlidis / Tahrir Euclid,Central Persianate Euclidean geometry recension; ideal for source-grounded TeX reconstruction and translation.,two IA scans with OCR/XML; 1880 copy likely better full target,https://archive.org/details/in.ernet.dli.2015.361025,https://archive.org/download/in.ernet.dli.2015.361025/2015.361025.Tahrir-E.pdf,https://archive.org/download/in.ernet.dli.2015.361025/2015.361025.Tahrir-E_djvu.txt,https://archive.org/download/in.ernet.dli.2015.361025/2015.361025.Tahrir-E_djvu.xml,https://archive.org/download/in.ernet.dli.2015.361025/2015.361025.Tahrir-E_jp2.zip,https://archive.org/download/in.ernet.dli.2015.361025/2015.361025.Tahrir-E_scandata.xml,Download 1880 scan/OCR; compare with 1824 scan; choose cleaner base and package proposition-by-proposition.
1,Persian/Iranian algebra,Omar Khayyam,Treatise on Algebra / Sina'at al-jabr wa-al-muqabalah,Already in the non-European public surface; should become a stronger author-level Persianate algebra target with source alignment.,scan + OCR + page images available; current reader exists but can be fidelity-upgraded,https://archive.org/details/ldpd_15264441_000,https://archive.org/download/ldpd_15264441_000/ldpd_15264441_000.pdf,https://archive.org/download/ldpd_15264441_000/ldpd_15264441_000_djvu.txt,https://archive.org/download/ldpd_15264441_000/ldpd_15264441_000_djvu.xml,https://archive.org/download/ldpd_15264441_000/ldpd_15264441_000_jp2.zip,https://archive.org/download/ldpd_15264441_000/ldpd_15264441_000_scandata.xml,Use as immediate high-confidence source-backed refresh target; compare against existing TeX/PDF.
1,Persian/Iranian computational arithmetic,Jamshid al-Kashi,Miftah al-Hisab,A flagship computational arithmetic text; already in the public surface but should become a major author-level page.,"scans available; IA OCR on DLI copy is poor, so this is a transcription-first target",https://archive.org/details/dli.ministry.26383,https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-1%2529.pdf ; https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-2%2529.pdf,https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-1%2529_djvu.txt ; https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-2%2529_djvu.txt,https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-1%2529_djvu.xml ; https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-2%2529_djvu.xml,https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-1%2529_jp2.zip ; https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-2%2529_jp2.zip,https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-1%2529_scandata.xml ; https://archive.org/download/dli.ministry.26383/19556.12873-%2520%2528part-2%2529_scandata.xml,Do not trust OCR; feed page images/scans to transcription workflow; keep existing reader as draft baseline.
2,Persian/Iranian trigonometry,Nasir al-Din al-Tusi,Shakl al-Qatta / Treatise on the Complete Quadrilateral,"Independent trigonometry/spherical geometry strand; already present, but source-grounded refresh would be valuable.",direct scan link already in local non-Euro linkpack; OCR status needs item-level check,https://archive.org/details/11921309pdf2282,https://archive.org/download/11921309pdf2282/1192%20-%20%D9%83%D8%AA%D8%A7%D8%A8%20%D8%B4%D9%83%D9%84%20%D8%A7%D9%84%D9%82%D8%B7%D8%A7%D8%B9%20-%20%D8%A7%D9%84%D9%82%D8%B3%D8%B7%D9%86%D8%B7%D9%8A%D9%86%D9%8A%D8%A9%20-%201309%20%D9%83%D8%AA%D8%A7%D8%A8%20%D8%B5%D9%8A%D8%BA%D8%A9%20%D8%A8%D9%8A%20%D8%AF%D9%8A%20%D8%A7%D9%81%20%D8%A7%D9%82%D8%B1%D8%A7%20%D8%A7%D9%88%D9%86%D9%84%D8%A7%D9%8A%D9%86%20%20pdf%20%20%20%20%202282.pdf,,,,,Check IA metadata for OCR alternates; otherwise use current scan as source image base.
2,Persian/Iranian astronomical recensions,Nasir al-Din al-Tusi,Tahrir al-Majisti / Almagest recension,Major astronomical-mathematical recension; good follow-up after Euclid/Tusi trigonometry.,two-part scan + OCR/XML available,https://archive.org/details/dli.ministry.27192,https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-1%2529.pdf ; https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-2%2529.pdf,https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-1%2529_djvu.txt ; https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-2%2529_djvu.txt,https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-1%2529_djvu.xml ; https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-2%2529_djvu.xml,https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-1%2529_jp2.zip ; https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-2%2529_jp2.zip,https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-1%2529_scandata.xml ; https://archive.org/download/dli.ministry.27192/19558.12875-%2520%2528part-2%2529_scandata.xml,Queue after Tusi Euclid; useful for Maragha-school astronomy page.
2,Persian/Iranian mathematical astronomy,Abu Rayhan al-Biruni,Elements of Astrology / Kitab al-Tafhim-related English source,Accessible al-Biruni gateway text with mathematical/astronomical vocabulary; useful as translation and glossary seed.,scan + OCR/XML available,https://archive.org/details/al-birini-elementsof-astrology,https://archive.org/download/al-birini-elementsof-astrology/AlBiriniElementsofAstrology.pdf,https://archive.org/download/al-birini-elementsof-astrology/AlBiriniElementsofAstrology_djvu.txt,https://archive.org/download/al-birini-elementsof-astrology/AlBiriniElementsofAstrology_djvu.xml,https://archive.org/download/al-birini-elementsof-astrology/AlBiriniElementsofAstrology_jp2.zip,https://archive.org/download/al-birini-elementsof-astrology/AlBiriniElementsofAstrology_scandata.xml,Download and use as a low-friction glossary/provenance bridge before al-Qanun al-Masudi.
3,Persian/Iranian context and terminology,John Tytler,Analysis and Specimens of a Persian Work on Mathematics and Astronomy,Small 1837 paper; useful quick context target and likely easy proof-of-concept.,small PDF + Abbyy + OCR/XML available,https://archive.org/details/jstor-25207498,https://archive.org/download/jstor-25207498/25207498.pdf,https://archive.org/download/jstor-25207498/25207498_djvu.txt,https://archive.org/download/jstor-25207498/25207498_djvu.xml,https://archive.org/download/jstor-25207498/25207498_jp2.zip,https://archive.org/download/jstor-25207498/25207498_scandata.xml,Do immediately as a tiny Persian-lane proof-of-concept if desired.
3,Persian/Iranian support tooling,Gholamreza Mokhtari Aski,Descriptive Persian-English Dictionary of Basic Mathematics,"Not a primary historical work, but useful for terminology normalization and Persian-language output checking.",scan + OCR/XML available; modern copyright status should be checked before public redistribution,https://archive.org/details/descriptivepersianenglishdictionaryofbasicmathematics,https://archive.org/download/descriptivepersianenglishdictionaryofbasicmathematics/descriptive%20%20Persian-English%20%20dictionary%20of%20basic%20Mathematics.pdf,https://archive.org/download/descriptivepersianenglishdictionaryofbasicmathematics/descriptive%20%20Persian-English%20%20dictionary%20of%20basic%20Mathematics_djvu.txt,https://archive.org/download/descriptivepersianenglishdictionaryofbasicmathematics/descriptive%20%20Persian-English%20%20dictionary%20of%20basic%20Mathematics_djvu.xml,https://archive.org/download/descriptivepersianenglishdictionaryofbasicmathematics/descriptive%20%20Persian-English%20%20dictionary%20of%20basic%20Mathematics_jp2.zip,https://archive.org/download/descriptivepersianenglishdictionaryofbasicmathematics/descriptive%20%20Persian-English%20%20dictionary%20of%20basic%20Mathematics_scandata.xml,Use locally for terminology; keep out of public archive until license posture is decided.
3,Persian/Iranian support tooling,M. Heydari-Malayeri,Etymological Dictionary of Astronomy and Astrophysics: English-French-Persian,Open arXiv-linked terminology aid for astronomy/astrophysics vocabulary.,tiny arXiv PDF + OCR/XML available,https://archive.org/details/arxiv-astro-ph0701421,https://archive.org/download/arxiv-astro-ph0701421/astro-ph0701421.pdf,https://archive.org/download/arxiv-astro-ph0701421/astro-ph0701421_djvu.txt,https://archive.org/download/arxiv-astro-ph0701421/astro-ph0701421_djvu.xml,https://archive.org/download/arxiv-astro-ph0701421/astro-ph0701421_jp2.zip,https://archive.org/download/arxiv-astro-ph0701421/astro-ph0701421_scandata.xml,"Use as glossary aid, especially for al-Biruni/al-Battani/Ulugh Beg astronomy terms."
