"lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","source_locator_or_archive_url","local_path","license_or_access_signal","sha256_or_other_hash","byte_count","source_language","language_evidence","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","upload_policy","gap_or_blocker_note","non_claim_boundary","cross_lane_reference","status"
"Arabic RTL","Arabic","مبادئ الجبر المجرد / Algebra I","Omran Kouba / HIAST","algebra;ring;field;ideal;group;polynomial;representation","direct_arabic_mathematical_source","pdf_publication","https://uomustansiriyah.edu.iq/media/attachments/192/192_2019_10_20%2108_53_36_PM.pdf","","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/mustansiriyah_abstract_algebra_2019.pdf","PDF states CC-BY-ND 4.0 / Creative Commons Attribution-NoDerivatives 4.0; signal only, no blanket clearance","FAA47DEBCB0157EBB28B4A0D0FAECDC7C52950802CE51C66A4F92DA2446F97E0","5456693","Arabic","Arabic title and mathematical body; existing local extracted evidence","true","false","true","metadata/hash row only; do not upload body through rolling package unless B3 gates it","Strong direct algebra/ring/field witness; not specialist invariant-theory authority","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","active_witness"
"Arabic RTL","Arabic","Mustansiriyah ring theory lecture","Mustansiriyah University","ring theory;ideals","direct_arabic_mathematical_source","pdf_lecture","https://uomustansiriyah.edu.iq/media/lectures/12/12_2019_05_29%2101_03_09_PM.pdf","","sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/mustansiriyah_ring_theory_2019.pdf","No explicit open reuse license found","811C3BAE2363895F344AD1B6382629239E35C5A1CA47012A576207BFD851023A","647885","Arabic","Arabic lecture/register witness for rings and ideals","true","false","true","metadata/hash row only; source body not uploaded","Ring/ideal witness only; homomorphism/isomorphism contexts still need strengthening","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","active_witness"
"Arabic RTL","Arabic","Majmaah rings and fields course description 2017","Majmaah University","rings;fields;ideals;polynomial rings","official_course_register_witness","pdf_course_spec","https://www.mu.edu.sa/sites/default/files/content/2017/06/%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A7%D8%AA%20%D9%88%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%84.pdf","","sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/majmaah_rings_fields_2017_course_spec.pdf","Official university course PDF; no explicit open reuse license found","A6C1B7EC48616AF3347ED537715DA1DAC98EE32C6E70D821F185BF81168F22D9","822529","Arabic","Arabic title/course topic rows for rings and fields","true","false","true","metadata/hash row only; source body not uploaded","Course-register witness only","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","active_witness"
"Arabic RTL","Arabic","Majmaah mathematics program specification with rings/fields row","Majmaah University","rings;fields;algebra course rows","official_course_register_witness","pdf_program_spec","https://www.mu.edu.sa/sites/default/files/content/2016/04/21.pdf","","sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/majmaah_program_spec_rings_fields_2016.pdf","Official university program PDF; no explicit open reuse license found","026CBF94316E174C7D273819BC6ED3F15609B0BB09459F045228ACB71856E1D6","848361","Arabic","Arabic program/course register rows","true","false","true","metadata/hash row only; source body not uploaded","Course-register witness only","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","active_witness"
"Arabic RTL","Arabic","SyriaMath rings and fields PDF","SyriaMath","rings;fields","downloaded_extraction_gap","pdf_publication","https://www.syriamath.net/files/library/2015/03/1159987895.pdf","https://www.syriamath.net/node/1197","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/syriamath_rings_fields_1159987895.pdf","No explicit open reuse license found","617FD1CD4A2904B798C381B9CF0DF4F283A7629DBF6455E845C128A2455E0949","7724668","Arabic","Arabic source locator and PDF; extraction did not yield relevant term hits in prior pass","true","false","true","metadata/hash row only; source body not uploaded","OCR/text extraction gap; no term authority","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","gap_witness"
"Arabic RTL","Arabic","Qadisiyah mathematics academic program 2025-2026","University of Qadisiyah","algebra;rings;fields;modules;groups","official_course_register_witness","pdf_program_spec","https://edu.qu.edu.iq/wp-content/uploads/sites/14/2025/09/%D9%88%D8%B5%D9%81-%D8%A7%D9%84%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA-%D8%B9%D8%B1%D8%A8%D9%8A-%D9%86%D9%87%D8%A7%D8%A6%D9%8A-2025-2026.pdf","","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/qadisiyah_math_program_2025_2026.pdf","Official university program PDF; no explicit open reuse license found","97B484445E0D9DFD6466C97E4A28ADD199361F4FF577B31ED1343C6BE4B6DB9D","5051305","Arabic","Arabic academic program description","true","false","true","metadata/hash row only; source body not uploaded","Course-register witness only","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","active_witness"
"Arabic RTL","Arabic","Mustansiriyah mathematics program description 2024","Mustansiriyah University","algebra;rings;fields;modules;groups","official_course_register_witness","pdf_program_spec","https://uomustansiriyah.edu.iq/media/attachments/161/161_2024_08_27%2111_27_01_PM.pdf","","sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/mustansiriyah_math_program_2024.pdf","Official university program PDF; no explicit open reuse license found","E834C05A5CB8D2CA25016E4775045E7A4FF3A6FB4D32A28EB767C1251DB9E413","2410949","Arabic","Arabic academic program description","true","false","true","metadata/hash row only; source body not uploaded","Course-register witness only","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","active_witness"
"Arabic RTL","Arabic","Milne Group Theory Arabic translation","J. S. Milne / Arabic translators Ahmad Alkhalaf, Iman Taha, and others","group theory;representations;fields;rings;homomorphism;isomorphism","adjacent_arabic_mathematical_source","pdf_translation","https://www.jmilne.org/math/CourseNotes/GTarabic.pdf","https://www.jmilne.org/math/CourseNotes/gt.html","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/downloads/jmilne_group_theory_arabic.pdf","Arabic PDF has older personal/noncommercial copy notice; current English page says v4 source files are CC BY-NC-SA 4.0; signals only","77B97DF62856083FF960790EA6CEA27E5AD6927241D5F87751B376C8F644A904","1180346","Arabic","Arabic translation of group theory notes","true","false","true","metadata/hash row only; source body not uploaded","Adjacent group/representation register; not direct invariant/covariant/binary-form authority","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","active_witness"
"Arabic RTL","Arabic","ArabicScholar modular matrix invariants summary","ArabicScholar","invariant rings;group actions;Hilbert series;finite fields","weak_secondary_arabic_register_witness","html_secondary_summary","https://www.arabicscholar.com/%D8%A7%D9%84%D8%AB%D9%88%D8%A7%D8%A8%D8%AA-%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%AF%D9%88%D9%84%D8%A7%D8%B1%D9%8A%D8%A9-%D8%AA%D8%AD%D8%AA-%D8%A8%D8%B9/","","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/html/arabicscholar_modular_matrix_invariants_2026.html","No open reuse license found; page copyright language observed locally","5B469F0809C89A9365DE974B8AA7E86FEA6F37F9309117654BD51B53623049F4","97331","Arabic","Arabic secondary summary page","true","false","true","metadata/hash row only; source body not uploaded","Weak secondary summary; not direct specialist source","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","weak_witness"
"Arabic RTL","Arabic","Shamra Arabic summary of Invariance and system theory","Shamra Academia","geometric invariant theory;quotient/moduli phrases","weak_secondary_phrase_witness","html_secondary_summary","https://shamra-academia.com/show/f0597758b3ef43","","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/html/shamra_invariance_system_theory_arabic_summary.html","No open reuse license found","79FBC8D73B5BB9521C24F778B5536B205DC193A21D18B3CDA3C264CB255B67CF","236192","Arabic","Arabic abstract/summary phrases","true","false","true","metadata/hash row only; source body not uploaded","Weak phrase witness only","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","weak_witness"
