layer	page	pdf_sha256	render_sha256	pixels	ink_bbox	white_margins	result
source_language	1	E51FAC9DBA7CB5747BE85D06DF43F5D7BCCF32625C39E9ED73C49FCA2BF041E1	95BA8CFF6F9B72F7A56FF6254C79E64A3AF242EA58099BFBCBAE5F83D8E19F15	[1404, 1985]	[51, 51, 1353, 736]	{'left': 51, 'top': 51, 'right': 51, 'bottom': 1249}	PASS
source_language	2	E51FAC9DBA7CB5747BE85D06DF43F5D7BCCF32625C39E9ED73C49FCA2BF041E1	EA41F26663CA3B2F8211DE12F5229A9B3DC557DF47B94698A1C8C659EC45FB3E	[1404, 1985]	[51, 51, 1352, 585]	{'left': 51, 'top': 51, 'right': 52, 'bottom': 1400}	PASS
source_language	3	E51FAC9DBA7CB5747BE85D06DF43F5D7BCCF32625C39E9ED73C49FCA2BF041E1	712ED52786C70E923C9479EA4886BE84AA648926D44606961B9BD5B1352BE137	[1404, 1985]	[51, 51, 1352, 642]	{'left': 51, 'top': 51, 'right': 52, 'bottom': 1343}	PASS
source_language	4	E51FAC9DBA7CB5747BE85D06DF43F5D7BCCF32625C39E9ED73C49FCA2BF041E1	363CE21C8D6B22A161B06C7B4E8FCB3E4F16E4E2F5E255AAA7D303E005C5A3F5	[1404, 1985]	[51, 51, 1353, 927]	{'left': 51, 'top': 51, 'right': 51, 'bottom': 1058}	PASS
source_language	5	E51FAC9DBA7CB5747BE85D06DF43F5D7BCCF32625C39E9ED73C49FCA2BF041E1	4511912568FD77337427A21F641AB3B3BE71CBE203ADA1F9DF67451EAF62AE61	[1404, 1985]	[51, 51, 1352, 921]	{'left': 51, 'top': 51, 'right': 52, 'bottom': 1064}	PASS
source_language	6	E51FAC9DBA7CB5747BE85D06DF43F5D7BCCF32625C39E9ED73C49FCA2BF041E1	2CF998A2971216E00E28D8BAA1CAAE1DC390F135EC185A837CDE6B27CB5EA895	[1404, 1985]	[51, 51, 1351, 1124]	{'left': 51, 'top': 51, 'right': 53, 'bottom': 861}	PASS
french_standalone	1	A9A07B9AAEA9D893C7E1D90748B11C5CDA2669E20842BB82DEBE533F96F58D6B	F50C56043910277FB1947C2C7460A652F4D59E3932308EB490841FFB48F4058F	[1404, 1985]	[51, 51, 1352, 805]	{'left': 51, 'top': 51, 'right': 52, 'bottom': 1180}	PASS
french_standalone	2	A9A07B9AAEA9D893C7E1D90748B11C5CDA2669E20842BB82DEBE533F96F58D6B	EA96B29EE2FAA964DD5C4EA7F3AE55C54B933557ABCF32D29F72537FDD20580F	[1404, 1985]	[51, 51, 1352, 677]	{'left': 51, 'top': 51, 'right': 52, 'bottom': 1308}	PASS
french_standalone	3	A9A07B9AAEA9D893C7E1D90748B11C5CDA2669E20842BB82DEBE533F96F58D6B	73BDDBF090ABE8433D109A2956DF0F19DD3FCBB146EA9418F51D3DAFC1D2E3D1	[1404, 1985]	[51, 51, 1352, 675]	{'left': 51, 'top': 51, 'right': 52, 'bottom': 1310}	PASS
french_standalone	4	A9A07B9AAEA9D893C7E1D90748B11C5CDA2669E20842BB82DEBE533F96F58D6B	4D1DE5DB907F479A13E41C57E27EF163B1AE92C9F6B79996F82E525AE841B124	[1404, 1985]	[51, 51, 1351, 947]	{'left': 51, 'top': 51, 'right': 53, 'bottom': 1038}	PASS
french_standalone	5	A9A07B9AAEA9D893C7E1D90748B11C5CDA2669E20842BB82DEBE533F96F58D6B	F492807230455A605B7EC6DDD14EDC1963EA671DC922542C3B169B41B489F47F	[1404, 1985]	[51, 51, 1352, 999]	{'left': 51, 'top': 51, 'right': 52, 'bottom': 986}	PASS
french_standalone	6	A9A07B9AAEA9D893C7E1D90748B11C5CDA2669E20842BB82DEBE533F96F58D6B	B2C932D4B2AA44AC1106D53F52A9114BF3AFE3815782D34A1FB113765AABA31C	[1404, 1985]	[51, 51, 1351, 1089]	{'left': 51, 'top': 51, 'right': 53, 'bottom': 896}	PASS
