physical_page	printed_page	prompt_id	disposition	source_status	french_status	apparatus_status	final_status	record_sha256_source	record_sha256_french	record_sha256_apparatus
1	0	P01	EXCLUDE_FROM_SCHOLARLY_BODIES_RETAIN_PROVENANCE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	9472B99FF142BACE54BB461BC40E75BC0237D7429589C0042C8116FDA3505813	2FF81DB0C0B85F66CE48AF4FF385D625C05698A71FAC0CF037FF4E78F7DFB28A	49B902AC0A7AA58D7FC009B33DF77DEADA1C178CAD203FFB47A72D507E31AA44
2	103	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E047CB87DE613202B535C3BC3429EED8351FD7A511944A022E6A36CC420CAD69	9FC32CA5F275EB4B84D5DE42DAC765EB4C333D45BE9474561AC8ECACCFAF202A	D93A463FEB52E5C81C33F65299E2A1C43127865A749A56AB80E478A9D4A05D4B
3	104	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3E9B85FBD0A9AA5EA288D7C2F73B157E2D9964E8A47C1219B8D37702DBC48819	FB6E16F84C3D65F0D64A04DBDF4AF7FB356629F505BDD20C87955C8404BDF904	6D97345662934E31C9857513A271B77072687D8E4CA2AD09C0B8373BDE7520F3
4	105	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	53E865E9085DB1C123A8E12305F2BA70BB11E44AC86DA70EB4EC211F2DD1D93A	377E7975BFAAFF16B7D07C849644728BFF8284BE2EB3570DC851B3C2AB224B7E	AA83AF9AA8FC9DD45FD8B12446FF4C1992A0041068B71ADB721B1469C582A66F
5	106	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	C392A635E56A50F6D5BCFAD2270F150AF22CD2C44F1063E93ADE1AE0A0547150	DFE8A1D20EC62CD6CB903493191FCC12E3E2BCFC09EB07A47394AC829545D8EE	860086A15D9C591762DCCAC9880FA5D1E55482F7C71AA8961E4EE8A9AADB4480
6	107	P01	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3CB6073ED65465240E6E6C311389B8AA66E893746B9C4344413F25FA69750612	B8A212654640D004D539279619F33374F6EF65FFFE387F9DE64EFF2390E8B04C	535698321E417803F2AEAB07F22840B546283FE131B186B24EEC3D08337EA9B6
7	108	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0C1A09D54FA882622208EEC212C22424C876134FBF069F506C19B11AE67E78AB	DE9B051E04F63E899F354005ADA323BE0E38D6E080CEA9A5BF6920673A0779F6	884F40099688CAFDAC59996AE8DF64677FA94E21FA503B1255F7EF9F811791BD
8	109	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	98817F9055F156B4FD9A87286262271602FE2725F9D4D3AF86B36A774EC95179	0618B2F01DF9D1363D48803BB8A12A660690A803A0746C21CA6113D68140BCDE	AD597665D28E0F2C7294D24BB272E091C4D028E25BDBED304200BB5296F25BD4
9	110	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D56764548FA93ED8F52C0B0FE4C7F4A8B9AB8AD6110A0520527873693828FB50	B05B4D727388581E8F52C719A509D312EC4E4007885EB5C46A8245D4A753418B	B838A132A59A4CBB2F581C715B8F3F56AE091323AAA9EC54A36F5CE52477DA0A
10	111	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F06CCB660C4A079855A7564756E665DA04E14E2F9685E25BEAC6869C69D33FCD	B01DC2799825A306E39BD5FD546FE5308C4D1CC4EF43C2BDEA899CCC667EBFA3	ED93B69414E61C3AFA529D7798EA0036FE55FFBA3E64123F232995419CCAC239
11	112	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D595C0B7F546F6640BE03606B1371DCA9F29DE50668922E650EB916AF65C2D98	4C653DA8D39C894D525965E54C7DADB83457104A92C3DD71C1D8597BA6A17D00	9DEF8E3CA3741641EB62BEE502F9308EF1BA160E09A67AEAE37D8B3B3F93B152
12	113	P02	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	04BA3945028968F0668D9845E068BA7AC93BFF988C37D46E501E437F31487A69	4818894BB8D9F248B8C2DAEBBADC3834C67B441B147904A8E19366F71C2E0DE7	7AC2231F783DA52B2C642FFAE7A126F70654AF5CB0CDE53D46184054242A803B
13	114	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E887272ACA1F403F1AB4104ECD94ADC9822D766B05ECE63224154E5260DD7DDB	14B72A4AD8599FF9F8169C92ABE18D1FB95D59A2C82FDAD444E032B0A785BC22	398B29D07F1EBDA9A48F09298D171AA4D9D76A8C86757EEB23EB61C0FE87BF16
14	115	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	19EC2E3792E83D77F889D423AE445BF4F85A6E758F615EB2337D889A3BE1763D	1CE73D9172E5F12F65850A939FA70F688196386B964FCAD882C95ACBF1BC07FF	E87B5476E02DC7DFCAAFE542358887D4947652E92087973DFAC2FED6CEC8022D
15	116	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	90597C22CD52FF5B96ACA636C54A1BE10FCF445995C7E74C306D9E0D9DF9AD1F	540FAF4D5286A54528EF239C203AA88BAB66D66E9884F8FF0D4EFD2B88B22220	65116C28465BA1382BD15CE57A30421DBCCBEEAE14576B3BD9E89423950D5A17
16	117	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5C19253293872565645FA331FEF1723E3D65FDAFCF6B5F8B3F6F9CE0ED3A2685	6898FECA7C733DAA5F861BFA43019FE341F807794689A0F2E8860D14503C97EA	DE0E55D44B2BD14D4013495A2B10D0797074A19CBB8E3A25156F6488D05F49D9
