record_id,record_type,parent_id,revision,revision_of,supersedes,superseded_by,volume,expose,unit,source_lines,source_locator,authority_sha256,source_reading,target_reading,status,raw_cursor,substantive_cursor,evidence_path,evidence_sha256,release_state
SGA2-X-L3532-L3534-R37-INDEP-20260722@1,independent_review_result,,1,,,,SGA2,X,complete Remark 3.7,3532-3534,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,one complete French remark,exact producer target independently passes,independent_pass,3535,3536,INDEPENDENT_FINAL_AUDIT_PASS.md,B66742B04250CFB353737872E6FE35DDD8D0A8C5955030353B8103A1EAC128F4,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-AUTHORITY-20260722@1,source_manifest,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,French authority,3532-3534,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,586789-byte corrected arXiv TeX,authority retained byte-identical,authority_identity_pass,3535,3536,source_evidence/SOURCE_LINES_3532_3534_LATIN1_LF.tex,7F0D9E686076D85702CAA5E3E9F5216AC73B0EF78E271E88ACA58573C73BB18D,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-BOUNDARY-20260722@1,boundary_control,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,source envelope and cursors,3530-3536,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,proof3530;blank3531;remark3532-3534;blank3535;corollary3536,scope3532-3534;raw3535;substantive3536,boundary_cursor_pass,3535,3536,source_evidence/SOURCE_BOUNDARY_LINES3530_3536_LATIN1_LF.tex,50EDDFB359B8CF97E35C23C05DAD9058F1EFA64AFD1F7D79B3B60373B282E04D,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-TRANSLATION-20260722@1,translation_control,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,remark sentence,3533,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,retrospective proof statement and implication,faithful English without adjacent-unit material,translation_pass,3535,3536,build/SGA2_Expose_X_Remark_3_7_English_SourceAligned.tex,AF2A17669348B4B5B25C0F7DBC4476DAFBD5A1DD68A199C9AF97E16EA1314F0B,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-SHEAF-20260722@1,formula_symbol_control,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,structure-sheaf map,3533,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,O_X to i_* O_U is an isomorphism,source target arrow pushforward and assertion preserved,formula_role_pass,3535,3536,build/SGA2_Expose_X_Remark_3_7_English_SourceAligned.tex,AF2A17669348B4B5B25C0F7DBC4476DAFBD5A1DD68A199C9AF97E16EA1314F0B,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-CONNECTED-20260722@1,logical_control,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,connectedness biconditional,3533,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,X connected iff U connected,both objects and both directions preserved,biconditional_pass,3535,3536,build/SGA2_Expose_X_Remark_3_7_English_SourceAligned.tex,AF2A17669348B4B5B25C0F7DBC4476DAFBD5A1DD68A199C9AF97E16EA1314F0B,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-PI1-20260722@1,formula_symbol_control,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,fundamental-group map,3533,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,pi_1(U) to pi_1(X) is surjective,domain codomain direction subscripts and strength preserved,formula_role_pass,3535,3536,build/SGA2_Expose_X_Remark_3_7_English_SourceAligned.tex,AF2A17669348B4B5B25C0F7DBC4476DAFBD5A1DD68A199C9AF97E16EA1314F0B,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-LOCATORS-20260722@1,locator_control,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,numbering and page systems,3532-3534,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,label X.3.7;printed120;physical104;running96,visible Remark3.7;distinct locators retained,locator_numbering_pass,3535,3536,rendered_qa/SOURCE_PHYSICAL104_200DPI.png,0CBF631AC8F698115683A90439E57C357549A2AC7F76CD3BC3AAA7CFEC0165EE,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-COMPARISON-20260722@1,comparison_control,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,jcreinhold e7a259f,candidate383-390,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,one external English LLM lineage;comment original page96,comparison only;locator error rejected;choices source-checked,comparison_role_pass,3535,3536,source_evidence/JCREINHOLD_LINES383_390_UTF8_LF.md,806B8F540EE1B7D3DA5016B05C11A6BBA4FB74AFD6F6C3F799D45B7332317EEC,internal_not_for_release
SGA2-X-L3532-L3534-R37-INDEP-PRODUCER-MACHINE-20260722@1,machine_ledger_review,SGA2-X-L3532-L3534-R37-INDEP-20260722@1,1,,,,SGA2,X,producer CSV JSONL and manifest,3532-3534,rescribe3532-3534;printed120;physical104;running96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,38x22 CSV;38 JSONL;59 manifest rows,rectangular formula-safe unique IDs reference and hash closure,producer_machine_pass,3535,3536,producer_controls/PRODUCER_MACHINE_EVIDENCE.csv,3DC582CA12EF675D4A81191DD6D28C4EF45929188596AE85F4658D42ADF98488,internal_not_for_release
