check_id,paper,printed_page_or_band,locus,disposition,reason,status
NP-P04-118-STUDY,P04,118,Study citation,Preserve source Bd. 1 in German body; actual bibliographic vol. 10 remains apparatus only.,"original-print error, not transcription defect",checked-no-patch
NP-P04-126-FOOTNOTES,P04,126,lambda and epsilon notes,Formula-(7) lambda note and post-(8) epsilon note are both present and distinct.,no missing/duplicated content,checked-no-patch
NP-P04-129-ELLIPSIS,P04,129,prose after (16),Preserve source jump a^(i+1) to a^(rho) without inserted continuation ellipsis.,source-adverse omission documented,checked-no-patch
NP-P04-132-REL23,P04,132,relation (23),q_{rho-1}^{(1)} and both complete denominators/subscripts already match source.,no patch,checked-no-patch
NP-P04-132-PARTITION,P04,132,four-case partition,Retain R823 case 3 tau>sigma and case 4 tau>=sigma; print duplicates >= in both.,"coherent editorial delta, apparatus retained",checked-no-patch
NP-P04-133-EQ28,P04,133,equation (28),"Both full subscripts rho-(tau-sigma) and tau-(tau-sigma), with multi-index (sigma+1...tau), match source.",no patch,checked-no-patch
NP-P04-135-EQ35,P04,135,equation (35),Retain coherent R823 lambda/terminal -lambda reading; preserve source alpha/no-terminal-reading in apparatus.,coordinated editorial delta,checked-no-patch
NP-P04-137-38-39,P04,137,relations (38)-(39) and Satz IV,Formulae and Schlußausdrücke survive; current rho and equality remain under explicit source-adverse apparatus.,no silent reversion,checked-no-patch
NP-P04-142-EQ47,P04,142,equation (47),"Both transformation lines, primes, and full subscripts match source.",no patch,checked-no-patch
NP-P04-143-DOTS,P04,143,four dotted complementary symbols,One dotted q and three dotted p symbols remain present and source-correct.,survival control,checked-no-patch
NP-P04-143-BOUNDARY,P04,143,p143/p144 continuity,The next paragraph begins at source p143 bottom and continues p144; no p144 body was edited.,scope boundary,checked-no-patch
NP-P04-TRANSLATIONS,P04,118-143,downstream translations,No downstream translation reading was used as German-source authority.,negative control,checked-no-patch
