"paper","printed_page","source_pdf_page","validation_output_pages","formulas_or_structures","source_full_page","source_sha256","source_dimensions","source_inspection_assets","audit_depth","disposition","confirmed_fix_ids","no_patch_ids","adverse_source_ids","notes"
"P04","118","1","45","'-","02_source/P04/full_pages/P04_p118_source_native.jpg","8fb1916ef758166206f1b1507cef6da3b759b8ff06602b8a91a10e170a8ab842","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_apparatus-or-no-patch","","","SE-20260718-P04-PRINT-001","Study citation visually verified as source Bd. 1; bibliographic vol. 10 is apparatus only."
"P04","119","2","45","'-","02_source/P04/full_pages/P04_p119_source_native.jpg","0a1c98ddf72c4152b54efb30eac6d66be94a04934fb69e98fe30de4e9871f8b2","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","120","3","45","'-","02_source/P04/full_pages/P04_p120_source_native.jpg","a484bef5428795446883b695c37671460a421a053cb42bfb06e1b3b3e0bd5ee6","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","121","4","45-46","'-","02_source/P04/full_pages/P04_p121_source_native.jpg","3da2bc9fcb03b2577cf69fde0df75e1e4f882ff426104464df78d42b36ec01e0","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","122","5","46-47","(1)-(2)","02_source/P04/full_pages/P04_p122_source_native.jpg","7ce7ed7613941cb197e5d44eb7ed9e925b3c22434e9abb87a058846de13d307f","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","123","6","47","(3)-(6)","02_source/P04/full_pages/P04_p123_source_native.jpg","f8afbde9481ebe6de84643bd727c344c4714164944d16ff38cbf3889e31b0b1b","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","124","7","47-48","'-","02_source/P04/full_pages/P04_p124_source_native.jpg","32d377e6e0b69b4030dd8693a0be5031363797aee44699860ea227b616f2c78f","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","125","8","48","'-","02_source/P04/full_pages/P04_p125_source_native.jpg","329324ef6936a8363421c4c08b75a1bcf9346f3750a36d2f9ed95c20fd7aaf1a","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","126","9","48-49","(7)-(8)","02_source/P04/full_pages/P04_p126_source_native.jpg","ec698ec52bc98358065c32457de9590de3151956085bb80aa6d94385ffacc0b8","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-001","NP-P04-126-FOOTNOTES","","Formulae (7)-(8), sigma/tau endpoint, and the two distinct lambda/epsilon source footnotes independently reopened."
"P04","127","10","49","(9)-(12)","02_source/P04/full_pages/P04_p127_source_native.jpg","e8d8b96ed190ec2f8175f6680f4cc90c79d54538e6c435c186a8e4a38844e04e","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
