check_id,check,expected,observed,status,notes
SV-P04-001,input hash gate,B2E9757988DEE8B7C1809E9877787FD0665BB1B001B2ADAB6B678B6710518557,6AC8F355BF3BABD9610F52240D48BDE359284DB7D775E47C489ECADAC8B940D5,FAIL-MISMATCH,Do not replace live cumulative wholesale; use localized diff/evidence only.
SV-P04-002,validation XeLaTeX pass 1,exit 0,exit 0,PASS,Log bundled.
SV-P04-003,validation XeLaTeX pass 2,exit 0,exit 0,PASS,Log bundled.
SV-P04-004,validation cumulative page count,466,466,PASS,No page-count drift.
SV-P04-005,scope bounds,P04 pp118-143 only,diff hunks confined to P04 pp126-143; p144 control unchanged,PASS,Paper 2 and p144-154 untouched.
SV-P04-006,render control cumulative pp45-48,pixel-identical,pixel-identical,PASS,Early assigned pages with no patch remain unchanged.
SV-P04-007,render control cumulative p60,pixel-identical,pixel-identical,PASS,p144+ control page unchanged.
SV-P04-008,formula (23),q_{rho-1}^{(1)},survives,PASS,Independent source recheck.
SV-P04-009,equation (28) full subscripts,both complete,survive,PASS,Independent source recheck.
SV-P04-010,p137 Schlußausdrücke,compound,survives,PASS,No regression.
SV-P04-011,p143 dotted family,1 dotted q + 3 dotted p,survives,PASS,No regression.
SV-P04-012,source evidence density,26 full pages + 130 strips,present,PASS,Five source-only strips per assigned page.
