slice_page,cumulative_output_page,changed,pct_changed,bbox,control_or_reason
1,45,False,0.0,null,control unchanged
2,46,False,0.0,null,control unchanged
3,47,False,0.0,null,control unchanged
4,48,False,0.0,null,control unchanged
5,49,True,8.22340463653011e-05,"[851, 538, 866, 560]",source-backed localized patch/reflow
6,50,True,8.177463828504802e-05,"[198, 1384, 213, 1406]",source-backed localized patch/reflow
7,51,True,7.947759788378261e-05,"[714, 252, 729, 274]",source-backed localized patch/reflow
8,52,True,0.00016125223616883063,"[139, 90, 198, 112]",source-backed localized patch/reflow
9,53,True,0.010200237605859107,"[86, 142, 1157, 1568]",source-backed localized patch/reflow
10,54,True,0.009850168648706262,"[86, 176, 1154, 825]",source-backed localized patch/reflow
11,55,True,0.007000460326896414,"[154, 267, 1126, 318]",source-backed localized patch/reflow
12,56,False,0.0,null,control unchanged
13,57,True,0.022764129784620304,"[84, 622, 1157, 1672]",source-backed localized patch/reflow
14,58,True,0.00023797338557109477,"[508, 296, 702, 1423]",source-backed localized patch/reflow
15,59,True,0.0021109801287628968,"[264, 148, 883, 1073]",source-backed localized patch/reflow
16,60,False,0.0,null,control unchanged
