paper,formula_id,printed_page,validation_output_pages,status,fix_or_apparatus_ids,notes,numbering_layout_note
P04,(1.),122,46-47,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(2.),122,46-47,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(3.),123,47,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(4.),123,47,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(5.),123,47,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(6.),123,47,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(7.),126,48-49,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(8.),126,48-49,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(9.),127,49,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(10.),127,49,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(11.),127,49,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(12.),127,49,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(13.),128,49-50,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(14.),128,49-50,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(15.),128,49-50,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(16.),129,50-51,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(17.),130,51,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(18.),130,51,patched-exact-source-inequality-glyph,W04-P04-003,Endpoint remains rho<=n; double-stroke source glyph restored.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(19.),130,51,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(20.),131,51-52,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(21.),131,51-52,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(20a.),131,51-52,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(22.),132,52-53,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(23.),132,52-53,source-checked_no-formula-content-patch,none,"Independent enlargement confirms q_{rho-1}^{(1)}, not an i_1-family transcription.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(24.),132,52-53,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(25.),133,53-54,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(26.),133,53-54,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(27.),133,53-54,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(28.),133,53-54,source-checked_no-formula-content-patch,none,Independent enlargement confirms both full subscripts and the (sigma+1...tau) multi-index.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(29.),134,54,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(30.),134,54,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(31.),134,54,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(32.),134,54,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(33.),135,54-55,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(34.),135,54-55,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(35.),135,54-55,adverse-source_editorial-reading-retained,SE-20260718-P04-PRINT-R823-004,Source/R823 coordinated delta preserved in apparatus; no silent reversion.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(36.),135,54-55,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(37.),136,55,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(38.),136,55,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(39.),137,55-56,formula-source-checked; following-prose-editorial-delta-retained,SE-20260718-P04-PRINT-R823-006,Formula content retained; source identity/current equality in following condition remains apparatus-controlled.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(40.),139,56-57,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(41.),139,56-57,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(42.),139,56-57,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(43.),139,56-57,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(42a.),139,56-57,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(43a.),139,56-57,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(44.),140,57,patched-exact-source-inequality-glyphs,W04-P04-012,Both lambda upper bounds retain endpoints and source equality strokes.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(45.),140,57,patched-exact-source-inequality-glyph,W04-P04-012,sigma>=tau source glyph restored; operator and lambda range retained.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(46.),141,57-58,patched-exact-source-inequality-glyph,W04-P04-013,sigma>=tau source glyph restored; differential operator and lambda range retained.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(47.),142,58-59,source-checked_no-formula-content-patch,none,"Indices, exponents, primes/dots, operators, and displayed term structure checked against source.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(48.),142,58-59,patched-substantive-equation-structure,W04-P04-015;W04-P04-016,"Preceding definition restored to identity sign; second displayed line is an equality, not a multiplicative continuation.",Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(49.),142,58-59,patched-exact-source-chain-glyphs,W04-P04-017,All non-strict comparison strokes restored.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(50.),143,59,source-checked_no-formula-content-patch,none,Formula structure checked; subsequent proof retains one dotted q and three dotted p complementary symbols.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(51.),143,59,source-checked_no-formula-content-patch,none,Formula structure checked; subsequent proof retains one dotted q and three dotted p complementary symbols.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
P04,(52.),143,59,source-checked_no-formula-content-patch,none,Formula structure checked; subsequent proof retains one dotted q and three dotted p complementary symbols.,Source-left numbering was visually checked; this merge-only patch does not assert wholesale layout replacement against the unavailable B2 live head.
