fix_id,paper,printed_page,classification,validation_input_reading,source_backed_reading,action,source_anchor,validation_output_pages,description
W04-P04-001,P04,126,inequality equality-stroke fidelity,\sigma\geq\tau,\sigma\geqq\tau,patched in validation TeX and localized exact diff,P04_p126_source_native.jpg,48-49,The source uses the double-stroke non-strict sign in the Defekt-der-Faltung sentence.
W04-P04-002,P04,129,inequality endpoint glyph,\rho\leq n,\rho\leqq n,patched in validation TeX and localized exact diff,P04_p129_source_native.jpg,50-51,The endpoint is source-visible and mathematically controls the number of expressions.
W04-P04-003,P04,130,formula (18) inequality endpoint glyph,\rho_1+...+\rho_k\le n,\rho_1+...+\rho_k\leqq n,patched in validation TeX and localized exact diff,P04_p130_source_native.jpg,51,Exact source equality stroke restored.
W04-P04-004,P04,131,ordered-range equality strokes,\rho\le\tau\le\sigma,\rho\leqq\tau\leqq\sigma,patched in validation TeX and localized exact diff,P04_p131_source_native.jpg,51-52,Exact source non-strict ordered range restored.
W04-P04-005,P04,132,lexical compound boundary,"Schlu\ss{} ausdr\""ucken","Schlu\ss ausdr\""ucken",patched in validation TeX and localized exact diff,P04_p132_source_native.jpg,52-53,Source prints Schlußausdrücken as one compound.
W04-P04-006,P04,132,four-case partition equality strokes,\le/\ge normalized glyphs,\leqq/\geqq source glyphs,patched in validation TeX and localized exact diff,P04_p132_source_native.jpg,52-53,All non-strict boundaries restored; case 3 remains strict tau>sigma under the documented editorial ruling.
W04-P04-007,P04,132,relation-(23) continuation inequality glyph,\tau\le\sigma,\tau\leqq\sigma,patched in validation TeX and localized exact diff,P04_p132_source_native.jpg,52-53,Exact source equality stroke restored after independent relation-(23) collation.
W04-P04-008,P04,133,index-bound and continuation equality strokes,i_alpha\le tau; tau\le rho,i_alpha\leqq tau; tau\leqq rho,patched in validation TeX and localized exact diff,P04_p133_source_native.jpg,53-54,Exact source equality strokes restored.
W04-P04-009,P04,133,lexical compound boundary,two Schlu\ss{} ausdruck loci,two Schlu\ss ausdruck loci,patched in validation TeX and localized exact diff,P04_p133_source_native.jpg,53-54,Source prints Schlußausdruck as one compound in both loci.
W04-P04-010,P04,135,lexical compound boundary,two Schlu\ss{} ausdruck loci,two Schlu\ss ausdruck loci,patched in validation TeX and localized exact diff,P04_p135_source_native.jpg,54-55,Source prints both Schlußausdruck occurrences as compounds; equation (35) itself remains under apparatus.
W04-P04-011,P04,139,inequality equality-stroke fidelity,\sigma\ge\tau,\sigma\geqq\tau,patched in validation TeX and localized exact diff,P04_p139_source_native.jpg,56-57,Exact source non-strict sign restored before formulas (41)-(43).
W04-P04-012,P04,140,formulae (44)-(45) equality strokes,\lambda\le...; \sigma\ge\tau,\lambda\leqq...; \sigma\geqq\tau,patched in validation TeX and localized exact diff,P04_p140_source_native.jpg,57,Exact source inequality strokes restored.
W04-P04-013,P04,141,formula (46) equality stroke,\sigma\ge\tau,\sigma\geqq\tau,patched in validation TeX and localized exact diff,P04_p141_source_native.jpg,57-58,Exact source non-strict sign restored.
W04-P04-014,P04,142,series-range endpoint glyph,\rho\le n,\rho\leqq n,patched in validation TeX and localized exact diff,P04_p142_source_native.jpg,58-59,Existing endpoint retained and exact source equality stroke restored.
W04-P04-015,P04,142,identity operator before formula (48),f=...,f\equiv...,patched in validation TeX and localized exact diff,P04_p142_source_native.jpg,58-59,The source uses the identity sign for the defining form family.
W04-P04-016,P04,142,formula (48) altered equation structure,second line joined by \cdot,second line begins with =,patched in validation TeX and localized exact diff,P04_p142_source_native.jpg,58-59,"The print has two alternative equal expressions for (f), not multiplication of the two displayed lines."
W04-P04-017,P04,142,formula (49) chain equality strokes,k_1\ge k_2\ge...\ge k_n,k_1\geqq k_2\geqq...\geqq k_n,patched in validation TeX and localized exact diff,P04_p142_source_native.jpg,58-59,Exact source chain notation restored.
W04-P04-018,P04,143,differential-proof range equality stroke,\sigma\ge\tau,\sigma\geqq\tau,patched in validation TeX and localized exact diff,P04_p143_source_native.jpg,59,Exact source non-strict sign restored; dotted complementary-symbol family retained.
