"extension","count","total_bytes","source_use_labels_seen"
".bin","5","3749944","rejected"
".csv","8","237145","audit-ledger; generated-draft; manifest; pointer-only"
".doc","1","322560","native-source-body"
".dtx","1","20278","native-source-body"
".html","29","4354486","native-source-body; pointer-only"
".json","19","473","pointer-only"
".md","9","34887","generated-draft; method-note; pointer-only"
".pdf","30","165896870","native-source-body"
".tex","1","29369","native-source-body"
".txt","129","5506337","native-source-body; OCR-witness; pointer-only; rejected"
".xml","4","3724","pointer-only"
