"package_relative_path","original_relative_path","original_absolute_path","bucket","witness_class","source_type_or_extension","size_bytes","sha256","matched_source_url_or_locator","matched_license_or_access_signal","matched_topic_language_tags","matched_rtl_or_script_note","matched_status_or_gap_note","matched_evidence_ledgers","package_note","language_boundary","non_claim_boundary"
"source-bodies/pdf/20260705T013500Z_arabic_source_canon_heartbeat/downloads/jmilne_gt_arabic.pdf","20260705T013500Z_arabic_source_canon_heartbeat/downloads/jmilne_gt_arabic.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\jmilne_gt_arabic.pdf","source-bodies/pdf","literal_source_body_pdf",".pdf","1180346","77B97DF62856083FF960790EA6CEA27E5AD6927241D5F87751B376C8F644A904","https://www.jmilne.org/math/CourseNotes/gt.html","Live HEAD returned application/pdf, Content-Length 1180346, Last-Modified 2009-12-13; English course page lists an Arabic translation and related source-license signals. Signal only, no clearance claim.","Arabic;group theory;representations;fields;rings;homomorphism;isomorphism","Arabic RTL PDF witness revalidated; still not a TeX/source package and not native review.","revalidated_existing_witness","NOETHER_ARABIC_RTL_SOURCE_CANON_HEARTBEAT_PROBE_20260705.csv","PDF body copied as downloaded source witness.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"provenance/html/20260705T013500Z_arabic_source_canon_heartbeat/downloads/jmilne_gt_metadata.html","20260705T013500Z_arabic_source_canon_heartbeat/downloads/jmilne_gt_metadata.html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\jmilne_gt_metadata.html","provenance/html","provenance_or_metadata_html",".html","5153","F0D1E0661D3538A2B23FC9188E265BB2A4E65AAFF24658746E3EE35B8C073F9B","","","","","","","HTML kept as provenance, metadata, article page, or access evidence; not counted as native reviewed source body.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"provenance/other/20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_first20.txt","20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_first20.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_first20.txt","provenance/other","text_provenance_witness",".txt","52760","44222AFFCDB16C842DBB1DC22B200F7FD60BC96D63E09B3A1B68E9E3FEBD4A05","","","","","","","Text witness retained outside source-body bucket pending human/source review.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"provenance/other/20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_first40.txt","20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_first40.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_first40.txt","provenance/other","text_provenance_witness",".txt","111839","B69465179C330F50FFA238E665DC69C42C85D7A58F66A83CF2D313E5C5B53E9D","","","","","","","Text witness retained outside source-body bucket pending human/source review.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"provenance/other/20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_first80.txt","20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_first80.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_first80.txt","provenance/other","text_provenance_witness",".txt","239309","2FCBFB414E46229A8742FE869C228FEF9EA5AD6D4357E3100108F24261387497","local derived artifact only","Derived from the hashed OMU PDF; not a separate license surface.","Arabic;RTL extraction;group theory;rings;homomorphisms;modern algebra","Text extraction preserves enough Arabic topic evidence for TOC checks but is not typography-safe; do not use as canonical OCR or TeX/PDF layout proof.","derived_support_artifact","NOETHER_ARABIC_RTL_SOURCE_CANON_HEARTBEAT_PROBE_20260705.csv","Text witness retained outside source-body bucket pending human/source review.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"provenance/html/20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_metadata.html","20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45_metadata.html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45_metadata.html","provenance/html","provenance_or_metadata_html",".html","25667","230538B261E8FC3DA2E83A137D6686E6A3AB478C067D1375D8A669415015584D","https://omu.edu.ly/books/index.php/omup/catalog/download/45/31/96?inline=1","Metadata page declares Arabic language, ISBN 978-9959-79-074-3, published 2022-08-01, and CC BY-NC-ND 4.0 URL; signal only, no license-clearance claim.","Arabic;modern algebra;groups;rings;fields;modules;matrices;inner-product spaces;book metadata","Arabic RTL HTML metadata; source rows only, no TeX/PDF rendering approval.","active_new_metadata_witness","NOETHER_ARABIC_RTL_SOURCE_CANON_HEARTBEAT_PROBE_20260705.csv","HTML kept as provenance, metadata, article page, or access evidence; not counted as native reviewed source body.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"source-bodies/pdf/20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45.pdf","20260705T013500Z_arabic_source_canon_heartbeat/downloads/omu_modern_algebra_book45.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T013500Z_arabic_source_canon_heartbeat\downloads\omu_modern_algebra_book45.pdf","source-bodies/pdf","literal_source_body_pdf",".pdf","19319449","E60FD267AED80573F506683C47E9E2F6ED9C36DDE8809446C137DD5D1FC7188E","https://omu.edu.ly/books/index.php/omup/catalog/book/45","PDF/open-access page carries CC BY-NC-ND 4.0 signal; attribution and no-derivatives/noncommercial terms require B3 review before any body reuse.","Arabic;modern algebra;set theory;groups;quotient groups;homomorphisms;rings;ideals;fields;modules;matrices;linear algebra adjacent","Arabic RTL PDF text extract was readable enough for table-of-contents checks; keep formula-neighboring and bidi rendering as future PDF QA, not solved here.","active_new_pdf_fallback_witness","NOETHER_ARABIC_RTL_SOURCE_CANON_HEARTBEAT_PROBE_20260705.csv","PDF body copied as downloaded source witness.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"source-bodies/native-text/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/جبر_خطي_oldid_75057716.wiki.txt","20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/جبر_خطي_oldid_75057716.wiki.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T023000Z_arabic_mediawiki_source_text_probe\downloads\جبر_خطي_oldid_75057716.wiki.txt","source-bodies/native-text","native_mediawiki_source_text",".txt","22214","3762E086A6268F425014603D2E31867CB8B2A566F4AA1D9559D511E9B8173103","https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic;linear algebra;vector spaces;linear maps;systems of equations","Arabic RTL wikitext; provenance only.","revalidated_existing_witness","NOETHER_ARABIC_RTL_MEDIAWIKI_SOURCE_TEXT_PROBE_20260705.csv","Raw wiki source text copied as native text witness, not OCR.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"source-bodies/native-text/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/جبر_مجرد_oldid_75057721.wiki.txt","20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/جبر_مجرد_oldid_75057721.wiki.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T023000Z_arabic_mediawiki_source_text_probe\downloads\جبر_مجرد_oldid_75057721.wiki.txt","source-bodies/native-text","native_mediawiki_source_text",".txt","4024","663C75B6560B85A8C41EDF6429B2310A9E4CA25FEBCE6294904CF33C4A28005D","https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D8%B1_%D9%85%D8%AC%D8%B1%D8%AF","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic;abstract algebra;groups;rings;fields;modern algebra","Arabic RTL wikitext; provenance only.","active_raw_text_witness","NOETHER_ARABIC_RTL_MEDIAWIKI_SOURCE_TEXT_PROBE_20260705.csv","Raw wiki source text copied as native text witness, not OCR.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
"source-bodies/native-text/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/حقل__رياضيات__oldid_75116379.wiki.txt","20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/حقل__رياضيات__oldid_75116379.wiki.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\sources\non_slavic_reference_corpus\20260705T023000Z_arabic_mediawiki_source_text_probe\downloads\حقل__رياضيات__oldid_75116379.wiki.txt","source-bodies/native-text","native_mediawiki_source_text",".txt","27673","8D1508EE0DA4DEC0962F8BADA8ED9088CA04BDA550686647F922A5F4C618089D","https://ar.wikipedia.org/wiki/%D8%AD%D9%82%D9%84_%28%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA%29","Wikimedia raw text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only, no clearance claim.","Arabic;field;abstract algebra;number theory;finite fields adjacent","Arabic RTL wikitext with math tags; provenance only.","active_raw_text_witness","NOETHER_ARABIC_RTL_MEDIAWIKI_SOURCE_TEXT_PROBE_20260705.csv","Raw wiki source text copied as native text witness, not OCR.","Arabic only; does not cover Persian, Persianate, or Tajik rows.","Source-body/provenance package only; no native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, or translation completion claim."
