"package_relative_path","source_use_label","role_summary","language_boundary","non_claim_boundary"
"extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/damascus_algebraic_structures_2_ring_theory.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/ksu_group_theory_course_spec.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/uotelafer_group_theory_lectures.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T043000Z_arabic_damascus_linear_algebra_probe/downloads/damascus_linear_algebra_1.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T043000Z_arabic_damascus_linear_algebra_probe/downloads/damascus_linear_algebra_statistics_probability.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/mustansiriyah_abstract_algebra_principles.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/syriamath_algebraic_structures_3_modules.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/uobasrah_crossed_modules_thesis_abstract_2010.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T054700Z_arabic_hiast_algebra_shelf_probe/downloads/hiast_algebra_I_abstract_algebra.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T054700Z_arabic_hiast_algebra_shelf_probe/downloads/hiast_algebra_II_linear_algebra.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_cayley_hamilton_pdf.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_prufer_ring_pdf.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T070300Z_arabic_fezzan_shamra_matrix_invariant_probe/downloads/fezzan_matrix_pdf.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T070300Z_arabic_fezzan_shamra_matrix_invariant_probe/downloads/fezzan_public_rights_file_52.first5.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_what_is_the_use.fulltext.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/damascus_module_representation_pdf.textcheck.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
"extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/ens_kouba_alg411.textcheck.txt","OCR-witness","extracted/OCR/string-check witness kept separate from native bodies","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","No native review, accepted terminology, license clearance, gate promotion, reviewer-packet population, source certification, or translation completion claim."
