"bucket","witness_class","count","bytes"
"extracted-ocr-witnesses","extracted/OCR/string-check witness kept separate from native bodies","30","4852600"
"generated-draft","generated non-canonical Arabic draft support kept outside source bodies","3","29260"
"LOGBOOK.md","method, README, logbook, or package note","1","8106"
"logs","method, README, logbook, or package note","1","4868"
"provenance/download-probes-and-blockers","failed/ambiguous download or rejected binary evidence; not source body","7","3752873"
"provenance/download-probes-and-blockers","provenance, pointer, header, metadata, stderr/progress, or access evidence; not source body","37","19399"
"provenance/html","provenance, pointer, header, metadata, stderr/progress, or access evidence; not source body","23","4078139"
"provenance/http-headers","provenance, pointer, header, metadata, stderr/progress, or access evidence; not source body","14","25012"
"provenance/other","provenance, pointer, header, metadata, stderr/progress, or access evidence; not source body","11","407118"
"provenance/search-results","provenance, pointer, header, metadata, stderr/progress, or access evidence; not source body","10","4158"
"provenance/source-recovery-round3","provenance, pointer, header, metadata, stderr/progress, or access evidence; not source body","44","274849"
"README.md","method, README, logbook, or package note","1","3861"
"ROUND2_SOURCE_CANON_LEDGER_20260705.csv","audit, source-canon, source-recovery, or source-use support ledger","1","9819"
"ROUND2_SOURCE_CANON_LEDGER_20260705.md","method, README, logbook, or package note","1","4226"
"ROUND3_ARABIC_ALGEBRA_TEX_SOURCE_RECOVERY_LEDGER_20260705.csv","audit, source-canon, source-recovery, or source-use support ledger","1","11677"
"ROUND3_ARABIC_ALGEBRA_TEX_SOURCE_RECOVERY_LEDGER_20260705.md","method, README, logbook, or package note","1","1811"
"SOURCE_WITNESS_MANIFEST.csv","manifest/checksum/source-witness inventory support","1","179867"
"source-bodies/doc","literal Arabic technical/mathematical source body or Arabic math TeX/rendering source","1","322560"
"source-bodies/native-html","literal Arabic technical/mathematical source body or Arabic math TeX/rendering source","1","23862"
"source-bodies/native-tex","literal Arabic technical/mathematical source body or Arabic math TeX/rendering source","2","49647"
"source-bodies/native-text","literal Arabic technical/mathematical source body or Arabic math TeX/rendering source","15","195491"
"source-bodies/pdf","literal Arabic technical/mathematical source body or Arabic math TeX/rendering source","30","165896870"
