layer	printed_page	s03_text_sha256	s04_text_sha256	text_equal	pixels_equal	expected_source_backed_revision	result
fr	65	DC77ECE60BC86E13FC2524F4405F7C383AF0026889169CFF2FD1836AC1C1D3CD	DC77ECE60BC86E13FC2524F4405F7C383AF0026889169CFF2FD1836AC1C1D3CD	True	False	True	SOURCE_BACKED_REVISION
fr	66	E848FA2BDCE682374CCA39123329F565D1251FEE9FF6083421715F3814F6DFD7	E848FA2BDCE682374CCA39123329F565D1251FEE9FF6083421715F3814F6DFD7	True	True	False	EXACT_UNCHANGED_PAGE
fr	67	E851FDB15401DBB9BC9957CF49E4ACBF6867C540DD6D2E321FDB494E0C5E11F5	E851FDB15401DBB9BC9957CF49E4ACBF6867C540DD6D2E321FDB494E0C5E11F5	True	True	False	EXACT_UNCHANGED_PAGE
fr	68	90EA11E86EB383108711EB123B44013A283052134117636494A5092AA189F9FA	90EA11E86EB383108711EB123B44013A283052134117636494A5092AA189F9FA	True	True	False	EXACT_UNCHANGED_PAGE
fr	69	E799069ED67AD2632C966031AE9B4C84203A953FB9DF3308B72F272619127819	E799069ED67AD2632C966031AE9B4C84203A953FB9DF3308B72F272619127819	True	True	False	EXACT_UNCHANGED_PAGE
fr	70	25D74D93A2890EA1F19D61C6413A87E6547BF4C57845D594E0D6AD6DB9EC35F7	25D74D93A2890EA1F19D61C6413A87E6547BF4C57845D594E0D6AD6DB9EC35F7	True	True	False	EXACT_UNCHANGED_PAGE
fr	71	AC454B29D5C94770A4C4BB4A3E4AFB2EEE2A31346CC0D6A149C9B0803830FE61	AC454B29D5C94770A4C4BB4A3E4AFB2EEE2A31346CC0D6A149C9B0803830FE61	True	True	False	EXACT_UNCHANGED_PAGE
fr	72	DF3E636D886125D563806B8FA4AB6C0F7AB03BABD26954441E3AF26FDD3F318F	90C845DE6F8947B4A9A5A2CE0F7ACF53FFC7F4BB1C0ED7AA54CA630C9B60CE71	False	False	True	SOURCE_BACKED_REVISION
fr	73	42F95FBB8FB261C8870E5C43BFB9D8A30CE62C7262360DD84D4D6C550BB8F14A	CB90F807D0CC6BFB3098328FE1CC0C18C259BD944286A454C7491B0F52329881	False	False	True	SOURCE_BACKED_REVISION
fr	74	AE6EDAC104BEFD57B889941618D8D79304933CF85C64B33953383673F885FFC7	AE6EDAC104BEFD57B889941618D8D79304933CF85C64B33953383673F885FFC7	True	True	False	EXACT_UNCHANGED_PAGE
fr	75	50000AD6E9DACD1DA13DD7CFDB4F493056173D9328F4F09312D709905564EC8B	50000AD6E9DACD1DA13DD7CFDB4F493056173D9328F4F09312D709905564EC8B	True	True	False	EXACT_UNCHANGED_PAGE
fr	76	3A26C1AB478735A2DB1A9A149C5DFB94B16A09E78759A23FFD9EC870B2F29A9E	3A26C1AB478735A2DB1A9A149C5DFB94B16A09E78759A23FFD9EC870B2F29A9E	True	True	False	EXACT_UNCHANGED_PAGE
fr	77	FB9E72081D3C2B86BAF65EAF90514C8BFEE7B10D4D5C376DA8018115979CA283	FB9E72081D3C2B86BAF65EAF90514C8BFEE7B10D4D5C376DA8018115979CA283	True	True	False	EXACT_UNCHANGED_PAGE
fr	78	90152F5E596CC26E77D641B520D919E5192D8F1D7B08C41DA81856E3E508B87C	90152F5E596CC26E77D641B520D919E5192D8F1D7B08C41DA81856E3E508B87C	True	True	False	EXACT_UNCHANGED_PAGE
