printed_page	unit_id	fr_structure	en_structure	fr_tex_lines	en_tex_lines	math_segments	manual_structural_review
65	p065.title	heading	heading	3-8	3-8	0	The single paragraph retains all claims: announcement, unpublished memoir, two theorems, motive for proof, comparison of methods, general quartic and projected definitions. No omitted assertion.
65	p065.u01	paragraph-start	paragraph-start	10-33	10-32	3	The single paragraph retains all claims: announcement, unpublished memoir, two theorems, motive for proof, comparison of methods, general quartic and projected definitions. No omitted assertion.
65	p065.rule	terminal-rule	terminal-rule	35-35	34-34	0	The single paragraph retains all claims: announcement, unpublished memoir, two theorems, motive for proof, comparison of methods, general quartic and projected definitions. No omitted assertion.
66	p066.section	heading	heading	3-3	3-3	0	Definition, prime-factor reduction, quadratic prerequisite, 4n+3 case, Euler-style criterion and product-theorem setup all correspond completely. False general converse remains translated literally.
66	p066.u01	paragraph-start	paragraph-start	5-7	5-7	5	Definition, prime-factor reduction, quadratic prerequisite, 4n+3 case, Euler-style criterion and product-theorem setup all correspond completely. False general converse remains translated literally.
66	p066.u02	paragraph-start	paragraph-start	9-16	9-15	10	Definition, prime-factor reduction, quadratic prerequisite, 4n+3 case, Euler-style criterion and product-theorem setup all correspond completely. False general converse remains translated literally.
66	p066.u03	paragraph-start	paragraph-start	18-26	17-24	7	Definition, prime-factor reduction, quadratic prerequisite, 4n+3 case, Euler-style criterion and product-theorem setup all correspond completely. False general converse remains translated literally.
66	p066.u04	paragraph-start	paragraph-start	28-33	26-32	9	Definition, prime-factor reduction, quadratic prerequisite, 4n+3 case, Euler-style criterion and product-theorem setup all correspond completely. False general converse remains translated literally.
66	p066.u05	paragraph-start	paragraph-start	35-39	34-39	8	Definition, prime-factor reduction, quadratic prerequisite, 4n+3 case, Euler-style criterion and product-theorem setup all correspond completely. False general converse remains translated literally.
66	p066.u06	paragraph-start	paragraph-start	41-48	41-48	10	Definition, prime-factor reduction, quadratic prerequisite, 4n+3 case, Euler-style criterion and product-theorem setup all correspond completely. False general converse remains translated literally.
67	p067.u01	paragraph-start	paragraph-start	3-8	3-8	10	Product cases, specialization A′=−1, residue-class restriction, representation p=t²+2u², factorization with repeated odd primes, Legendre definition and reciprocity all correspond. Sentence continues on68.
67	p067.u02	paragraph-start	paragraph-start	10-15	10-15	10	Product cases, specialization A′=−1, residue-class restriction, representation p=t²+2u², factorization with repeated odd primes, Legendre definition and reciprocity all correspond. Sentence continues on68.
67	p067.section	heading	heading	17-17	17-17	0	Product cases, specialization A′=−1, residue-class restriction, representation p=t²+2u², factorization with repeated odd primes, Legendre definition and reciprocity all correspond. Sentence continues on68.
67	p067.u03	paragraph-start; continues through p.68 and p.69	paragraph-start; continues through p.68 and p.69	19-39	19-39	35	Product cases, specialization A′=−1, residue-class restriction, representation p=t²+2u², factorization with repeated odd primes, Legendre definition and reciprocity all correspond. Sentence continues on68.
68	p068.u01	continuation of p067.u03	continuation of p067.u03	3-13	3-13	8	Each of the two factor classes, their defining residues, comparison of both rows and reciprocal reversal is present in the correct order. EN correction restores «If one now compares … will find».
68	p068.u02	continuation	continuation	15-29	15-30	16	Each of the two factor classes, their defining residues, comparison of both rows and reciprocal reversal is present in the correct order. EN correction restores «If one now compares … will find».
68	p068.u03	continuation	continuation	31-37	32-38	1	Each of the two factor classes, their defining residues, comparison of both rows and reciprocal reversal is present in the correct order. EN correction restores «If one now compares … will find».
68	p068.u04	continuation	continuation	39-45	40-46	1	Each of the two factor classes, their defining residues, comparison of both rows and reciprocal reversal is present in the correct order. EN correction restores «If one now compares … will find».
68	p068.u05	continuation	continuation	47-53	48-54	1	Each of the two factor classes, their defining residues, comparison of both rows and reciprocal reversal is present in the correct order. EN correction restores «If one now compares … will find».
69	p069.u01	continuation of p067.u03	continuation of p067.u03	3-18	3-18	13	English retains upper/lower sign tied to even/odd factor counts, both residue-class pairs, the even exponent reason, ±2 justification, first/second theorem distinction and final assumption4|ψ.
69	p069.u02	continuation	continuation	20-34	20-35	12	English retains upper/lower sign tied to even/odd factor counts, both residue-class pairs, the even exponent reason, ±2 justification, first/second theorem distinction and final assumption4|ψ.
69	p069.u03	paragraph-start	paragraph-start	36-40	37-40	10	English retains upper/lower sign tied to even/odd factor counts, both residue-class pairs, the even exponent reason, ±2 justification, first/second theorem distinction and final assumption4|ψ.
69	p069.u04	paragraph-start	paragraph-start	42-46	42-46	1	English retains upper/lower sign tied to even/odd factor counts, both residue-class pairs, the even exponent reason, ±2 justification, first/second theorem distinction and final assumption4|ψ.
69	p069.u05	paragraph-start	paragraph-start	48-50	48-50	4	English retains upper/lower sign tied to even/odd factor counts, both residue-class pairs, the even exponent reason, ±2 justification, first/second theorem distinction and final assumption4|ψ.
70	p070.u01	paragraph-start	paragraph-start	3-11	3-11	2	Full gcd normalization, construction of E,F,K,L, possible negative L, common-divisor contradiction, coprime-square argument and ψ residue-class conclusion are present without silent mathematical repair.
70	p070.u02	paragraph-start	paragraph-start	13-19	13-19	7	Full gcd normalization, construction of E,F,K,L, possible negative L, common-divisor contradiction, coprime-square argument and ψ residue-class conclusion are present without silent mathematical repair.
70	p070.u03	continuation	continuation	21-30	21-30	10	Full gcd normalization, construction of E,F,K,L, possible negative L, common-divisor contradiction, coprime-square argument and ψ residue-class conclusion are present without silent mathematical repair.
70	p070.u04	continuation	continuation	32-39	32-39	22	Full gcd normalization, construction of E,F,K,L, possible negative L, common-divisor contradiction, coprime-square argument and ψ residue-class conclusion are present without silent mathematical repair.
70	p070.u05	paragraph-start	paragraph-start	41-51	41-51	24	Full gcd normalization, construction of E,F,K,L, possible negative L, common-divisor contradiction, coprime-square argument and ψ residue-class conclusion are present without silent mathematical repair.
70	p070.u06	paragraph-start	paragraph-start	53-56	53-56	10	Full gcd normalization, construction of E,F,K,L, possible negative L, common-divisor contradiction, coprime-square argument and ψ residue-class conclusion are present without silent mathematical repair.
71	p071.u01	paragraph-start	paragraph-start	3-6	3-6	2	Every statement in the third theorem and the general setup is present. Footnote fully corresponds: even t to odd t′, least r,s, auxiliary ±2 equation, r formula, parity and full signed norm-product argument.
71	p071.u02	paragraph-start	paragraph-start	8-11	8-11	8	Every statement in the third theorem and the general setup is present. Footnote fully corresponds: even t to odd t′, least r,s, auxiliary ±2 equation, r formula, parity and full signed norm-product argument.
71	p071.u03	paragraph-start	paragraph-start	13-18	13-17	0	Every statement in the third theorem and the general setup is present. Footnote fully corresponds: even t to odd t′, least r,s, auxiliary ±2 equation, r formula, parity and full signed norm-product argument.
71	p071.section	heading	heading	20-20	19-19	0	Every statement in the third theorem and the general setup is present. Footnote fully corresponds: even t to odd t′, least r,s, auxiliary ±2 equation, r formula, parity and full signed norm-product argument.
71	p071.u04	paragraph-start; note anchor after impair	paragraph-start; note anchor after odd	22-43	21-41	44	Every statement in the third theorem and the general setup is present. Footnote fully corresponds: even t to odd t′, least r,s, auxiliary ±2 equation, r formula, parity and full signed norm-product argument.
71	p071.u05	continuation	continuation	45-48	43-46	3	Every statement in the third theorem and the general setup is present. Footnote fully corresponds: even t to odd t′, least r,s, auxiliary ±2 equation, r formula, parity and full signed norm-product argument.
71	p071.u06	continuation to p.72	continuation to p.72	50-50	48-48	1	Every statement in the third theorem and the general setup is present. Footnote fully corresponds: even t to odd t′, least r,s, auxiliary ±2 equation, r formula, parity and full signed norm-product argument.
72	p072.u01	continuation of p071.u06	continuation of p071.u06	3-7	3-7	1	All classifications, comparison steps, reciprocity and factor-count sign rule retained in order. Last sentence explicitly continues into73.
72	p072.u02	continuation	continuation	9-14	9-14	6	All classifications, comparison steps, reciprocity and factor-count sign rule retained in order. Last sentence explicitly continues into73.
72	p072.u03	continuation	continuation	16-20	16-20	5	All classifications, comparison steps, reciprocity and factor-count sign rule retained in order. Last sentence explicitly continues into73.
72	p072.u04	continuation	continuation	22-32	22-32	4	All classifications, comparison steps, reciprocity and factor-count sign rule retained in order. Last sentence explicitly continues into73.
72	p072.u05	continuation	continuation	34-40	34-40	1	All classifications, comparison steps, reciprocity and factor-count sign rule retained in order. Last sentence explicitly continues into73.
72	p072.u06	continuation	continuation	42-48	42-48	1	All classifications, comparison steps, reciprocity and factor-count sign rule retained in order. Last sentence explicitly continues into73.
72	p072.u07	continuation to p.73	continuation to p.73	50-56	50-56	9	All classifications, comparison steps, reciprocity and factor-count sign rule retained in order. Last sentence explicitly continues into73.
73	p073.u01	continuation of p072.u07	continuation of p072.u07	3-14	3-14	6	Both p mod8 cases and ν=1 argument retain every step and assumption. Power-of-two characterization remains as printed, not supplied with unprinted wording. Last substitution continues on74.
73	p073.u02	paragraph-start	paragraph-start	16-21	16-21	1	Both p mod8 cases and ν=1 argument retain every step and assumption. Power-of-two characterization remains as printed, not supplied with unprinted wording. Last substitution continues on74.
73	p073.u03	continuation	continuation	23-31	23-30	4	Both p mod8 cases and ν=1 argument retain every step and assumption. Power-of-two characterization remains as printed, not supplied with unprinted wording. Last substitution continues on74.
73	p073.u04	continuation	continuation	33-43	32-43	26	Both p mod8 cases and ν=1 argument retain every step and assumption. Power-of-two characterization remains as printed, not supplied with unprinted wording. Last substitution continues on74.
74	p074.u01	continuation of p073.u04	continuation of p073.u04	3-11	3-11	7	The theorem distinguishes quadracity modulo b from modulo p; both are translated correctly. Faster criterion setup, evenψ assumption, last-case-first order, gcd properties and E,F,K,L introductions all correspond. Seam74/75 awaits next source page, not a new title.
74	p074.u02	paragraph-start	paragraph-start	13-18	13-17	11	The theorem distinguishes quadracity modulo b from modulo p; both are translated correctly. Faster criterion setup, evenψ assumption, last-case-first order, gcd properties and E,F,K,L introductions all correspond. Seam74/75 awaits next source page, not a new title.
74	p074.section	heading	heading	20-20	19-19	0	The theorem distinguishes quadracity modulo b from modulo p; both are translated correctly. Faster criterion setup, evenψ assumption, last-case-first order, gcd properties and E,F,K,L introductions all correspond. Seam74/75 awaits next source page, not a new title.
74	p074.u03	paragraph-start	paragraph-start	22-34	21-33	7	The theorem distinguishes quadracity modulo b from modulo p; both are translated correctly. Faster criterion setup, evenψ assumption, last-case-first order, gcd properties and E,F,K,L introductions all correspond. Seam74/75 awaits next source page, not a new title.
74	p074.u04	continuation	continuation	36-43	35-42	10	The theorem distinguishes quadracity modulo b from modulo p; both are translated correctly. Faster criterion setup, evenψ assumption, last-case-first order, gcd properties and E,F,K,L introductions all correspond. Seam74/75 awaits next source page, not a new title.
74	p074.u05	continuation; section 4 continues on p.75, not produced in S01	continuation; section 4 continues on p.75, not produced in S01	45-54	44-53	9	The theorem distinguishes quadracity modulo b from modulo p; both are translated correctly. Faster criterion setup, evenψ assumption, last-case-first order, gcd properties and E,F,K,L introductions all correspond. Seam74/75 awaits next source page, not a new title.
75	p075.r28.par.001	continuation; R28 par.001 visually replayed	continuation; R28 par.001 visually replayed	3-13	3-13	24	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.eq.001	continuation; R28 eq.001 visually replayed	continuation; R28 eq.001 visually replayed	15-17	15-17	1	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.par.002	continuation; R28 par.002 visually replayed	continuation; R28 par.002 visually replayed	19-20	19-20	2	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.eq.002	continuation; R28 eq.002 visually replayed	continuation; R28 eq.002 visually replayed	22-24	22-24	1	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.par.003	continuation; R28 par.003 visually replayed	continuation; R28 par.003 visually replayed	26-31	26-31	5	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.eq.003	continuation; R28 eq.003 visually replayed	continuation; R28 eq.003 visually replayed	33-36	33-36	1	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.eq.004	continuation; R28 eq.004 visually replayed	continuation; R28 eq.004 visually replayed	38-40	38-40	1	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.par.004	continuation; R28 par.004 visually replayed	continuation; R28 par.004 visually replayed	42-46	42-46	8	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
75	p075.r28.eq.005	continuation; R28 eq.005 visually replayed	continuation; R28 eq.005 visually replayed	48-51	48-51	1	Every gcd/parity explanation and repeated supposition corresponds; two ordinary squares lead to E/F symbols, reciprocity gives K/L symbols, and the final case keeps opposite paired signs. Citation197 retained.
76	p076.r28.par.005	continuation; R28 par.005 visually replayed	continuation; R28 par.005 visually replayed	3-10	3-10	12	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.eq.006	continuation; R28 eq.006 visually replayed	continuation; R28 eq.006 visually replayed	12-14	12-14	1	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.par.006	continuation; R28 par.006 visually replayed	continuation; R28 par.006 visually replayed	16-19	16-19	6	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.eq.007	continuation; R28 eq.007 visually replayed	continuation; R28 eq.007 visually replayed	21-26	21-26	7	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.eq.008	continuation; R28 eq.008 visually replayed	continuation; R28 eq.008 visually replayed	28-30	28-30	1	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.par.007	continuation; R28 par.007 visually replayed	continuation; R28 par.007 visually replayed	32-33	32-33	1	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
