printed_seam	authority_pdf_pages	scope_leaves	manual_observation	source_images	result	fr_ending_tex	fr_opening_tex	en_ending_tex	en_opening_tex
65/66	82/83	3/4	Introduction closes before its rule; section1 begins at p66, without merging title/blank copy matter into prose.	qa/s04/source/p065_authority.png;qa/s04/source/p066_authority.png	MANUALLY_RECHECKED	poser quelques définitions et par énoncer quelques théorèmes très faciles à établir et sur lesquels nous aurons à nous appuyer dans la suite. \par\vspace{7pt}\centerline{\rule{46mm}{0.25pt}}	\sectionnumber{1} \par\indent „Si l'on peut attribuer à l'indéterminée $x$ une valeur telle que $x^4-A$	setting down some definitions and by stating some theorems very easy to establish and on which we shall have to rely in what follows. \par\vspace{7pt}\centerline{\rule{46mm}{0.25pt}}	\sectionnumber{1} \par\indent “If one can assign to the indeterminate $x$ a value such that $x^4-A$ becomes
66/67	83/84	4/5	Quadratic-residue assumptions for A,A-prime,p are followed by the next quoted multiplication proposition; no invented connective sentence.	qa/s04/source/p066_authority.png;qa/s04/source/p067_authority.png	MANUALLY_RECHECKED	dans tout ce qui suivra, que $p$ soit un nombre premier $4n+1$, et que $A$ et $A'$ désignent des nombres non-divisibles par $p$ et qui sont l'un et l'autre des résidus quadratiques par rapport à $p$.	\par\indent „Si les nombres $A$ et $A'$ sont tous les deux des résidus biquadratiques ou tous les deux des non-résidus biquadratiques par rapport à $p$, le produit	supposes, as in all that follows, that $p$ is a prime number $4n+1$, and that $A$ and $A'$ designate numbers not divisible by $p$ and which are both quadratic residues with respect to $p$.	\par\indent “If the numbers $A$ and $A'$ are both biquadratic residues or both biquadratic non-residues with respect to $p$, the product $AA'$ will be a biquadratic residue
67/68	84/85	5/6	The incomplete p étant continues de la forme4n+1; source signature9* is furniture, not an interruption of the sentence.	qa/s04/source/p067_authority.png;qa/s04/source/p068_authority.png	MANUALLY_RECHECKED	égal à $1$ ou $-1$, selon que $M$ est ou n'est pas résidu quadratique par rapport à $c$. En appliquant à la relation $\leg{p}{k}=1$, le théorème connu sous le nom de loi de réciprocité (\emph{theorema fundamentale} de M. \textsc{Gauss}), on aura, $p$ étant	\noindent de la forme $4n+1$, $\leg{k}{p}=1$. On trouve de la même manière: \[	$1$ or $-1$, according as $M$ is or is not a quadratic residue with respect to $c$. Applying to the relation $\leg{p}{k}=1$ the theorem known under the name law of reciprocity (the \emph{theorema fundamentale} of Mr. \textsc{Gauss}), one will have, $p$ being	\noindent of the form $4n+1$, $\leg{k}{p}=1$. One finds in the same way: \[
68/69	85/86	6/7	Final reciprocal-symbol array is multiplied at opening d’où on p69; all factors and lowercase opening retained.	qa/s04/source/p068_authority.png;qa/s04/source/p069_authority.png	MANUALLY_RECHECKED	\leg{h}{p}&=-1, &\leg{h'}{p}&=-1, &\leg{h''}{p}&=-1, &\text{etc.} \end{aligned} \]	\noindent d'où il suit, en multipliant: \[	\leg{h}{p}&=-1, &\leg{h'}{p}&=-1, &\leg{h''}{p}&=-1, &\text{etc.} \end{aligned} \]	\noindent hence, on multiplying: \[
69/70	86/87	7/8	The sum-of-two-squares substitution is announced before the equations beginning Nous aurons ainsi on p70.	qa/s04/source/p069_authority.png;qa/s04/source/p070_authority.png	MANUALLY_RECHECKED	\par\indent Faisons $p=\varphi^2+\psi^2$ (où $\psi$ est supposé divisible par $4$) et égalons cette valeur de $p$ à celle que nous venons de considérer.	\par\indent Nous aurons ainsi: \[	\par\indent Let $p=\varphi^2+\psi^2$ (where $\psi$ is supposed divisible by $4$) and equate this value of $p$ with the one we have just considered.	\par\indent We shall thus have: \[
70/71	87/88	8/9	Second theorem closes in quotation; p71 starts the distinct third theorem and then section3.	qa/s04/source/p070_authority.png;qa/s04/source/p071_authority.png	MANUALLY_RECHECKED	„$p$ désignant un nombre premier $8n+1$, et ayant fait $p=\varphi^2+\psi^2$ (où $\psi$ est supposé divisible par $4$), $\pm2$ sera ou ne sera pas résidu biquadratique par rapport à $p$, selon que $\psi$ est de la forme $8n$ ou de celle-ci: $8n+4$.“	\par\indent Il y a un troisième théorème propre à décider si $\pm2$ est ou n'est pas résidu biquadratique relativement à un nombre premier $p=8n+1$, et qui peut	“$p$ designating a prime number $8n+1$, and having written $p=\varphi^2+\psi^2$ (where $\psi$ is supposed divisible by $4$), $\pm2$ will or will not be a biquadratic residue with respect to $p$ according as $\psi$ is of the form $8n$ or of the form $8n+4$.”	\par\indent There is a third theorem suitable for deciding whether $\pm2$ is or is not a biquadratic residue relative to a prime number $p=8n+1$, which may be stated
71/72	88/89	9/10	Multipliant ... comma continues on aura ce résultat and alpha display; the full author note remains anchored and printed on p71.	qa/s04/source/p071_authority.png;qa/s04/source/p072_authority.png	MANUALLY_RECHECKED	\leg{k}{p}=1,\quad \leg{k'}{p}=1,\quad \leg{k''}{p}=1,\quad\text{etc.} \] Multipliant ces relations entre elles et avec la relation identique $\leg{2^\nu}{p}=\leg{2^\nu}{p}$,	\noindent on aura ce résultat: \begin{equation*}	\leg{k}{p}=1,\quad \leg{k'}{p}=1,\quad \leg{k''}{p}=1,\quad\text{etc.} \] Multiplying these relations together and with the identical relation $\leg{2^\nu}{p}=\leg{2^\nu}{p}$,	\noindent one has the result: \begin{equation*}
72/73	89/90	10/11	Final colon announces the two-row reciprocity array at the head of p73; no relation moved to the preceding page.	qa/s04/source/p072_authority.png;qa/s04/source/p073_authority.png	MANUALLY_RECHECKED	le signe supérieur ou inférieur ayant lieu, selon que les nombres $h$, $h'$, $h''$, $\ldots$ sont en nombre pair ou impair. D'un autre côté, si l'on applique la loi de réciprocité aux relations $(\beta)$ et $(\beta')$, il viendra, $b$ étant de la forme $4n+3$:	\[ \begin{aligned} \leg{g}{b}&=1, &\leg{g'}{b}&=1, &\leg{g''}{b}&=1, &\text{etc.}\\	the upper or lower sign holding according as the numbers $h$, $h'$, $h''$, $\ldots$ are even or odd in number. On the other hand, if one applies the reciprocity law to the relations $(\beta)$ and $(\beta')$, one obtains, $b$ being of the form $4n+3$:	\[ \begin{aligned} \leg{g}{b}&=1, &\leg{g'}{b}&=1, &\leg{g''}{b}&=1, &\text{etc.}\\
73/74	90/91	11/12	En substituant la valeur qu’elle donne continues pour u^((p-1)/2) and its congruence on p74.	qa/s04/source/p073_authority.png;qa/s04/source/p074_authority.png	MANUALLY_RECHECKED	$(\alpha)$ se changera en celle-ci: $\leg{u}{p}=-1$. Les deux cas que nous venons d'examiner sont compris dans la formule $\leg{u}{p}=(-1)^{\frac{p-1}{4}}$, qui équivaut à cette congruence: $u^{\frac{p-1}{2}}\equiv(-1)^{\frac{p-1}{4}}\md{p}$. En substituant la valeur qu'elle donne	\noindent pour $u^{\frac{p-1}{2}}$ dans la congruence obtenue plus haut, on aura: \[	just examined are included in the formula $\leg{u}{p}=(-1)^{\frac{p-1}{4}}$, which is equivalent to the congruence $u^{\frac{p-1}{2}}\equiv(-1)^{\frac{p-1}{4}}\md{p}$. Substituting the value which this gives	\noindent for $u^{\frac{p-1}{2}}$ in the congruence obtained above, one has: \[
74/75	91/92	12/13	Four E,F,K,L identities close p74; p75 immediately proves E,F coprime. No inherited continuation title or new section inserted.	qa/s04/source/p074_authority.png;qa/s04/source/p075_authority.png	MANUALLY_RECHECKED	m^2&=EF, &\varphi'^2+bu'^2&=KL. \end{aligned} \]	\par\noindent Il est très facile de s'assurer que les nombres $E$ et $F$ sont premiers entre eux. En effet, soit $\delta$ un facteur simple quelconque de $E$ (qui sera nécessairement impair, $E$ étant lui même	m^2&=EF, &\varphi'^2+bu'^2&=KL. \end{aligned} \]	\par\noindent It is very easy to make sure that the numbers $E$ and $F$ are relatively prime. Indeed, let $\delta$ be any simple factor of $E$ (which will necessarily be odd, $E$ itself being odd) and
