printed_page	layer	author_note_count	anchor	source_observation	inspection
65	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
65	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
66	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
66	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
67	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
67	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
68	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
68	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
69	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
69	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
70	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
70	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
71	fr	1	*) after impair/odd, before full stop	One author footnote, anchor *), original text and citation «Théorie des Nombres, no.44.45)» confirmed; no editorial insertion into body or note.	SOURCE_NOTE_AND_ANCHOR_REPLAYED
71	en	1	*) after impair/odd, before full stop	One author footnote, anchor *), original text and citation «Théorie des Nombres, no.44.45)» confirmed; no editorial insertion into body or note.	SOURCE_NOTE_AND_ANCHOR_REPLAYED
72	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
72	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
73	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
73	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
74	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
74	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
75	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
75	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
76	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
76	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
77	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
77	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
78	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
78	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
79	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
79	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
80	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
80	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
81	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
