printed_page	language	section_numbers	heads	labels	author_notes	rules
65	fr				0	2
65	en				0	2
66	fr	1			0	0
66	en	1			0	0
67	fr	2			0	0
67	en	2			0	0
68	fr				0	0
68	en				0	0
69	fr				0	0
69	en				0	0
70	fr				0	0
70	en				0	0
71	fr	3			1	0
71	en	3			1	0
72	fr			$\alpha$;$\beta$;$\beta'$	0	0
72	en			$\alpha$;$\beta$;$\beta'$	0	0
73	fr			$\gamma$	0	0
73	en			$\gamma$	0	0
74	fr	4			0	0
74	en	4			0	0
75	fr			$\delta$;$\delta'$	0	0
75	en			$\delta$;$\delta'$	0	0
76	fr				0	0
76	en				0	0
77	fr				0	0
77	en				0	0
78	fr		Théorème I.		0	0
78	en		Theorem I.		0	0
79	fr	5		$\varepsilon$	0	0
79	en	5		$\varepsilon$	0	0
80	fr			$\zeta$	0	0
80	en			$\zeta$	0	0
81	fr			$\eta$;$\theta$	0	0
81	en			$\eta$;$\theta$	0	0
82	fr				0	0
82	en				0	0
83	fr				0	0
83	en				0	0
84	fr		Théorème II.		0	0
84	en		Theorem II.		0	0
85	fr		Addition au mémoire précédent.		0	2
85	en		Addition to the preceding memoir.		0	2
86	fr			$\alpha'$	0	0
86	en			$\alpha'$	0	0
87	fr			$\beta'$;$\gamma'$	0	0
87	en			$\beta'$;$\gamma'$	0	0
88	fr			$\delta'$	0	0
88	en			$\delta'$	0	0
89	fr			$\varepsilon'$	0	0
89	en			$\varepsilon'$	0	0
90	fr			$\zeta'$	0	0
90	en			$\zeta'$	0	0
91	fr				0	0
91	en				0	0
92	fr			$\eta'$	0	0
92	en			$\eta'$	0	0
93	fr				0	0
93	en				0	0
94	fr			$\vartheta'$	0	0
94	en			$\vartheta'$	0	0
95	fr				0	0
95	en				0	0
96	fr				0	0
96	en				0	0
97	fr				0	0
97	en				0	0
98	fr				0	1
98	en				0	1
