id	printed_page	file	before_snapshot	before_snapshot_sha256	current_sha256	after_present	source_locator	status
S04-001	65	editions/fr/pages/p065.tex	qa/s04/repair_snapshots/001_before.txt	6CC978016477EA895F383E8A035FD559EA909CE8E573978B605E92032B1A208B	D269AC2EE7B947EAD195BE1F057186D9BDA1342EBAEAC96AD077B35107694EC2	True	Full PDF 82; exact-scope leaf 3; heading beneath the short rule: Mémoire. is visibly letter-spaced; retain tracking without changing the ordinal or wording.	REPAIR_INTEGRATED_AND_RECHECKED
S04-002	65	editions/en/pages/p065.tex	qa/s04/repair_snapshots/002_before.txt	17CA5448E19490A1752DAFC72E4655CE3D60E769D95DAB4AF3CAC4D13DD837E3	2008218BA1B56675F36E9817F686A5DC63B166EC6326BDE0E59AE04CD85EE952	True	Full PDF 82; exact-scope leaf 3; same letter-spaced Mémoire. heading; English corresponding heading retains that typographic distinction.	REPAIR_INTEGRATED_AND_RECHECKED
S04-003	68	editions/en/pages/p068.tex	qa/s04/repair_snapshots/003_before.txt	DC4E0E7142FC771F55D75F65DBE5786783E7874CE26E5FD04E29470EB169C977	08AFBD60AAD0128532178B3CA781BDB0A8B679A7DE6224531F70949EAE8776E9	True	Full PDF 85; exact-scope leaf 6; prose before the third paired array: «Si l’on compare maintenant ces relations aux précédentes, on trouvera:»; explicit conditional and maintenant restored.	REPAIR_INTEGRATED_AND_RECHECKED
S04-004	72	editions/fr/pages/p072.tex	qa/s04/repair_snapshots/004_before.txt	92269E0BAFA0C0BA24009F74CFB217B7D13A0645144863CC92E80BA2A2A87727	DBB9CB6C57646EDD5095C7AE4EF0A9A554F7DF3D380468F932F32DF56FA0883A	True	Full PDF 89; exact-scope leaf 10; last displayed product after «Multipliant ces relations entre elles»: numerator ends hh′h″ with no trailing ellipsis. Fresh enlarged crop p072_final_product_detail.png confirms absence; earlier t-factorization on the same page still has its printed ellipsis.	REPAIR_INTEGRATED_AND_RECHECKED
S04-005	72	editions/en/pages/p072.tex	qa/s04/repair_snapshots/005_before.txt	8F33F8A1E3FD352F4FA14E651BFAFDE3BBBAAD49D406598BFCE621C06721ED56	2BCE64C80E2BB768DEA4577EBAD8E69997435B99E57E95274B0661E2051406DF	True	Full PDF 89; exact-scope leaf 10; last displayed product after «Multipliant ces relations entre elles»: numerator ends hh′h″ with no trailing ellipsis. Fresh enlarged crop p072_final_product_detail.png confirms absence; earlier t-factorization on the same page still has its printed ellipsis.	REPAIR_INTEGRATED_AND_RECHECKED
S04-006	73	editions/fr/pages/p073.tex	qa/s04/repair_snapshots/006_before.txt	4293ADA4C42618DB4BD57CE134C01FEA20420CBB0A5DD24F7D51EBEDE802DD11	0A5CCD3E7385C769E555D70CC1C58A3E7971FBE52DCDF3CDBB8691E9960F08B0	True	Full PDF 90; exact-scope leaf 11; product under «égalités qui, étant multipliées…»: as on72, numerator visibly ends hh′h″ without dots. Fresh enlarged p073_product_detail.png; do not normalize to a trailing ellipsis.	REPAIR_INTEGRATED_AND_RECHECKED
S04-007	73	editions/en/pages/p073.tex	qa/s04/repair_snapshots/007_before.txt	E72706E53122215F76D3AB46F916BAC34E4E9184E42899AC3C555EF2D5382E07	7FBE240A70D5AA8E61E46A82C107E782FE4CD998099AA59C80E2B787460DD0D2	True	Full PDF 90; exact-scope leaf 11; product under «égalités qui, étant multipliées…»: as on72, numerator visibly ends hh′h″ without dots. Fresh enlarged p073_product_detail.png; do not normalize to a trailing ellipsis.	REPAIR_INTEGRATED_AND_RECHECKED
S04-008	74	editions/en/pages/p074.tex	qa/s04/repair_snapshots/008_before.txt	C64C75562F082A136CD7D99A8CC1DFF1FCF4559836BB71E59E44A4135EE18A9D	A7CAAEB99BBEAB69DF156D16E291E2032AB502F587705BDFBADDE29445CE9680	True	Full PDF 91; exact-scope leaf 12; opening block after first congruence: «Si l’on compare maintenant ce résultat … on arrivera au théorème…»; restore explicit conditional and temporal adverb.	REPAIR_INTEGRATED_AND_RECHECKED
S04-009	88	editions/en/pages/p088.tex	qa/s04/repair_snapshots/009_before.txt	650932687B93FDD246ACBCBE783853F7C6BC4179F83A8A040F0447A6EAD5B308	9D9CD21D6050D4B24414693270464F8A53C52807B81C23A96D9074CF63510408	True	Full PDF 105; exact-scope leaf 26; opening comparison: «Si l’on compare ce résultat à la formule(γ′), on obtiendra cet énoncé:»; restore the explicit conditional construction.	REPAIR_INTEGRATED_AND_RECHECKED
S04-010	89	editions/fr/pages/p089.tex	qa/s04/repair_snapshots/010_before.txt	AA0EBCB01D40D2A900415684F288C98FE5A93A504A345F4F512E3970C1D90F36	2C16FD2E987F408BCE0A2A3D28B685C722CC63EAD49A0A65E27D9B428145CD14	True	Full PDF 106; exact-scope leaf 27; Opening paragraph, third prose line, explicitly prints italic b, not delta; enlarged p089_divisor_detail.png. The argument suggests delta, but the witness is reproduced literally.	REPAIR_INTEGRATED_AND_RECHECKED
S04-011	89	editions/en/pages/p089.tex	qa/s04/repair_snapshots/011_before.txt	5D49ACE5F934A9E5C7386FDC9F151095493858387B5D142372D8CF9BF9560036	2AB6CEF18193DE2B5C2EB4BD3B9AB88805511BFEF601A5897F07A962F119347D	True	Full PDF 106; exact-scope leaf 27; Opening paragraph, third prose line, prints b. Translation must retain that printed reading; explanation belongs only in apparatus.	REPAIR_INTEGRATED_AND_RECHECKED
S04-012	89	editions/en/pages/p089.tex	qa/s04/repair_snapshots/012_before.txt	3AD5B533B73ACBA750869972AE8AA75096911A6910E1156F8FC5492B49A63CC9	2AB6CEF18193DE2B5C2EB4BD3B9AB88805511BFEF601A5897F07A962F119347D	True	Full PDF 106; exact-scope leaf 27; Middle paragraph: ‘Si l’on fait attention que b est un nombre premier 4n+3, on pourra présenter’. Restore explicit conditional rather than an unqualified participial instruction.	REPAIR_INTEGRATED_AND_RECHECKED
