printed_page	full_pdf_page	scope_leaf	unit_id	segment	placement	french_tex	english_tex	cross_language_math	source_review	manual_evidence
65	82	3	p065.u01	1	inline	x^4-2	x^4-2	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/65
65	82	3	p065.u01	2	inline	x^2-2	x^2-2	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/65
65	82	3	p065.u01	3	inline	\alpha x^4+\beta x^2+\gamma	\alpha x^4+\beta x^2+\gamma	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/65
66	83	4	p066.u01	1	inline	x	x	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u01	2	inline	x^4-A	x^4-A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u01	3	inline	B	B	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u01	4	inline	A	A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u01	5	inline	B	B	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	1	inline	A	A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	2	inline	B	B	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	3	inline	B	B	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	4	inline	x^4-A	x^4-A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	5	inline	B	B	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	6	inline	x^4-A	x^4-A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	7	inline	B	B	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	8	inline	B	B	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	9	inline	x^4-A	x^4-A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u02	10	inline	x^4-A	x^4-A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
66	83	4	p066.u03	1	inline	x^4-A	x^4-A	EQUAL	Manual scan reading recorded separately	qa/s04/MANUAL_COLD_COLLATION.json#/66
