printed_page	authority_pdf_page	layer	before	after	evidence	disposition
65	82	FR_HEADING_TYPOGRAPHY	1\textsuperscript{er} Mémoire.	1\textsuperscript{er} {\addfontfeatures{LetterSpace=8}Mémoire.}	Full PDF 82; exact-scope leaf 3; heading beneath the short rule: Mémoire. is visibly letter-spaced; retain tracking without changing the ordinal or wording.	CORRECTED_TO_AUTHORITY; prior bytes retained
65	82	EN_HEADING_TYPOGRAPHY	1\textsuperscript{st} Memoir.	1\textsuperscript{st} {\addfontfeatures{LetterSpace=8}Memoir.}	Full PDF 82; exact-scope leaf 3; same letter-spaced Mémoire. heading; English corresponding heading retains that typographic distinction.	CORRECTED_TO_AUTHORITY; prior bytes retained
68	85	EN_STRUCTURAL_CORRESPONDENCE	Comparing these relations with the preceding ones, one finds:	If one now compares these relations with the preceding ones, one will find:	Full PDF 85; exact-scope leaf 6; prose before the third paired array: «Si l’on compare maintenant ces relations aux précédentes, on trouvera:»; explicit conditional and maintenant restored.	CORRECTED_TO_AUTHORITY; prior bytes retained
72	89	FR_MATHEMATICAL_TYPOGRAPHY	\leg{gg'g''\ldots\times hh'h''\ldots}{p}	\leg{gg'g''\ldots\times hh'h''}{p}	Full PDF 89; exact-scope leaf 10; last displayed product after «Multipliant ces relations entre elles»: numerator ends hh′h″ with no trailing ellipsis. Fresh enlarged crop p072_final_product_detail.png confirms absence; earlier t-factorization on the same page still has its printed ellipsis.	CORRECTED_TO_AUTHORITY; prior bytes retained
72	89	EN_MATHEMATICAL_TYPOGRAPHY	\leg{gg'g''\ldots\times hh'h''\ldots}{p}	\leg{gg'g''\ldots\times hh'h''}{p}	Full PDF 89; exact-scope leaf 10; last displayed product after «Multipliant ces relations entre elles»: numerator ends hh′h″ with no trailing ellipsis. Fresh enlarged crop p072_final_product_detail.png confirms absence; earlier t-factorization on the same page still has its printed ellipsis.	CORRECTED_TO_AUTHORITY; prior bytes retained
73	90	FR_MATHEMATICAL_TYPOGRAPHY	\leg{gg'g''\ldots\times hh'h''\ldots}{b}	\leg{gg'g''\ldots\times hh'h''}{b}	Full PDF 90; exact-scope leaf 11; product under «égalités qui, étant multipliées…»: as on72, numerator visibly ends hh′h″ without dots. Fresh enlarged p073_product_detail.png; do not normalize to a trailing ellipsis.	CORRECTED_TO_AUTHORITY; prior bytes retained
73	90	EN_MATHEMATICAL_TYPOGRAPHY	\leg{gg'g''\ldots\times hh'h''\ldots}{b}	\leg{gg'g''\ldots\times hh'h''}{b}	Full PDF 90; exact-scope leaf 11; product under «égalités qui, étant multipliées…»: as on72, numerator visibly ends hh′h″ without dots. Fresh enlarged p073_product_detail.png; do not normalize to a trailing ellipsis.	CORRECTED_TO_AUTHORITY; prior bytes retained
74	91	EN_STRUCTURAL_CORRESPONDENCE	"Comparing this result with that contained in formula $(\gamma)$, one arrives at
the theorem which we shall state:"	"If one now compares this result with that contained in formula $(\gamma)$, one will arrive at
the theorem which we shall state:"	Full PDF 91; exact-scope leaf 12; opening block after first congruence: «Si l’on compare maintenant ce résultat … on arrivera au théorème…»; restore explicit conditional and temporal adverb.	CORRECTED_TO_AUTHORITY; prior bytes retained
88	105	EN_STRUCTURAL_CORRESPONDENCE	"$\leg{t}{p}=-1$. Comparing
this result with the formula $(\gamma')$, one obtains this statement:"	"$\leg{t}{p}=-1$. If one compares
this result with the formula $(\gamma')$, one will obtain this statement:"	Full PDF 105; exact-scope leaf 26; opening comparison: «Si l’on compare ce résultat à la formule(γ′), on obtiendra cet énoncé:»; restore the explicit conditional construction.	CORRECTED_TO_AUTHORITY; prior bytes retained
89	106	French mathematical token	pas divisible par $\delta$.	pas divisible par $b$.	Full PDF 106; exact-scope leaf 27; Opening paragraph, third prose line, explicitly prints italic b, not delta; enlarged p089_divisor_detail.png. The argument suggests delta, but the witness is reproduced literally.	CORRECTED_TO_AUTHORITY; prior bytes retained
