printed_page	language	path	bytes	sha256
65	fr	editions/fr/pages/p065.tex	2372	D269AC2EE7B947EAD195BE1F057186D9BDA1342EBAEAC96AD077B35107694EC2
65	en	editions/en/pages/p065.tex	2190	2008218BA1B56675F36E9817F686A5DC63B166EC6326BDE0E59AE04CD85EE952
66	fr	editions/fr/pages/p066.tex	2846	586434BF206814EAB0B4D30006E60AF66E6E37F476D78F0C6B9FD6F927A9C7EC
66	en	editions/en/pages/p066.tex	2803	70144AAB0D207FCEE5F0DA610D19E340697FC21F39B17C7E8CFFE758D868A482
67	fr	editions/fr/pages/p067.tex	2663	C34E1F7911C0EBFCBF20BB29E10E1E6FEC0D20D82384FE2EA39A837498285FD2
67	en	editions/en/pages/p067.tex	2580	26E3C3519B4C15144F57F14963A676796E23A4779CA500B65972268A5CEEF7A5
68	fr	editions/fr/pages/p068.tex	2001	87AFEAC601601716340520DD782DD69B7D45E0506528680690632903BE195A74
68	en	editions/en/pages/p068.tex	1954	08AFBD60AAD0128532178B3CA781BDB0A8B679A7DE6224531F70949EAE8776E9
69	fr	editions/fr/pages/p069.tex	2280	C78FD026E8F11807DEF6F883742042FDDEAA487F6D9680927162138373B86A62
69	en	editions/en/pages/p069.tex	2181	0F0F90B47796E3BBC099A836D325E9F97049DE4B6260AD52D5A12B87F1A41A9F
70	fr	editions/fr/pages/p070.tex	2763	4319A650B197727BDE64F965E54C8546A2DDA8D5DCEC072BC1601CE12F0AB44F
70	en	editions/en/pages/p070.tex	2724	22EA3CABB55C8762BA7EFB569B7A62D97AF7B8EA158A77F81CE5EC574D3D87B1
71	fr	editions/fr/pages/p071.tex	3095	A43ABA468B2EB2E96BB5C07EA8C8D31E7F90C037B53EBF44A58355831A3583D0
71	en	editions/en/pages/p071.tex	2923	8009EC73895967A50698DCD9817827E0CAB418245F046F54CEEC1724A2FE2DC1
72	fr	editions/fr/pages/p072.tex	2149	DBB9CB6C57646EDD5095C7AE4EF0A9A554F7DF3D380468F932F32DF56FA0883A
72	en	editions/en/pages/p072.tex	2088	2BCE64C80E2BB768DEA4577EBAD8E69997435B99E57E95274B0661E2051406DF
73	fr	editions/fr/pages/p073.tex	2093	0A5CCD3E7385C769E555D70CC1C58A3E7971FBE52DCDF3CDBB8691E9960F08B0
73	en	editions/en/pages/p073.tex	1944	7FBE240A70D5AA8E61E46A82C107E782FE4CD998099AA59C80E2B787460DD0D2
74	fr	editions/fr/pages/p074.tex	2447	8F2D4D6EF30917F323545BCF499C561B7682831BF785456232882BA9F0A5DC84
74	en	editions/en/pages/p074.tex	2327	A7CAAEB99BBEAB69DF156D16E291E2032AB502F587705BDFBADDE29445CE9680
75	fr	editions/fr/pages/p075.tex	2933	B507605383DAA9F782AF62649A8F8B9C230BD104756032A709F02251F06ED8B9
75	en	editions/en/pages/p075.tex	2894	805B12333924D4AB3A47B1DB41F4B54DBA827150A54C91576F6BD55AD72C1761
76	fr	editions/fr/pages/p076.tex	2830	8AC0155733C73AF2276F595F53D57F2D9357B57F66C916237351A29B7AE86CC7
76	en	editions/en/pages/p076.tex	2743	FC061FADFC207C3909A81211C08BC0BED21DB471F7D3342AE7FF440B11472952
77	fr	editions/fr/pages/p077.tex	2968	762412E086744165772ABC2F75092E45344949038D8C1BFDD384B2FF5C617396
77	en	editions/en/pages/p077.tex	2897	DE9F69D6AF6C9A46F61156B857DFDABD93991F6618C4F77B71666EB766FF633C
78	fr	editions/fr/pages/p078.tex	3085	2C3C691DE32759983DB70B6E608931EA7E01D2354AF1BC09E1539706437B9CC7
78	en	editions/en/pages/p078.tex	3021	693E46C48AF4FBA18F1AC432A617AA13F3425FF7F69FF82AB4891D80DCE8FFA2
79	fr	editions/fr/pages/p079.tex	2596	3198958B1CFD1F9F674DB9710F64E437DE57FCFA624FACC1E5EFC0A4976C2E89
79	en	editions/en/pages/p079.tex	2546	5425FE794EE68885985B0365A322FBFF1AC8BE507A3C36F1571C9F9CDA5B60DC
80	fr	editions/fr/pages/p080.tex	3053	DC326D3E4F56241BC01D94CD3DEF4AE5BD53E167D6A5909644C76D17F9BE63D7
80	en	editions/en/pages/p080.tex	3083	A615EE8D7C77864A817B7062C37E161270644241805FD3FB99B9F2FCC5549AD5
81	fr	editions/fr/pages/p081.tex	2800	3721EFEFA33A8AE189D0ADF952CB46555474AEBC13E661D960DF963731FE4AC3
81	en	editions/en/pages/p081.tex	2750	A263F25D7216F6B28F4CA7FDEC61921E1C8540EB325FCD88F0419C770C75BDFC
82	fr	editions/fr/pages/p082.tex	2626	2553FCD275BE37EEA038335D5A5F8B4492F2EC57B996EF2BB4DD8305EABFDC2C
82	en	editions/en/pages/p082.tex	2549	344BADCE98313D2A07EE3D8E2ED0074E368F70C386DDE011F3D76FA00C061922
83	fr	editions/fr/pages/p083.tex	2297	00A3E0146643AD7703A25F043F558A6350ADB86775602904F48A185D11876EF0
83	en	editions/en/pages/p083.tex	2308	D6373E07B454623EBF0498545A109E5F28BA01ED032E0F3F4630601E1B09DC09
84	fr	editions/fr/pages/p084.tex	2742	180A1092C84D4EAAC7A0F15941E219E71308E1A3C4693D8858D6B7D3C895F1F3
84	en	editions/en/pages/p084.tex	2581	02E7619F1105D513D0240C233FD05F3ED3EE49317665602F9942AE9FDD7903A9
85	fr	editions/fr/pages/p085.tex	3003	5AEFE0C09EE08C586878AAC5CEC499FB3644BAD2BF14CB1C6EE9605AD2EF76D1
85	en	editions/en/pages/p085.tex	2868	967F4BB96B82D33979C03183AA800592A41606293718F7493172FDDCC2B8BF80
86	fr	editions/fr/pages/p086.tex	2673	6774249A196CFAFF3925A4F1549AB6E8D9BED8EF742B7962E7159C39D47A918D
86	en	editions/en/pages/p086.tex	2560	FCF02C1CF16847383A2974C8C4503EFAC4937EA8C8BB60707ED3861063EBC100
87	fr	editions/fr/pages/p087.tex	2018	4BC76DEF6514B1E581F8B82A74981B1DC87F20668E81DE39FE6EF97A42819B34
87	en	editions/en/pages/p087.tex	1985	63E588C6E5839124FD90663E8283121FBD0E42EE2D71E274A9497062813BCF7D
88	fr	editions/fr/pages/p088.tex	2844	D81A8E566D4271B2CDB755EBD9588A06A53D5C7FBF23740C6C6F31E0986D9560
88	en	editions/en/pages/p088.tex	2783	9D9CD21D6050D4B24414693270464F8A53C52807B81C23A96D9074CF63510408
89	fr	editions/fr/pages/p089.tex	2345	2C16FD2E987F408BCE0A2A3D28B685C722CC63EAD49A0A65E27D9B428145CD14
89	en	editions/en/pages/p089.tex	2337	2AB6CEF18193DE2B5C2EB4BD3B9AB88805511BFEF601A5897F07A962F119347D
90	fr	editions/fr/pages/p090.tex	2516	B5FFAAB04376DAF796916772D148074C52156A08BB3647894019CA8AA89568FB
90	en	editions/en/pages/p090.tex	2473	B5E04681517B0902AA6ECFE47145B3030CB5060EC981028C2F55349082E53026
91	fr	editions/fr/pages/p091.tex	2668	A55658F395A84CD6118A5117C4719B89C5CCF483590BC5A27BD46FF9B7285DEB
91	en	editions/en/pages/p091.tex	2588	830DF854FA0E8C4200C53EAC82E5C7B5F33AFC199A7D63CC45E41B973E01FACF
92	fr	editions/fr/pages/p092.tex	2235	53A7CB8BC43A56DAED14BC3925C2DE18F22ED74587BF800F02131C327D578A0E
92	en	editions/en/pages/p092.tex	2200	0AAE6695D802FD759BA8FFC65647AF838CD562C17B71F94A1B8761F46403BFA1
93	fr	editions/fr/pages/p093.tex	2312	B77D5A807307C9CFACD58423A108B1BCA7F20EA899F7095465DE08D4F3EE6DE4
93	en	editions/en/pages/p093.tex	2285	0D0551251F3FDC216CD81EDB769803678EE8345EBBD82227DCD13B937ED60F0B
94	fr	editions/fr/pages/p094.tex	2505	23529606BBEEA5067A466CFF2DEBE5637AAF8518B458C206CFFD59A3C71E3BFB
94	en	editions/en/pages/p094.tex	2426	47579FA972885E5A6F792DE3C3725A9D992A7B9581D21DF8AAAC98EB57CBA2CD
95	fr	editions/fr/pages/p095.tex	2343	B6E4DAE8526E2BFC7E23F01F09FB70AE47714BEFE87E657439F67D72BF77B153
95	en	editions/en/pages/p095.tex	2324	114A0F7A59A4411AF30CEEA7364DE558EE88004EA99C029DD0A137C466F76B56
96	fr	editions/fr/pages/p096.tex	2261	A02736C87C2D148E232DF1BCED8AE81FF57D684A919B220DAAAC3FF4D1B8A719
96	en	editions/en/pages/p096.tex	2227	BA076123C92C133724BD502441638F6C3344C0F1F6DBDD6C2AA2E1929737FABB
97	fr	editions/fr/pages/p097.tex	2619	11050BA290E976BD7F5FE600229689113CC353A4A43BFA6160978E26EA0DFE06
97	en	editions/en/pages/p097.tex	2569	6C2730D002A98DAF3B4D4CFD3F7B1852F91DF194578B09580D98C9DED76DA1CF
98	fr	editions/fr/pages/p098.tex	2880	2C62C10257477CC7985C55091D566E11424FC4C303177056D09966958E550619
98	en	editions/en/pages/p098.tex	2774	50AA8005D67A5F27C0ADDBCC3F69001AFF7092443E101AA40BBEA32FB3E99E86
