layer	reader_page	printed_page	word_boxes	outside_page	replacement_character	result
fr	1	65	292	0	False	PASS
fr	2	66	432	0	False	PASS
fr	3	67	433	0	False	PASS
fr	4	68	355	0	False	PASS
fr	5	69	401	0	False	PASS
fr	6	70	471	0	False	PASS
fr	7	71	511	0	False	PASS
fr	8	72	333	0	False	PASS
fr	9	73	372	0	False	PASS
fr	10	74	370	0	False	PASS
fr	11	75	397	0	False	PASS
fr	12	76	375	0	False	PASS
fr	13	77	426	0	False	PASS
fr	14	78	446	0	False	PASS
fr	15	79	372	0	False	PASS
fr	16	80	415	0	False	PASS
fr	17	81	439	0	False	PASS
fr	18	82	508	0	False	PASS
fr	19	83	422	0	False	PASS
fr	20	84	439	0	False	PASS
fr	21	85	392	0	False	PASS
fr	22	86	433	0	False	PASS
fr	23	87	367	0	False	PASS
fr	24	88	413	0	False	PASS
fr	25	89	380	0	False	PASS
fr	26	90	376	0	False	PASS
fr	27	91	444	0	False	PASS
fr	28	92	400	0	False	PASS
fr	29	93	457	0	False	PASS
fr	30	94	357	0	False	PASS
fr	31	95	454	0	False	PASS
fr	32	96	421	0	False	PASS
fr	33	97	444	0	False	PASS
fr	34	98	410	0	False	PASS
en	1	65	307	0	False	PASS
en	2	66	460	0	False	PASS
en	3	67	447	0	False	PASS
en	4	68	360	0	False	PASS
en	5	69	406	0	False	PASS
en	6	70	485	0	False	PASS
en	7	71	519	0	False	PASS
en	8	72	335	0	False	PASS
en	9	73	358	0	False	PASS
en	10	74	374	0	False	PASS
en	11	75	415	0	False	PASS
en	12	76	379	0	False	PASS
en	13	77	436	0	False	PASS
en	14	78	464	0	False	PASS
en	15	79	383	0	False	PASS
en	16	80	441	0	False	PASS
en	17	81	451	0	False	PASS
en	18	82	482	0	False	PASS
en	19	83	438	0	False	PASS
en	20	84	434	0	False	PASS
en	21	85	401	0	False	PASS
en	22	86	452	0	False	PASS
en	23	87	372	0	False	PASS
en	24	88	435	0	False	PASS
en	25	89	385	0	False	PASS
en	26	90	382	0	False	PASS
en	27	91	448	0	False	PASS
en	28	92	407	0	False	PASS
en	29	93	457	0	False	PASS
en	30	94	367	0	False	PASS
en	31	95	466	0	False	PASS
en	32	96	420	0	False	PASS
en	33	97	461	0	False	PASS
en	34	98	420	0	False	PASS
apparatus	1		305	0	False	PASS
apparatus	2		441	0	False	PASS
apparatus	3		405	0	False	PASS
apparatus	4		470	0	False	PASS
apparatus	5		134	0	False	PASS
