layer	reader_page	path	bytes	sha256	renderer	result
fr	1	qa/s04/poppler/fr/page-01.png	182593	2AC1803B24ACC5F3A73438EEDCA031C1D0F548254F4D3B1058FB18695E2D4369	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	2	qa/s04/poppler/fr/page-02.png	220465	B7DD6DF424186606444A73578716FD7DD521BE7FD0C505DDE82351CAB1C011EA	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	3	qa/s04/poppler/fr/page-03.png	210577	5425D9AB592E522AAE1707E50EDF7853F25A9B29AD88004D55E35D3FF4B2BFC4	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	4	qa/s04/poppler/fr/page-04.png	138769	FD715CB9E4EB5FEC36290A5CBE1697C7FB507C1413B50E160606F6BF4667FC62	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	5	qa/s04/poppler/fr/page-05.png	178912	7AD7373F8A7E5C4BD9959E3981E29EC1FD5F4F339262E0D5E3FD26718A67C678	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	6	qa/s04/poppler/fr/page-06.png	213346	3D70E05595FB0FC288DAB810DA8A5B9268098F2683E6969EA78CFEB0B8A3542E	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	7	qa/s04/poppler/fr/page-07.png	210329	D863AB730DD82A3E31189FAEBED8AEBACE4FBFBC67C10FC12B045DBA8297E72A	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	8	qa/s04/poppler/fr/page-08.png	140333	3D96DB468BB45180ADF384C91950DBB6CFD87FEF1A05830903893AA344FEC56E	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	9	qa/s04/poppler/fr/page-09.png	162819	75ECF7D28B995C34E02514E0FD0E54DE3E6C5FD1F25997264D8B6D0DF1248720	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	10	qa/s04/poppler/fr/page-10.png	185051	62DEEE96936A5527B5F37837B7302C3E5FB749B0FABAB40626F68FB70F718CF6	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	11	qa/s04/poppler/fr/page-11.png	194608	D69489E5149E4AA5988C10AD064319C128D3B601951D80DE2E5CCB61FF63075A	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	12	qa/s04/poppler/fr/page-12.png	179539	D927A9ADFC846C77AB70D7A63D8A73D89817A4980D6A5AD72B1F79AFE3212924	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	13	qa/s04/poppler/fr/page-13.png	198394	9323724218C1893C949D50DB6FF69FE7D638EBD77DD69C647CBF984AD1D64BAC	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	14	qa/s04/poppler/fr/page-14.png	216546	57FCA86DF53738B6A7A3827A2F483F309A56AA414510692014A3F5A8EDD20B12	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	15	qa/s04/poppler/fr/page-15.png	136790	1769ECA03A3A155480FD377F7072FF31DA33F382B1BE75DBC77B9169EF13F8B5	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	16	qa/s04/poppler/fr/page-16.png	184529	CC41A2DDD855411DB914B9BF1E7651CCDD9D609987C7ED60F42E5CDC747E601A	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	17	qa/s04/poppler/fr/page-17.png	191326	C20C5C1F2DFFE4871FCB8152CB7A0B3ABBEA40994E297CCD2A77FC8A675527C2	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	18	qa/s04/poppler/fr/page-18.png	194803	D91A8B6D253077F44CF6DD74A3BEDC14EDB93EC0F3A06F45028964390A6C47F8	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	19	qa/s04/poppler/fr/page-19.png	170465	5663A9D498DC77DF3C982B1AF82EDED9F89A90E36EA333E7DED6768C56B5601E	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	20	qa/s04/poppler/fr/page-20.png	212899	BED8B88CC17D8D612CB37A05EF8BBDC6394EA6A05A01128F8C7C654799E9D28C	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	21	qa/s04/poppler/fr/page-21.png	215454	66F5C13F23C0EB54D4ABFEE53083AF1F454ADDB3C0989CE26DE478A8E03548A7	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	22	qa/s04/poppler/fr/page-22.png	202514	2A477AC2E62CE7DB33B4F31BC3C3ECFCFCC2610407C2732C38BA011BBBB96E4A	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	23	qa/s04/poppler/fr/page-23.png	148388	BE215A9C99E6ED11363B1CF1CD7FA6F50BFAEF39242FC9270C1748546CF04DC0	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
fr	24	qa/s04/poppler/fr/page-24.png	208602	4FA9FD2FDFF232C8F537DA7D62A742CC8355DB1EC32AE65984B93F13525AA49E	pdftoppm126dpi	RENDERED_WITHOUT_DIAGNOSTIC
