printed_page	full_pdf_page	scope_leaf	role	source_image	source_image_sha256	manual_record	scope_replay	author_reader_occurrences
63	80	1	REPRINT_TITLE_COPY_MATTER	qa/s04/source/p063_authority.png	32D625DA2574DA775DD0A1B5B0886688A4CDDAC5C89547C67CBD8B8C2EF6942E	qa/s04/MANUAL_COLD_COLLATION.json#/63	COMPLETE	0
64	81	2	BLANK_VERSO_COPY_MATTER	qa/s04/source/p064_authority.png	0AD148BD02E82973E103155B3638F3A92D84EEE8D5EB38C61EB682EEC75ABAA1	qa/s04/MANUAL_COLD_COLLATION.json#/64	COMPLETE	0
65	82	3	AUTHOR_TEXT_FRENCH	qa/s04/source/p065_authority.png	ABFDB52FFB44070B8D14934D730D52DBDAD95A7F67E26B3E6EDABBE8853BBB9B	qa/s04/MANUAL_COLD_COLLATION.json#/65	COMPLETE	1
66	83	4	AUTHOR_TEXT_FRENCH	qa/s04/source/p066_authority.png	DCC1AF44B7BE347C6880E6C1F5DAE82E51EB1898F5E99E2E53B0388A987CE573	qa/s04/MANUAL_COLD_COLLATION.json#/66	COMPLETE	1
67	84	5	AUTHOR_TEXT_FRENCH	qa/s04/source/p067_authority.png	E21BC7F3A766AF3416EE1273E8F83040EEDEE6045A05FC1A08757A376DAF8316	qa/s04/MANUAL_COLD_COLLATION.json#/67	COMPLETE	1
68	85	6	AUTHOR_TEXT_FRENCH	qa/s04/source/p068_authority.png	59D7F0EA265D477D1BEECF6D69C85B71E4CF6A4A276D3B1801929F5EF0EA38F8	qa/s04/MANUAL_COLD_COLLATION.json#/68	COMPLETE	1
69	86	7	AUTHOR_TEXT_FRENCH	qa/s04/source/p069_authority.png	7E61AC0B94D1FA45B4A0A238D9D880132F8D5C908731885ABF6FD94508B5BC0B	qa/s04/MANUAL_COLD_COLLATION.json#/69	COMPLETE	1
70	87	8	AUTHOR_TEXT_FRENCH	qa/s04/source/p070_authority.png	AE46FA315F0282E1079C57957CF916E1CAB777C7987B61E4ABB6446428EC010C	qa/s04/MANUAL_COLD_COLLATION.json#/70	COMPLETE	1
71	88	9	AUTHOR_TEXT_FRENCH	qa/s04/source/p071_authority.png	35040F61AE2C06CC82F713B787DCBAE539573BC39EE41D3B58FF0643D79FE165	qa/s04/MANUAL_COLD_COLLATION.json#/71	COMPLETE	1
72	89	10	AUTHOR_TEXT_FRENCH	qa/s04/source/p072_authority.png	A122FCD7CDBEFF93B3963E47E88444DF356B7A3D05EBF2E840FFB36F92C23DBD	qa/s04/MANUAL_COLD_COLLATION.json#/72	COMPLETE	1
