layer	font	embedded
fr	ZUPWXF+LMRoman10-Regular-Identity-H	True
fr	WASECJ+LMRomanCaps10-Regular-Identity-H	True
fr	PBKHCT+LMRoman10-Italic-Identity-H	True
fr	TRQWYX+CMMI10	True
fr	ICTVZJ+CMR8	True
fr	ZZKLOE+CMSY10	True
fr	LVLAPI+CMR10	True
fr	OAAVOB+CMMI6	True
fr	QVODVT+CMSY6	True
fr	UCDFGW+CMR6	True
fr	AVSCSU+CMSY8	True
fr	PSHEQC+CMMI8	True
fr	PAGDYW+CMEX10	True
fr	TXFXPS+CMMI9	True
fr	QFLWJI+CMSY9	True
fr	FDGOWT+CMR9	True
fr	KEBJUI+MSAM10	True
en	ZUPWXF+LMRoman10-Regular-Identity-H	True
en	WASECJ+LMRomanCaps10-Regular-Identity-H	True
en	PBKHCT+LMRoman10-Italic-Identity-H	True
en	TRQWYX+CMMI10	True
en	ICTVZJ+CMR8	True
en	ZZKLOE+CMSY10	True
en	LVLAPI+CMR10	True
en	OAAVOB+CMMI6	True
en	QVODVT+CMSY6	True
en	UCDFGW+CMR6	True
en	AVSCSU+CMSY8	True
en	PSHEQC+CMMI8	True
en	PAGDYW+CMEX10	True
en	TXFXPS+CMMI9	True
en	QFLWJI+CMSY9	True
en	FDGOWT+CMR9	True
en	KEBJUI+MSAM10	True
apparatus	ZUPWXF+LMRoman10-Regular-Identity-H	True
apparatus	WASECJ+LMRoman10-Bold-Identity-H	True
apparatus	PBKHCT+LMRoman10-Italic-Identity-H	True
apparatus	ICTVZJ+CMMI10	True
apparatus	ZZKLOE+CMR10	True
apparatus	LVLAPI+CMSY8	True
apparatus	OAAVOB+CMR8	True
apparatus	QVODVT+CMSY10	True
apparatus	TRQWYX+LMMono10-Regular-Identity-H	True
apparatus	UCDFGW+CMMI12	True
apparatus	AVSCSU+CMEX10	True
apparatus	PSHEQC+CMMI8	True
apparatus	PAGDYW+MSAM10	True
