book_page,source_pdf_page,image_file
1,19,page_images/book_p001_pdf_p019.png
2,20,page_images/book_p002_pdf_p020.png
3,21,page_images/book_p003_pdf_p021.png
4,22,page_images/book_p004_pdf_p022.png
5,23,page_images/book_p005_pdf_p023.png
6,24,page_images/book_p006_pdf_p024.png
7,25,page_images/book_p007_pdf_p025.png
8,26,page_images/book_p008_pdf_p026.png
9,27,page_images/book_p009_pdf_p027.png
10,28,page_images/book_p010_pdf_p028.png
11,29,page_images/book_p011_pdf_p029.png
12,30,page_images/book_p012_pdf_p030.png
13,31,page_images/book_p013_pdf_p031.png
14,32,page_images/book_p014_pdf_p032.png
15,33,page_images/book_p015_pdf_p033.png
16,34,page_images/book_p016_pdf_p034.png
17,35,page_images/book_p017_pdf_p035.png
18,36,page_images/book_p018_pdf_p036.png
19,37,page_images/book_p019_pdf_p037.png
20,38,page_images/book_p020_pdf_p038.png
21,39,page_images/book_p021_pdf_p039.png
22,40,page_images/book_p022_pdf_p040.png
23,41,page_images/book_p023_pdf_p041.png
24,42,page_images/book_p024_pdf_p042.png
25,43,page_images/book_p025_pdf_p043.png
26,44,page_images/book_p026_pdf_p044.png
27,45,page_images/book_p027_pdf_p045.png
28,46,page_images/book_p028_pdf_p046.png
29,47,page_images/book_p029_pdf_p047.png
30,48,page_images/book_p030_pdf_p048.png
31,49,page_images/book_p031_pdf_p049.png
32,50,page_images/book_p032_pdf_p050.png
33,51,page_images/book_p033_pdf_p051.png
34,52,page_images/book_p034_pdf_p052.png
35,53,page_images/book_p035_pdf_p053.png
36,54,page_images/book_p036_pdf_p054.png
37,55,page_images/book_p037_pdf_p055.png
38,56,page_images/book_p038_pdf_p056.png
39,57,page_images/book_p039_pdf_p057.png
40,58,page_images/book_p040_pdf_p058.png
41,59,page_images/book_p041_pdf_p059.png
42,60,page_images/book_p042_pdf_p060.png
43,61,page_images/book_p043_pdf_p061.png
44,62,page_images/book_p044_pdf_p062.png
45,63,page_images/book_p045_pdf_p063.png
46,64,page_images/book_p046_pdf_p064.png
47,65,page_images/book_p047_pdf_p065.png
48,66,page_images/book_p048_pdf_p066.png
49,67,page_images/book_p049_pdf_p067.png
50,68,page_images/book_p050_pdf_p068.png
51,69,page_images/book_p051_pdf_p069.png
52,70,page_images/book_p052_pdf_p070.png
53,71,page_images/book_p053_pdf_p071.png
54,72,page_images/book_p054_pdf_p072.png
55,73,page_images/book_p055_pdf_p073.png
56,74,page_images/book_p056_pdf_p074.png
57,75,page_images/book_p057_pdf_p075.png
58,76,page_images/book_p058_pdf_p076.png
59,77,page_images/book_p059_pdf_p077.png
60,78,page_images/book_p060_pdf_p078.png
61,79,page_images/book_p061_pdf_p079.png
62,80,page_images/book_p062_pdf_p080.png
63,81,page_images/book_p063_pdf_p081.png
64,82,page_images/book_p064_pdf_p082.png
65,83,page_images/book_p065_pdf_p083.png
66,84,page_images/book_p066_pdf_p084.png
67,85,page_images/book_p067_pdf_p085.png
68,86,page_images/book_p068_pdf_p086.png
69,87,page_images/book_p069_pdf_p087.png
70,88,page_images/book_p070_pdf_p088.png
71,89,page_images/book_p071_pdf_p089.png
72,90,page_images/book_p072_pdf_p090.png
73,91,page_images/book_p073_pdf_p091.png
74,92,page_images/book_p074_pdf_p092.png
75,93,page_images/book_p075_pdf_p093.png
76,94,page_images/book_p076_pdf_p094.png
77,95,page_images/book_p077_pdf_p095.png
78,96,page_images/book_p078_pdf_p096.png
79,97,page_images/book_p079_pdf_p097.png
80,98,page_images/book_p080_pdf_p098.png
81,99,page_images/book_p081_pdf_p099.png
82,100,page_images/book_p082_pdf_p100.png
83,101,page_images/book_p083_pdf_p101.png
84,102,page_images/book_p084_pdf_p102.png
85,103,page_images/book_p085_pdf_p103.png
86,104,page_images/book_p086_pdf_p104.png
87,105,page_images/book_p087_pdf_p105.png
88,106,page_images/book_p088_pdf_p106.png
89,107,page_images/book_p089_pdf_p107.png
90,108,page_images/book_p090_pdf_p108.png
