"TopRoot","FileCount","TotalBytes","PackagePathCount"
"""interlanguage-sidecar","11","359907","0"
"coordination","101","191049","0"
"docs","2","1302547","0"
"formalization","1","1462","0"
"handoff-bodies","12","125916","0"
"interlanguage-sidecar","930","518088979","7"
"language-source-bodies","428","1322739263","0"
"manifests","868","2691433","0"
"noether-slavic-handoff","1663","44677039","1662"
"noether-slavic-source-canon","511","23729152","0"
"noether-source-corpus-provenance","552","140655886","0"
"OTHER_AI_IMMEDIATE_LATEX_SOURCE_BODY_DIRECTIVE_20260704.md","1","3004","0"
"OTHER_AI_NATIVE_TEX_CORPUS_REQUIREMENT_20260705.md","1","2828","0"
"other-pc-coordination","2","7995","0"
"outputs","12","209707","0"
"publish_staging","1","36627","0"
"scripts","1","8669","0"
"session-pursued-goals","1","313","0"
"SOURCE_BODY_UPLOAD_QUEUE.md","1","4116","0"
"sources","269","86058264","0"
"transfer-audits","99","4006686","0"
"uploader-transfer","204","360078025","0"
"workflow","10","134411","0"
"zenodo-metadata","199","534510","0"
