"branch_head","row_id","topic","formula_neighboring_usage_note","interlinear_scaffold","owner_route","claim_boundary"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-001","proof reading and definition use","Often neighbors forall, exists, implies, iff, and named hypotheses.","GIVEN definition D + variables -> SHOW conclusion C","proof-literacy and language owner lanes","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-002","sets membership subset equality","Formula neighbors include x in A, A subset B, A = B, empty set, union, intersection.","OBJECT x -> MEMBER-OF set A; SET A -> INCLUDED-IN set B","set-theory and language owner lanes","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-003","relation/function boundary","Formula neighbors include R subset A x B, x R y, f: A -> B, f(x)=y, uniqueness quantifier.","RELATION: x R y allowed; FUNCTION: each x maps to one y","relation/function language owners; Session D for new construction method issues","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-004","domain codomain range image","Formula neighbors include f: A -> B, im(f), f(A), range(f), f^{-1}(S).","DECLARED INPUT A; DECLARED TARGET B; ATTAINED VALUES f(A)","relation/function language owners","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-005","injective surjective bijective family","Formula neighbors include f(x1)=f(x2), forall y in B exists x in A, bijection inverse.","INJECTIVE: outputs equal -> inputs equal; SURJECTIVE: target covered","relation/function language owners","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-006","relation properties equivalence order poset","Formula neighbors include xRx, xRy => yRx, xRy and yRz => xRz, xRy and yRx => x=y.","PROPERTY LIST + QUANTIFIER FORMULA -> RELATION CLASS","relation/function language owners","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-007","composition inverse arrow reading","Formula neighbors include g o f, g(f(x)), f^{-1}, id_A, A -> B -> C.","x --f--> f(x) --g--> g(f(x))","relation/function language owners","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-008","finite infinite equinumerosity","Formula neighbors include |A|=|B|, exists bijection f: A -> B, countable/infinite.","SAME-NUMBER-OF-ELEMENTS iff BIJECTION EXISTS","set-theory and relation/function language owners","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-009","OpenIntro numeracy to function bridge","Formula neighbors include y=f(x), table columns, rate units, regression/model notation.","CONTEXT VARIABLE x -> MEASURED/MODELED VALUE y","OpenIntro numeracy owner lane","formula-neighboring support only"
"b95298e74e5decaea4883db696b4859b474a2504","K-IL-010","linear map and abstract algebra extension","Formula neighbors include T(u+v)=T(u)+T(v), T(cu)=cT(u), ker(T), im(T).","MAP preserves operation/structure -> kernel/image record behavior","advanced algebra/Noether owner lane; Session D for novel construction method issues","formula-neighboring support only"
