concept_id,german_key,sense,ukrainian,russian,interslavic_latin,interslavic_cyrillic,evidence_channel,provenance,branch_breadth,status,adverse_or_hold
ring,Ring,associative algebraic ring,кільце,кольцо,kolco,колцо,"current exact unit; inherited corpus; Fable held-row note","R823 BOOK_TITLE_INTRO; INTERLINGUAL_CONCEPT_LEDGER; INTERSLAVIC_LEDGER_RETROFIT; FABLE_FINDINGS","qualitative cohort review only; no scalar sufficiency claim",active_corpus_primary_held_family,"Do not switch to prsten/pŕstėnj; the entire ring family is held pending Floris/external-authority review."
field,Körper,commutative field,поле,поле,polje,полье,"current exact unit; German-key concept join","R823 BOOK_TITLE_INTRO; concept ledger; retrofit ledger","East/West/South dependence must be reviewed by declared cohorts",active_context_sensitive,"Do not collapse with division-ring usage of Körper."
division_ring,Körper,noncommutative division ring,тіло,тело,tělo,тело,"current exact unit context","R823 §§20–22 table-of-contents context; concept ledger","contextual sense split; not a spelling vote",active_context_sensitive,"German homograph requires semantic routing; never mechanically map every Körper to field."
representation,Darstellung,algebra/module representation,зображення,представление,predstavjenje,представјенье,"current exact unit; historical corpus","R823 BOOK_TITLE_INTRO; concept ledger; retrofit ledger","ordinary target-language conventions plus qualitative Slavic bridge review",active,"Ukrainian and Russian are independent translations; Interslavic is not Russian/Ukrainian averaging."
representation_module,Darstellungsmodul,module carrying a representation,модуль зображення,модуль представления,modul predstavjenja,модул представјеньа,"current exact unit","R823 BOOK_TITLE_INTRO","sense-linked to representation node",active,"Keep reciprocal/direct qualifiers attached to the correct module concept."
splitting_field,Zerfällungskörper,field over which an algebra/representation splits,поле розщеплення,поле расщепления,razpadno polje,разпадно полье,"current exact unit; German-key join","R823 §8/§30 table-of-contents context; concept ledger","cohort breadth qualitative; no numeric auto-choice",active,"Do not confuse ordinary decomposition with the technical splitting-field concept."
crossed_product,verschränktes Produkt,crossed-product algebra,схрещений добуток,скрещённое произведение,skrěženy produkt,скрежены продукт,"current exact unit; older Post44 control witness","R823 §§26–28 table-of-contents context; old witness only as secondary evidence","technical term routed by concept and context",active,"Older witness supports terminology memory but not current-source completeness."
factor_system,Faktorensystem,factor set/system in crossed-product theory,фактор-система,фактор-система,faktorna sistema,факторна система,"current exact unit; older full §§23–31 witness","R823 §§23–29; old Post44 control witness; concept ledger","technical concept; cohort tree still required for bridge-language breadth",active,"Do not replace with later cohomology shorthand when Noether's factor-system argument is explicit."
reciprocal_representation,reziproke Darstellung,reciprocal representation,реципрокне зображення,реципрокное представление,recipročno predstavjenje,реципрочно представјенье,"current exact unit","R823 §1 title and introduction","target-language conventions checked independently",active,"Do not conflate with inverse element or dual/functor terminology without local context."
arbitrary,beliebig,unrestricted choice in mathematical prose,довільний,произвольный,libovoljny,либовольны,"current exact unit; bridge-register choice","R823 introduction","chosen as qualitative West/South-facing bridge form; no completeness claim",active,"A register-balancing choice is not evidence of community certification."
advantage,Vorzug,advantage/benefit in exposition,перевага,преимущество,prědnost,предност,"current exact unit; bridge-register choice","R823 introduction","qualitative bridge form; dependence tree declared separately",active,"Do not infer branch coverage from one surface form."
following,folgende,following/list-introducing adjective,такий / наступний,следующий,slědny,следны,"current exact unit; bridge-register choice","R823 introduction","qualitative bridge form",active,"Surface choice is contextual; no scalar decision."
establish_theory,aufstellen,elegantly formulate/establish a theory,побудувати,построить,ustanoviti,установити,"current exact unit; bridge-register choice","R823 introduction","qualitative bridge form",active,"Do not treat a cognate as proof of uniform comprehension."
case,Fall,mathematical/special case,випадок,случай,slučaj,случај,"current exact unit; Fable held-row note","R823 §31 title; FABLE_FINDINGS","held wording; current corpus form retained",active_held_wording,"Do not normalize or replace slučaj wording in any tranche without review."
simultaneously,gleichzeitig,citation/register candidate row,одночасно,одновременно,odnovrěmenno,одновременно,"Fable gated Tranche 002 evidence","FABLE_TRANCHE_001_EXECUTABLE_SPEC; FABLE_FINDINGS","not evaluated in this unit",gated_not_applied,"Candidate jednočasno is accepted for a separate reviewed tranche only after Floris sign-off."
correspond,entsprechen,citation/register candidate family,відповідати,соответствовать,sootvětstvovati-family,соответствовати-family,"Fable gated Tranche 002 evidence","FABLE_TRANCHE_001_EXECUTABLE_SPEC; FABLE_FINDINGS","not evaluated in this unit",gated_not_applied,"Candidate odpovědati-family is prohibited here until the separate signed-off tranche."
step,Schritt,citation/register candidate row,крок,шаг,korak,корак,"Fable gated Tranche 002 evidence","FABLE_TRANCHE_001_EXECUTABLE_SPEC; FABLE_FINDINGS","not evaluated in this unit",gated_not_applied,"Candidate krok is prohibited here until the separate signed-off tranche."
order_row,ręd,held register/homograph row,,,ręd,ред,"Fable held-row evidence","FABLE_FINDINGS; normalization decision ledger","homograph/context audit required",held,"Touch in no tranche; pan-verdict prohibited without context and authority review."
equally_or_however,jednako,held cross-language homograph row,,,jednako,једнако,"Fable held-row evidence","FABLE_FINDINGS; normalization decision ledger","Polish/Croatian sense collision explicitly requires cohort/context audit",held,"Never infer a pan-Slavic sense mechanically."
weigh_or_hold,važiti,held polysemy/register row,,,važiti,важити,"Fable held-row evidence","FABLE_FINDINGS; normalization decision ledger","context and cohort audit required",held,"Touch in no tranche."
