"normalization_id","source_witness_candidate_id","lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","current_access_status","content_type","sha256_or_other_hash","byte_count","source_language","license_or_access_signal","source_package_status","intake_disposition","master_table_action","local_path","upload_policy","gap_or_blocker_note","next_source_action","non_claim_boundary"
"R7JQMA001","R7FUP008","Malay-Indonesian","Malaysian Malay","JQMA Volume 21 Issue 2 article listing: Perfect Codes in Graph Theory: A Ring-Theoretic Perspective / Kod-kod Sempurna dalam Teori Graf: Perspektif Teori Gelanggang","JQMA / Universiti Kebangsaan Malaysia","ring theory;graph theory;perfect codes;Malay parallel title;Malaysian specialist witness","C_HTML_REMOTE_HASHED_NEW_CANDIDATE_RECHECKED","remote HTML issue page hashed in memory only","https://www.ukm.my/jqma/jqma21-2/","200","text/html; charset=UTF-8","current_remote_sha256:429A5A71B782B372115288BC75CD82D8D417C93AF8B0BFB1B19D8E7ED1CAAFF6; earlier_intake_sha256:817C5CF32C6364CED5534ED996D9BEEAB3563D56ED37645F8BE9DBCAA5EF6439; HTML appears dynamic","49791","English listing with Malay parallel title","Issue page public; site copyright notice; no license clearance claimed","no_source_package_on_issue_page; PDF links only","candidate_for_master_witness_table_after_metadata_normalization","defer_master_table_add_until_metadata_and_source_package_gap_are_recorded","remote_hash_only_no_local_payload","manifest_only_remote_hash_no_payload","Issue HTML confirms title, Malay parallel title, authors, date, pages, abstract/full-paper links; current HTML hash differs from earlier intake, so treat HTML hash as access snapshot not stable payload hash.","Keep issue page as route/provenance row; prefer stable PDF hashes for document identity.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA002","R7FUP009","Malay-Indonesian","Malaysian Malay","Perfect Codes in Graph Theory: A Ring-Theoretic Perspective abstract PDF","Nurhidayah Zaid; Nor Haniza Sarmin; Sanhan Muhammad Salih Khasraw; Ibrahim Gambo","ring theory;graph theory;perfect codes;Malay abstract;zero-divisor graph;finite matrix rings","C_PDF_REMOTE_HASHED_NEW_CANDIDATE_RECHECKED","remote PDF abstract hashed in memory only","https://www.ukm.my/jqma/wp-content/uploads/2025/06/Abstract_11.pdf","200","application/pdf","72C98A51F4F6157995F9E6C0419E856327D9F9898CADC63CCEC0762EA0C7C565","87845","English article metadata with Malay title/abstract signal","Public JQMA PDF route; JQMA ethics page gives CC BY 4.0 author-license signal, but no license clearance claimed","no_tex_or_article_source_package_found_in_followup_searches","candidate_for_master_witness_table_after_metadata_normalization","candidate_for_master_table_as_remote_hashed_pdf_fallback_after_normalized_license_signal","remote_hash_only_no_local_payload","manifest_only_remote_hash_no_payload","Abstract PDF supplies DOI, received/accepted dates, affiliations, and Malay abstract text; no TeX/source archive captured.","Use as stable metadata/abstract fallback witness; continue source-package search before any source-level claim.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA003","R7FUP010","Malay-Indonesian","Malaysian Malay","Perfect Codes in Graph Theory: A Ring-Theoretic Perspective full paper PDF","Nurhidayah Zaid; Nor Haniza Sarmin; Sanhan Muhammad Salih Khasraw; Ibrahim Gambo","ring theory;graph theory;perfect codes;zero-divisor graph;finite rings of matrices;GAP code in article","C_PDF_REMOTE_HASHED_NEW_CANDIDATE_RECHECKED","remote PDF full paper hashed in memory only","https://www.ukm.my/jqma/wp-content/uploads/2025/06/Paper_11.pdf","200","application/pdf","72CFA07DBC482140F28B639CA942A523AF05814CB81BC563F603BD8C3A8E1CB5","326549","English article with Malay parallel title/abstract signal","Public JQMA PDF route; JQMA ethics page gives CC BY 4.0 author-license signal, but no license clearance claimed","no_tex_or_article_source_package_found_in_followup_searches; article includes GAP script text but no separate source package captured","candidate_for_master_witness_table_after_metadata_normalization","candidate_for_master_table_as_remote_hashed_pdf_fallback_after_source_package_gap_recorded","remote_hash_only_no_local_payload","manifest_only_remote_hash_no_payload","Full paper is a strong Malaysian Malay fallback witness for ring-theory terminology via Malay title/abstract, but remains PDF fallback and not source-level TeX.","Record in future master/addendum table only as remote-hashed PDF fallback with explicit source-package gap and no license-clearance claim.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA004","R7FUP008","Malay-Indonesian","Malaysian Malay","JQMA About the Journal: scope and language policy","JQMA / Universiti Kebangsaan Malaysia","journal scope;algebra;graph theory;Malay/English publication language;peer review","C_HTML_REMOTE_HASHED_POLICY_ROUTE","remote HTML policy page hashed in memory only","https://www.ukm.my/jqma/about-journal/","200","text/html; charset=UTF-8","A99AF63525E77B104B05EA29F8C93CE0A3995FF0AE66D08A31E25743962D67E3","37844","English policy page mentioning English or Malay manuscripts","Public JQMA policy page; no license clearance claimed","journal_policy_not_article_source_package","policy_support_for_candidate_context","do_not_add_to_master_as_mathematical_witness; keep as policy/access sidecar","remote_hash_only_no_local_payload","manifest_only_remote_hash_no_payload","About page supports journal scope and language policy, including algebra/graph theory and English/Malay manuscripts, but is not a mathematical source witness itself.","Use as sidecar evidence for why the JQMA article is in-scope; do not use as term authority.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA005","R7FUP008","Malay-Indonesian","Malaysian Malay","JQMA Guide for Authors: templates, copyright, and submission format","JQMA / Universiti Kebangsaan Malaysia","journal template;LaTeX template;copyright;Malay/English title/abstract policy","C_HTML_REMOTE_HASHED_POLICY_ROUTE","remote HTML author-guidelines page hashed in memory only","https://www.ukm.my/jqma/guidelines/","200","text/html; charset=UTF-8","55BD9D0800FEAD84BD7518AD4EC3A7762EAACDE7C52A54A6B7207501644F184A","39915","English policy page mentioning Malay/English author requirements","Public JQMA author-guide page; copyright section says JQMA is rightful owner of any published article; no license clearance claimed","journal_latex_template_exists_but_not_article_source_package","policy_support_for_candidate_context","do_not_add_to_master_as_mathematical_witness; keep as policy/access sidecar","remote_hash_only_no_local_payload","manifest_only_remote_hash_no_payload","Guide page has LaTeX template route but no article TeX/source package; it also gives copyright/proofing signals that require conservative reuse handling.","Use as policy sidecar; keep article source-package status as not found.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA006","R7FUP008","Malay-Indonesian","Malaysian Malay","JQMA Ethics Statement: permission/copyright and CC BY 4.0 signal","JQMA / Universiti Kebangsaan Malaysia","publication ethics;copyright;CC BY 4.0 signal;author posting rights","C_HTML_REMOTE_HASHED_LICENSE_SIGNAL_ROUTE","remote HTML ethics/license page hashed in memory only","https://www.ukm.my/jqma/ethics-statement/","200","text/html; charset=UTF-8","527F51CB9EFF5722B01FCDFB786356735B21C219580D06936325B5B69B207455","68736","English policy page","JQMA ethics page says authors retain copyright and grant first publication under CC BY 4.0; no lane license clearance claimed","license_signal_only_not_article_source_package","license_access_sidecar_for_candidate","record_license_signal_but_do_not_claim_clearance","remote_hash_only_no_local_payload","manifest_only_remote_hash_no_payload","Ethics page supplies a useful license signal for published articles, but the lane still must avoid blanket license clearance and source-body upload.","Carry as license/access signal sidecar for JQMA candidate rows.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA007","R7FUP010","Malay-Indonesian","Malaysian Malay","MALRep bibliographic record for Perfect Codes in Graph Theory","MALRep Discovery Service / Malaysian Academic Library Institutional Repository","bibliographic metadata;UKM repository pointer;article route;ring theory","BIBLIOGRAPHIC_METADATA_REMOTE_HASHED","remote HTML bibliographic page hashed in memory only","https://malrep.uum.edu.my/vufind/Record/my-ukm.journal.26345","200","text/html; charset=UTF-8","DF13B54902CFEB117CBD974DBF9533FE9D5C65A358D3B7E23FFE861F285DFFA0","36599","English bibliographic metadata","MALRep bibliographic page lists article metadata and online access; page footer says UUM copyright; no license clearance claimed","bibliographic_pointer_only; not source package","secondary_bibliographic_route","preserve_as_metadata_sidecar_not_master_witness_body","remote_hash_only_no_local_payload","manifest_only_remote_hash_no_payload","MALRep confirms article metadata and points to journalarticle.ukm.my and JQMA, but is a bibliographic pointer, not an article source package.","Use for discovery and alternate route tracking; prefer JQMA PDF hashes for document identity.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA008","R7FUP010","Malay-Indonesian","Malaysian Malay","UKM journalarticle repository route for Perfect Codes in Graph Theory","UKM journalarticle repository","repository route;article PDF route;access blocker","ACCESS_BLOCKER","remote repository/PDF route probe","http://journalarticle.ukm.my/26345/ ; http://journalarticle.ukm.my/26345/1/Paper_11%20-.pdf ; https://journalarticle.ukm.my/26345/ ; https://journalarticle.ukm.my/26345/1/Paper_11%20-.pdf","ERR_TIMEOUT_HTTP_AND_HTTPS","ERR","connection_attempt_failed_timeout_for_repository_and_pdf_routes","ERR","English bibliographic route expected from MALRep","MALRep lists these as online access routes; direct HTTP/HTTPS probes timed out; no license clearance claimed","repository_route_blocked; no source package captured","explicit_gap_or_blocker_row","preserve_as_access_blocker_and_retry_route","not_downloaded_access_blocked","manifest_only_no_raw_source_body_payload_for_language_lane","Direct UKM journalarticle repository and PDF routes timed out in current probe despite MALRep listing them as online access.","Retry later; do not replace JQMA PDF route with unavailable repository URL.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA009","R7FUP010","Malay-Indonesian","Malaysian Malay","ResearchGate mirror for Perfect Codes in Graph Theory","ResearchGate / author-upload mirror","secondary metadata;mirror;DOI;article visibility","SECONDARY_METADATA_NOT_SOURCE_PACKAGE","web search/open metadata only","https://www.researchgate.net/publication/397333563_PERFECT_CODES_IN_GRAPH_THEORY_A_RING-THEORETIC_PERSPECTIVE","web_open_seen","text/html_search_result","not_hashed_secondary_dynamic_page","not_hashed","English article page with article text snippets and metadata","ResearchGate says author content and content may be subject to copyright; no license clearance claimed","secondary_mirror_not_source_package","secondary_false_positive_or_fallback_not_authority","preserve_as_discovery_pointer_only","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","ResearchGate confirms DOI and metadata but is secondary/dynamic and not an official source package.","Use only as discovery/metadata pointer if official JQMA access changes.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7JQMA010","R7FUP010","Malay-Indonesian","Malaysian Malay","Applied Algebra and Analysis Group indexed listing","Applied Algebra and Analysis Group / UTM","author-group bibliography;ring theory;publication list","BIBLIOGRAPHIC_METADATA_WEB_OPEN","web open metadata only","https://science.utm.my/aaag/indexed/","web_open_seen","text/html","not_hashed_this_pass","not_hashed","English bibliography listing","Public author-group bibliography; no license clearance claimed","bibliographic_pointer_only; not source package","secondary_bibliographic_route","preserve_as_metadata_sidecar_not_master_witness_body","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","AAAG listing confirms the article in a 2025 indexed-publication list, but supplies no article source package.","Use as author/group provenance sidecar only.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
