"row_id","path","class","r7_path_signal","r7_source_evidence","source_use_decision"
"6034-PATH-0001","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/B3_HANDOFF_SENT_19B2AB4B.md","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0002","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/B3_PACKAGE_CSV_ROW_COUNTS_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0003","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/B3_PACKAGE_VISIBILITY_ROWS_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0004","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_COMMITS_761BEC88_TO_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0005","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_FILES_761BEC88_TO_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0006","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_SUMMARY_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0007","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/EXACT_BLOCKER_RECOVERY_ROWS_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0008","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/MANIFEST.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0009","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/PACKET_MANIFEST_REPLAY_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0010","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/README.md","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0011","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/SHA256SUMS.txt","coordination_route_context","false","false","route/context only for R7"
"6034-PATH-0012","coordination/non-slavic-core-19b2ab4b-761-branch-visibility-route-20260707/NON_SLAVIC_CORE_19B2AB4B_761_BRANCH_VISIBILITY_ROUTE_20260707/SIBLING_WAKE_LEDGER_19B2AB4B.csv","coordination_route_context","false","false","route/context only for R7"
