"source_ledger_class","key","exact_path_or_candidate","source_use_status","allowed_or_decision","blocked_or_adverse","applied_8f7_standard_ids","post_8f7_decision"
"source_use","language-source-bodies-indigenous-creole-sign-local","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\language-source-bodies\indigenous-creole-sign","source_canon_or_recovery_state_only","provenance/source-body/source-start audit; B3 package routing; reviewer/source-owner next actions","translation, pilot, visual inventory, term spine, source certification, accepted terminology, approval, license clearance, final status","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","cycle8-source-body-visible-package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-body-visible-package-cycle8-20260706","source_canon_or_recovery_state_only","provenance/source-body/source-start audit; B3 package routing; reviewer/source-owner next actions","translation, pilot, visual inventory, term spine, source certification, accepted terminology, approval, license clearance, final status","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","cycle9-ethics-authority-source-start","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-ethics-authority-source-start-cycle9-20260706","source_canon_or_recovery_state_only","provenance/source-body/source-start audit; B3 package routing; reviewer/source-owner next actions","translation, pilot, visual inventory, term spine, source certification, accepted terminology, approval, license clearance, final status","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","cycle10-source-archive-content-audit","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-source-archive-content-audit-cycle10-20260706","source_canon_or_recovery_state_only","provenance/source-body/source-start audit; B3 package routing; reviewer/source-owner next actions","translation, pilot, visual inventory, term spine, source certification, accepted terminology, approval, license clearance, final status","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","cycle11-branch-visibility-reconciliation","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\r6-branch-visibility-reconciliation-cycle11-20260706","source_canon_or_recovery_state_only","provenance/source-body/source-start audit; B3 package routing; reviewer/source-owner next actions","translation, pilot, visual inventory, term spine, source certification, accepted terminology, approval, license clearance, final status","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","cycle12-b3-route-authority-blockers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_B3_BRANCH_ROUTE_AND_AUTHORITY_BLOCKERS_20260706","source_canon_or_recovery_state_only","provenance/source-body/source-start audit; B3 package routing; reviewer/source-owner next actions","translation, pilot, visual inventory, term spine, source certification, accepted terminology, approval, license clearance, final status","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","access-source-start-payload","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_ACCESS_SOURCE_START_PAYLOAD_20260706","source_canon_or_recovery_state_only","provenance/source-body/source-start audit; B3 package routing; reviewer/source-owner next actions","translation, pilot, visual inventory, term spine, source certification, accepted terminology, approval, license clearance, final status","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","blocker_ethics_rows_no_gate_promotion","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","cycle8_generated_ledger_no_authority_claim","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","local_source_body_for_provenance_review_no_reuse_clearance","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","native_community_source_body_index_no_authority_claim","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","ocr_witness_separate_not_source_truth","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
"source_use","pointer_only_material_not_corpus","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","8F7D-STANDARD-01; 8F7D-STANDARD-02; 8F7D-STANDARD-03; 8F7D-STANDARD-04; 8F7D-STANDARD-07","carry forward as source-use/adverse-evidence control; no term promotion, source certification, or completion"
