"map_id","scope","evidence_path","sha256","source_use_label","route_status","required_next_action","applied_8f7_authority_gate","permitted_r6_use","blocked_claims","authority_boundary"
"R6-AUTH-MAP-001","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/native-community-evidence/NATIVE_COMMUNITY_EVIDENCE_INDEX.csv","a6dc78d6945c7f4839507c7b22d0214ac6dc2aa28421b277922fc28b6b5e3276","native_community_source_body_index_no_authority_claim","index_only_no_consent_or_authority_claim","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no native/community consent; no approval; no accepted terminology; no gate promotion","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-002","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_ACCESS_AUTHORITY_MAP_20260704.md","8ba54a57b701b5480257ce07bcc9cba20d53d6e6d72ce2fb5ea4002f752cc257","reviewer_authority_evidence_no_return_approval","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no native/community consent; no approval; no accepted terminology; no gate promotion","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-003","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_GATE_STATE_20260704.json","7678cb1e967d6ad89ee2b937f1645ca9e40b570d2fc28026ebb818d305826a84","reviewer_authority_evidence_no_return_approval","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no native/community consent; no approval; no accepted terminology; no gate promotion","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-004","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_REVIEWER_ROUTE_PREPARATION_SLICE_03_20260704.md","92dacfa675e4517d4003e1c702b10a69cb7e40883608bd819b74688b24c5adde","reviewer_authority_evidence_no_return_approval","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no native/community consent; no approval; no accepted terminology; no gate promotion","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-005","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/NOETHER_R6_SOURCE_REVIEWER_ETHICS_MATRIX_20260704.csv","9a8a581d913ff6022610a40e0b6e9494a5d7e154e18e210cab5cb5ab518e2a05","reviewer_authority_evidence_no_return_approval","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no native/community consent; no approval; no accepted terminology; no gate promotion","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-006","reviewer_authority_route","outputs/r6-source-body-visible-package-cycle8-20260706/reviewer-authority-evidence/REVIEWER_RETURN_STATUS.csv","d8e16360639599ec785dbdbada4555ac2c3ae7384cd5b58e988c568517265c3a","reviewer_authority_evidence_no_return_approval","route_preparation_or_gate_state_only_no_return_approval","obtain explicit reviewer/source-owner return before authority promotion or downstream draft support","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no native/community consent; no approval; no accepted terminology; no gate promotion","route evidence only; no native/community/source-owner approval or canonical status claim"
"R6-AUTH-MAP-007","reviewer/source-owner returns","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","","blocker_authority_row_no_gate_promotion","route evidence exists, but no reviewer/source-owner return approval","obtain explicit reviewer/source-owner returns before authority promotion","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no community consent; no native review; no accepted terminology; no approval; no license clearance; no gate promotion; no source certification; no final status; no translation completion","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-008","native/community authority","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/REVIEWER_AUTHORITY_ROUTE_LEDGER.csv","","blocker_authority_row_no_gate_promotion","index is not community consent or source authority","separate source-body provenance from community authority/consent route","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no community consent; no native review; no accepted terminology; no approval; no license clearance; no gate promotion; no source certification; no final status; no translation completion","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-009","Ecuador Kichwa CNIB","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","","blocker_authority_row_no_gate_promotion","probe metadata only; source body still insufficient","retry official CNIB body route and source-owner path","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no community consent; no native review; no accepted terminology; no approval; no license clearance; no gate promotion; no source certification; no final status; no translation completion","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-010","Paraguay Guarani/PRODEPA","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","","blocker_authority_row_no_gate_promotion","route/probe only; no Guarani mathematics source body","retry MEC/PRODEPA routes and alternate official indexes","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no community consent; no native review; no accepted terminology; no approval; no license clearance; no gate promotion; no source certification; no final status; no translation completion","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-011","DGS/ASL/LSQ sign/access","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","","blocker_authority_row_no_gate_promotion","metadata/HTML/JSON only; no media/source-owner clearance","complete media/source-owner permission and accessibility review before visual inventory or sign rendering","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no community consent; no native review; no accepted terminology; no approval; no license clearance; no gate promotion; no source certification; no final status; no translation completion","blocker row for B3/reviewer route; not a closure or permission"
"R6-AUTH-MAP-012","Aymara/Quechua OCR/Unicode","outputs/r6-ethics-authority-source-start-cycle9-20260706/ledgers/OCR_UNICODE_SOURCE_RETURN_LEDGER.csv","","blocker_authority_row_no_gate_promotion","OCR witness is not source truth; Unicode/orthography/source-PDF return pending","source-PDF comparison and reviewer route before reuse","authority-boundary/no-review/no-approval gate","reviewer/source-owner route preparation and blocker evidence only","no community consent; no native review; no accepted terminology; no approval; no license clearance; no gate promotion; no source certification; no final status; no translation completion","blocker row for B3/reviewer route; not a closure or permission"
