concept_id,source_unit_id,language_tag,script_profile,term_form,register,sense_window,excluded_senses,trap_class,basin_membership,evidence_channel,source_provenance,dominant_standard_risk,dominance_debt_note,underrepresented_cohort_effect,decision_status,review_status,decision_record_path
NOE-PERFECT-FIELD,NOE-P25-U023,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,完全域,PRC algebra,A field all of whose algebraic extensions are separable.,完备域; 代数闭域; 完美域,false_friend,modern_sino_xenic_coinage_or_calque,support,03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter8.tex@365D36BB26F16D6679169C338934EB0404C29282DA568F3F1916663A6808C6D4#L589-L610; 03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter10.tex@DAE0D60D2319F62112EA1361BC567C4B0758A805E14AEA06BE4C71DD10B26489#L1388-L1390,risk,Positive lexical evidence is PRC Simplified dominated; no Singapore or regional Hant authorization; no numeric readiness scalar.,potentially_distorted,internally_reviewed_for_use,context_and_sense_checked_internal,decisions/NOE-P25-PERFECT-FIELD.zh-Hans-CN.json
NOE-TRANSCENDENCE-DEGREE,NOE-P25-U022/U023,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,超越次数,PRC field theory,The cardinality of a transcendence basis of a field extension.,polynomial degree; finite extension degree; 超越度,unsupported_competitor,modern_sino_xenic_coinage_or_calque,support,03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter8.tex@365D36BB26F16D6679169C338934EB0404C29282DA568F3F1916663A6808C6D4#L925-L926,risk,Positive lexical evidence is PRC Simplified dominated; no Singapore or regional Hant authorization; no numeric readiness scalar.,potentially_distorted,internally_reviewed_for_use,context_and_sense_checked_internal,decisions/NOE-P25-TRANSCENDENCE-DEGREE.zh-Hans-CN.json
NOE-POLYNOMIAL-RING,NOE-P25-U020/U031,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,多项式环,PRC commutative algebra,"The ring P[x_1,...,x_n] of polynomials over P.",整环域; 多项式域; field,object_type_collision,modern_sino_xenic_coinage_or_calque,support,03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/lbwang__CINTA-cn/CINTA-cn-master/sessions/13-polynomials.tex@36CF87F693FB39A9E70A4CDCD37F982B4D17E016330AAD518026145671F4DBDA#L76-L77,risk,Positive lexical evidence is PRC Simplified dominated; no Singapore or regional Hant authorization; no numeric readiness scalar.,potentially_distorted,internally_reviewed_for_use,context_and_sense_checked_internal,decisions/NOE-P25-POLYNOMIAL-RING.zh-Hans-CN.json
NOE-IDEAL-GENERATORS,NOE-P25-U020/U024,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,一组有限生成元,PRC commutative algebra,A finite set f_i such that every ideal element is a sum of A_i f_i.,linear basis; free basis; Gröbner basis; integral basis,basis_generator_collision,modern_sino_xenic_coinage_or_calque,support,03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter7.tex@18C0F3C91DB7F3E4D73FB0B79E4BC719F70475E83AF3123F4B0DD0FD4E2CCEE6#L470,risk,Positive lexical evidence is PRC Simplified dominated; no Singapore or regional Hant authorization; no numeric readiness scalar.,potentially_distorted,internally_reviewed_for_use,context_and_sense_checked_internal,decisions/NOE-P25-IDEAL-GENERATORS.zh-Hans-CN.json
NOE-PRIME-IDEAL,NOE-P25-U021/U022,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,素理想,PRC commutative algebra,A proper ideal p such that ab in p implies a in p or b in p.,prime element; 质理想,local_standard_variant,modern_sino_xenic_coinage_or_calque,support,03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter5.tex@E747D16B2EBACC95CF1C34DA4BC8B7775A5ED8787B6D1EDC2CC8E303535AC143#L297-L300,risk,Positive lexical evidence is PRC Simplified dominated; no Singapore or regional Hant authorization; no numeric readiness scalar.,potentially_distorted,internally_reviewed_for_use,context_and_sense_checked_internal,decisions/NOE-P25-PRIME-IDEAL.zh-Hans-CN.json
NOE-PRIMARY-IDEAL,NOE-P25-U021,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,准素理想,PRC commutative algebra,An ideal q such that ab in q and a not in q imply b^m in q for some m.,prime ideal; original ideal,concept_collision,modern_sino_xenic_coinage_or_calque,support,03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/chinese/ecnu_commutative_algebra_book_main.pdf@C84AC610F21076DF2EC3AB6737D0713D1C84D3A84B38D2FAC42EAFEB3760C862#PDF-pp21-22,risk,Positive lexical evidence is PRC Simplified dominated; no Singapore or regional Hant authorization; no numeric readiness scalar.,potentially_distorted,internally_reviewed_for_use,context_and_sense_checked_internal,decisions/NOE-P25-PRIMARY-IDEAL.zh-Hans-CN.json
NOE-ASSOCIATED-PRIME,NOE-P25-U021,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,关联素理想,historical ideal theory,"For primary q, the unique prime p=sqrt(q), with q subseteq p and p^m subseteq q.",arbitrary prime divisor; unqualified modern module associated prime,historical_label,mixed_or_contested,candidate,source/Noether_Paper25_German_P31_logical_article_LF.tex@381C47012803A098CB22F50FFC7976478ED7A148AA5BAEB291D2D8AA07B2084C#L31; 03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/chinese/ecnu_commutative_algebra_book_main.pdf@C84AC610F21076DF2EC3AB6737D0713D1C84D3A84B38D2FAC42EAFEB3760C862#PDF-pp21-22,risk,Exact radical-prime sense is supported; exact historical Chinese label is thinner; no Singapore or Hant cohort authorization.,potentially_distorted,candidate_after_context_check,context_and_sense_checked_internal,decisions/NOE-P25-ASSOCIATED-PRIME.zh-Hans-CN.json
NOE-PRIME-FUNCTION,NOE-P25-U010/U011/U023,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,素函数,historical polynomial theory,Noether's historical label for a polynomial irreducible over P.,analytic function; prime-counting function; prime field,historical_label,mixed_or_contested,candidate,source/Noether_Paper25_German_P31_logical_article_LF.tex@381C47012803A098CB22F50FFC7976478ED7A148AA5BAEB291D2D8AA07B2084C#L16-L24,risk,Source-tethered form; no independent exact PRC historical-label witness; no Singapore or Hant authorization.,potentially_distorted,held,source_tethered_internal_pending_independent_target_evidence,decisions/NOE-P25-PRIME-FUNCTION.zh-Hans-CN.json
NOE-ZERO-FIELD,NOE-P25-U012/U022,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,零点域,historical field theory,"An extension P(alpha) or P(alpha_1,...,alpha_n) generated by a zero of the polynomial or prime ideal.",residue field before isomorphism; universal splitting-field sense,historical_label,mixed_or_contested,candidate,source/Noether_Paper25_German_P31_logical_article_LF.tex@381C47012803A098CB22F50FFC7976478ED7A148AA5BAEB291D2D8AA07B2084C#L23-L40,risk,Source-tethered form; no independent exact PRC historical-label witness; no Singapore or Hant authorization.,potentially_distorted,held,source_tethered_internal_pending_independent_target_evidence,decisions/NOE-P25-ZERO-FIELD.zh-Hans-CN.json
NOE-GALOIS-EXTENSION,NOE-P25-U013/U023,zh-Hans-CN,Hans; PRC-oriented internal mathematical orthography,伽罗瓦扩张域,controlled modern algebra,The extension in which the relevant irreducible polynomial or norm splits into linear factors.,finite field; Galois group; arbitrary extension field,finite_field_attractor,mixed_or_contested,candidate,source/Noether_Paper25_German_P31_logical_article_LF.tex@381C47012803A098CB22F50FFC7976478ED7A148AA5BAEB291D2D8AA07B2084C#L25-L44,risk,Eponym plus explicit extension marker is source-controlled; no independent Singapore or Hant cohort evidence.,potentially_distorted,candidate_after_context_check,context_and_sense_checked_internal,decisions/NOE-P25-GALOIS-EXTENSION.zh-Hans-CN.json
