"sidecar","row_count","csv","csv_sha256","json","json_sha256"
"arabic_rtl_gate_matched_intake","78","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\arabic_rtl_gate_matched_intake_20260704T054029Z.csv","7A9C0F4108A8F6206C45A47E60BC22ED35DB6CA3FBF5DE89A01217C37FCAA919","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\arabic_rtl_gate_matched_intake_20260704T054029Z.json","2318D0D4325AE51046EAA53555A296F098D33BA15BA2D30F389BC43889872DFA"
"persian_farsi_gate_matched_intake","83","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\persian_farsi_gate_matched_intake_20260704T054029Z.csv","D36955E1A77BFE968C359E6C4E6DE9D14206238023A1B704017A28C94FCEFBFB","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\persian_farsi_gate_matched_intake_20260704T054029Z.json","E70B85931E55AEB847F3D7F169D64CA2C005985A309C7D8872CE7A04EACF3552"
"dari_afghan_gate_matched_intake_separate","18","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\dari_afghan_gate_matched_intake_separate_20260704T054029Z.csv","A33CBCB3977C66741D78C5C5765FA072F85568DC710B3099E039B6A077A04307","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\dari_afghan_gate_matched_intake_separate_20260704T054029Z.json","9640F5D017391315D9F4AC616CA461F6ED15C3E0074DCD9556487E4BBE55ECD9"
"tajik_cyrillic_gate_matched_intake_separate","12","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\tajik_cyrillic_gate_matched_intake_separate_20260704T054029Z.csv","ABF8D54EE4D3CC88EB30E76BD49A85A83AA0101ECFB137C7252910F7631C82D2","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\tajik_cyrillic_gate_matched_intake_separate_20260704T054029Z.json","A0389FD959B5917B7AA905DBB0F0873A4D9DB26592324E232A4A979F90A18E40"
"persianate_gate_matched_sublane_index_no_merge","113","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\persianate_gate_matched_sublane_index_no_merge_20260704T054029Z.csv","813727C9C0859A6E3ECEA408BBCC41DE9D330FC41876D10AE2A1D55665CFAD15","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\persianate_gate_matched_sublane_index_no_merge_20260704T054029Z.json","06E44178764284E6F7940764AF5260F4C35078385B457BC6ED0AC9941493C6D0"
"arabic_persianate_direct_overlap_review_only","44","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\arabic_persianate_direct_overlap_review_only_20260704T054029Z.csv","BC63126DA1283E827DDD088F39998258F4EED157DAE335B7CDC7164562646534","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\arabic_persianate_direct_overlap_review_only_20260704T054029Z.json","7C9E4C01B78B2D90984C72F6C3FC3B8571207C69FF932CC9D0A951670938045C"
"bridge_candidate_comparator_only_separate","78","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\bridge_candidate_comparator_only_separate_20260704T054029Z.csv","1174F9E2476A732BA9107A6D6415BAE02CD0E05932E1DEA1FDEC2959CF0B789D","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\bridge_candidate_comparator_only_separate_20260704T054029Z.json","17A3334679B961A96854C490942EBF8AEF32306EBEE82A688E43F689CA4C4C37"
"adjacent_linear_algebra_review_only_separate","51","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\adjacent_linear_algebra_review_only_separate_20260704T054029Z.csv","ABBA8A5A1329CD8C6D41BC1E38C0F87B11F8DC229DF2F843E8FFCD36B45E0CB8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\adjacent_linear_algebra_review_only_separate_20260704T054029Z.json","2FED93D55A9C192828A3320AB16A3230129AAFCDE01BD6CE7520CB0848B83CD4"
"blocked_or_nonconsumable_source_notes","71","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\blocked_or_nonconsumable_source_notes_20260704T054029Z.csv","AA7C1C59B4478D053250B89EBED176DB3B890F8B42BBE2C2BF9475327391797B","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\blocked_or_nonconsumable_source_notes_20260704T054029Z.json","8F8583BB58535C38AAEC5138C48877799419CD17D113E39F591072F9D68A6457"
"unmatched_material_separate_exact_notes","71","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\unmatched_material_separate_exact_notes_20260704T054029Z.csv","0AD692C7079A8BDC748E0686A473805A1425236E61861983E2EA7DD4C7739B41","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DURABLE_REFRESH_MANIFEST_AND_LANE_INTAKE_20260704T054029Z\sidecars\unmatched_material_separate_exact_notes_20260704T054029Z.json","A632AFA6656942E1BF4B115E13B65A002FE4E4336649708A0E1D877A3BBE75D0"
