row_uid,term_id,chosen_form_latin,source_term,concept_current,E_state_C,W_state_C,S_state_C
stateC_1167__ISV-LB-einmalige__berschiebung,ISV-LB-einmalige_überschiebung,jednokratna transvekcija,einmalige Überschiebung,folding,0.0,0.0,0.0
stateC_1137__ISV-LB-einmalige__berschiebung,ISV-LB-einmalige_überschiebung,jednorazovy prěnos,,folding,0.0,0.0,0.0
stateC_1205__ISV-LB-faltungsproze_faltung,ISV-LB-faltungsprozeßfaltung,proces svijanja/svijanje,Faltungsprozeß/Faltung,folding,0.0,0.0,0.0
stateC_1106__ISV-LB-faltungsproze_faltung,ISV-LB-faltungsprozeßfaltung,proces svijanja/svijanje,Faltungsprozeß/Faltung,folding,0.0,0.0,0.0
stateC_1187__ISV-LB-formen_von_n_variabeln,ISV-LB-formen_von_n_variabeln,form v $n$ prěměnnyh,Formen von n Variabeln,coefficient,0.0,0.0,0.0
stateC_1179__ISV-LB-formen_von_n_variabeln,ISV-LB-formen_von_n_variabeln,form v $n$ prěměnnyh,Formen von n Variabeln,coefficient,0.0,0.0,0.0
stateC_1158__ISV-LB-formenreiheformenreihen,ISV-LB-formenreiheformenreihen,ręd form/rędy form,Formenreihe/Formenreihen,form,0.0,0.0,0.0
stateC_1154__ISV-LB-formenreiheformenreihen,ISV-LB-formenreiheformenreihen,ręd form/rędy form,Formenreihe/Formenreihen,form,0.0,0.0,0.0
stateC_1180__ISV-LB-formensystem,ISV-LB-formensystem,sistem form,Formensystem,sistem,0.0,0.0,0.0
stateC_1098__ISV-LB-formensystem,ISV-LB-formensystem,sistem form,Formensystem,sistem,0.0,0.0,0.0
stateC_1201__ISV-LB-matrizenprodukt,ISV-LB-matrizenprodukt,matričny produkt,Matrizenprodukt,matrix product,0.0,0.0,0.0
stateC_1203__ISV-LB-matrizenprodukt,ISV-LB-matrizenprodukt,matričny produkt,Matrizenprodukt,matrix product,0.0,0.0,0.0
stateC_1164__ISV-LB-nach_dem_ansatz,ISV-LB-nach_dem_ansatz,po slědujućej shemě,nach dem Ansatz,ansatz / setup,0.0,0.0,0.0
stateC_1123__ISV-LB-nach_dem_ansatz,ISV-LB-nach_dem_ansatz,po slědujućej začetnoj shemě,,ansatz / setup,0.0,0.0,0.0
stateC_1139__ISV-LB-nach_dem_ansatz,ISV-LB-nach_dem_ansatz,po začętnoj shemě,,ansatz / setup,0.0,0.0,0.0
stateC_1169__ISV-LB-zerfallende_form,ISV-LB-zerfallende_form,razkladna forma,zerfallende Form,form,0.0,0.0,0.0
stateC_1170__ISV-LB-zerfallende_form,ISV-LB-zerfallende_form,razkladna forma,zerfallende Form,form,0.0,0.0,0.0
stateC_1186__ISV-LB-zerlegungsidentit_t,ISV-LB-zerlegungsidentität,razkladna identičnost,Zerlegungsidentität,decomposition identity,0.0,0.0,0.0
stateC_1193__ISV-LB-zerlegungsidentit_t,ISV-LB-zerlegungsidentität,razkladna identičnost,Zerlegungsidentität,decomposition identity,0.0,0.0,0.0
stateC_1166__ISV-LB-_berschiebung__ber_funktionaldeterminant,ISV-LB-überschiebung_über_funktionaldeterminant,transvekcija črez funkcionalne determinanty,Überschiebung über Funktionaldeterminanten,determinant,0.0,0.0,0.0
stateC_1176__ISV-LB-_berschiebung__ber_funktionaldeterminant,ISV-LB-überschiebung_über_funktionaldeterminant,transvekcija črez funkcionalne determinanty,Überschiebung über Funktionaldeterminanten,determinant,0.0,0.0,0.0
stateC_0746__ISV-produkt_von_endlich_vielen_paarweise_tei--produkt_kone_no_mnog,ISV-produkt_von_endlich_vielen_paarweise_tei--produkt_konečno_mnog,produkt konečno mnogih po parah vzajemno prostyh primarnyh idealov,,ideal,2.0,0.0,0.0
stateC_0745__ISV-produkt_von_endlich_vielen_paarweise_tei--produkt_kone_no_mnog,ISV-produkt_von_endlich_vielen_paarweise_tei--produkt_konečno_mnog,produkt konečno mnogih poparno vzaimno prostyh idealov,,ideal,2.0,0.0,0.0
stateC_0827__ISV-relativprim-irreduzibel--relativno-prosto-ner,ISV-relativprim-irreduzibel--relativno-prosto-ner,relativno-prosto-nerazložimy,,irreducible,2.0,0.0,0.0
stateC_0826__ISV-relativprim-irreduzibel--relativno-prosto-ner,ISV-relativprim-irreduzibel--relativno-prosto-ner,relativno-prosto-nerazlozimy,,irreducible,2.0,0.0,0.0
stateC_0929__ISV-teilerfremd-irreduzibel--vzaimno-prosto-neraz,ISV-teilerfremd-irreduzibel--vzaimno-prosto-neraz,vzaimno-prosto-nerazložimy,,irreducible,2.0,0.0,0.0
stateC_0928__ISV-teilerfremd-irreduzibel--vzaimno-prosto-neraz,ISV-teilerfremd-irreduzibel--vzaimno-prosto-neraz,vzaimno-prosto-nerazlozimy,,irreducible,2.0,0.0,0.0
