row_uid,term_id,src_state,dst_state,channel,weight,state,evidence,note
stateC_0001__ISV-30_m_rz_1926--30_marca_1926,ISV-30_märz_1926--30_marca_1926,q0_START,q1_SOURCE::unknown_source,source,1.0,state_C,canonical_state_C_row,start-to-source
stateC_0001__ISV-30_m_rz_1926--30_marca_1926,ISV-30_märz_1926--30_marca_1926,q1_SOURCE::unknown_source,q2_CONCEPT::unclassified,concept_link,1.0,state_C,,D_no_route_true_gap
stateC_0001__ISV-30_m_rz_1926--30_marca_1926,ISV-30_märz_1926--30_marca_1926,q2_CONCEPT::unclassified,q3_ISV_FORM::30. marca 1926.,form_realization,1.0,state_C,chosen_form_latin,
stateC_0001__ISV-30_m_rz_1926--30_marca_1926,ISV-30_märz_1926--30_marca_1926,q3_ISV_FORM::30. marca 1926.,q4_SUPPORT_E,support_E,3.0,state_C,state_C_witness_vector,
stateC_0001__ISV-30_m_rz_1926--30_marca_1926,ISV-30_märz_1926--30_marca_1926,q3_ISV_FORM::30. marca 1926.,q4_GAP_W,gap_W,1.0,state_C,state_C_missing_branch,
stateC_0001__ISV-30_m_rz_1926--30_marca_1926,ISV-30_märz_1926--30_marca_1926,q3_ISV_FORM::30. marca 1926.,q4_GAP_S,gap_S,1.0,state_C,state_C_missing_branch,
stateC_0001__ISV-30_m_rz_1926--30_marca_1926,ISV-30_märz_1926--30_marca_1926,q3_ISV_FORM::30. marca 1926.,q5_DECISION::MISSING_WITNESS_continue_tail_routing,decision,1.0,state_C,F10-1,review
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,q0_START,"q1_SOURCE::A) / B) / C), a) / b) / c)",source,1.0,state_C,canonical_state_C_row,start-to-source
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,"q1_SOURCE::A) / B) / C), a) / b) / c)",q2_CONCEPT::unclassified,concept_link,1.0,state_C,,
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,q2_CONCEPT::unclassified,"q3_ISV_FORM::A) / B) / C), a) / b) / c)",form_realization,1.0,state_C,chosen_form_latin,
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,"q3_ISV_FORM::A) / B) / C), a) / b) / c)",q4_SUPPORT_E,support_E,2.0,state_C,state_C_witness_vector,
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,"q3_ISV_FORM::A) / B) / C), a) / b) / c)",q4_SUPPORT_X,support_X,1.0,state_C,state_C_witness_vector,
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,"q3_ISV_FORM::A) / B) / C), a) / b) / c)",q4_GAP_W,gap_W,1.0,state_C,state_C_missing_branch,
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,"q3_ISV_FORM::A) / B) / C), a) / b) / c)",q4_GAP_S,gap_S,1.0,state_C,state_C_missing_branch,
stateC_0002__ISV-a_b_c_a_b_c--a_b_c_a_b_c,ISV-a_b_c_a_b_c--a_b_c_a_b_c,"q3_ISV_FORM::A) / B) / C), a) / b) / c)",q5_DECISION::CURRENT_low_priority_or_document,decision,1.0,state_C,F10-0,yes
stateC_0003__ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,q0_START,q1_SOURCE::A) / B) / C) / D),source,1.0,state_C,canonical_state_C_row,start-to-source
stateC_0003__ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,q1_SOURCE::A) / B) / C) / D),q2_CONCEPT::unclassified,concept_link,1.0,state_C,,D_no_route_true_gap
stateC_0003__ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,q2_CONCEPT::unclassified,q3_ISV_FORM::A) / B) / C) / D),form_realization,1.0,state_C,chosen_form_latin,
stateC_0003__ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM::A) / B) / C) / D),q4_SUPPORT_E,support_E,2.0,state_C,state_C_witness_vector,
stateC_0003__ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM::A) / B) / C) / D),q4_GAP_W,gap_W,1.0,state_C,state_C_missing_branch,
stateC_0003__ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM::A) / B) / C) / D),q4_GAP_S,gap_S,1.0,state_C,state_C_missing_branch,
stateC_0003__ISV-a_b_c_d--a_b_c_d,ISV-a_b_c_d--a_b_c_d,q3_ISV_FORM::A) / B) / C) / D),q5_DECISION::MISSING_WITNESS_continue_tail_routing,decision,1.0,state_C,F10-1,review
stateC_0004__ISV-a_b_c_d_a_b--a_b_c_d_a_b,ISV-a_b_c_d_a_b--a_b_c_d_a_b,q0_START,"q1_SOURCE::A) / B) / C) / D), a) / b)",source,1.0,state_C,canonical_state_C_row,start-to-source
stateC_0004__ISV-a_b_c_d_a_b--a_b_c_d_a_b,ISV-a_b_c_d_a_b--a_b_c_d_a_b,"q1_SOURCE::A) / B) / C) / D), a) / b)",q2_CONCEPT::unclassified,concept_link,1.0,state_C,,D_no_route_true_gap
